Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 19:21:37:466,128.35670,-5.56329,2.24797,-29.35595,0.21383,-0.37028,-157.71248,5.77571,-2.62193,-0.00017,0.00141,0.00369,
07.10 19:21:37:520,128.35452,-5.56222,2.24798,-29.35387,0.21158,-0.36740,-157.71248,5.77571,-2.62193,0.00409,-0.00191,0.00656,
07.10 19:21:37:569,128.35286,-5.56246,2.24477,-29.35911,0.21413,-0.36968,-157.71248,5.77571,-2.62193,0.00050,0.00088,0.00749,
07.10 19:21:37:619,128.35129,-5.56302,2.24263,-29.35913,0.21437,-0.37119,-157.71248,5.77571,-2.62193,0.00206,0.00168,0.00812,
07.10 19:21:37:670,128.35141,-5.56204,2.24362,-29.35599,0.21409,-0.37068,-157.71248,5.77571,-2.62193,0.00508,0.00042,0.00764,
07.10 19:21:37:717,128.35168,-5.56250,2.24358,-29.35372,0.21340,-0.37179,-157.71248,5.77571,-2.62193,0.00708,0.00020,0.00656,
07.10 19:21:37:769,128.34908,-5.56205,2.24450,-29.35298,0.21355,-0.37105,-157.71248,5.77571,-2.62193,0.01042,-0.00011,0.00638,
07.10 19:21:37:816,128.34715,-5.56405,2.24587,-29.35965,0.21283,-0.37315,-157.71248,5.77571,-2.62193,0.00568,0.00118,0.00292,
07.10 19:21:37:870,128.34537,-5.56664,2.24435,-29.34975,0.21049,-0.37409,-157.71248,5.77571,-2.62193,0.01736,0.00142,0.00349,
07.10 19:21:37:919,128.34259,-5.56794,2.24215,-29.34608,0.21358,-0.37379,-157.71248,5.77571,-2.62193,0.02380,0.00581,0.00599,
07.10 19:21:37:970,128.34312,-5.56813,2.24347,-29.34653,0.21587,-0.37322,-157.71248,5.77571,-2.62193,0.02281,0.00830,0.00524,
07.10 19:21:38:020,128.33844,-5.56642,2.24188,-29.34857,0.21620,-0.37286,-157.71248,5.77571,-2.62193,0.02547,0.00691,0.00719,
07.10 19:21:38:074,128.33705,-5.56691,2.23753,-29.34548,0.21523,-0.37258,-157.71248,5.77571,-2.62193,0.02995,0.00643,0.01183,
07.10 19:21:38:122,128.33437,-5.56699,2.23566,-29.34599,0.21012,-0.37227,-157.71248,5.77571,-2.62193,0.03212,0.00140,0.01401,
07.10 19:21:38:171,128.33340,-5.56755,2.23479,-29.34794,0.21006,-0.37305,-157.71248,5.77571,-2.62193,0.03114,0.00190,0.01410,
07.10 19:21:38:220,128.33116,-5.56852,2.23392,-29.34787,0.20990,-0.37215,-157.71248,5.77571,-2.62193,0.03345,0.00271,0.01586,
07.10 19:21:38:266,128.33136,-5.57083,2.23129,-29.34769,0.21296,-0.37070,-157.71248,5.77571,-2.62193,0.03343,0.00808,0.01995,
07.10 19:21:38:316,128.33087,-5.57056,2.23059,-29.35066,0.21072,-0.36793,-157.71248,5.77571,-2.62193,0.03094,0.00557,0.02341,
07.10 19:21:38:370,128.32904,-5.56993,2.22870,-29.34871,0.20822,-0.36668,-157.71248,5.77571,-2.62193,0.03473,0.00244,0.02655,
07.10 19:21:38:419,128.32846,-5.56750,2.22692,-29.34910,0.20923,-0.36581,-157.71248,5.77571,-2.62193,0.03491,0.00103,0.02920,
07.10 19:21:38:469,128.32861,-5.56978,2.22871,-29.34953,0.20453,-0.36629,-157.71248,5.77571,-2.62193,0.03433,-0.00139,0.02693,
07.10 19:21:38:520,128.32558,-5.57244,2.22899,-29.34940,0.20403,-0.36458,-157.71248,5.77571,-2.62193,0.03751,0.00076,0.02836,
07.10 19:21:38:569,128.32678,-5.56946,2.22797,-29.34925,0.20634,-0.36338,-157.71248,5.77571,-2.62193,0.03645,0.00009,0.03058,
07.10 19:21:38:619,128.32603,-5.56848,2.22688,-29.34791,0.20661,-0.36341,-157.71248,5.77571,-2.62193,0.03853,-0.00062,0.03164,
07.10 19:21:38:670,128.32669,-5.56842,2.22533,-29.34314,0.20427,-0.36357,-157.71248,5.77571,-2.62193,0.04265,-0.00302,0.03304,
07.10 19:21:38:719,128.32689,-5.56838,2.22469,-29.34410,0.20280,-0.36368,-157.71248,5.77571,-2.62193,0.04149,-0.00453,0.03356,
07.10 19:21:38:769,128.32439,-5.56960,2.22300,-29.35195,0.20032,-0.36720,-157.71248,5.77571,-2.62193,0.03615,-0.00578,0.03173,
07.10 19:21:38:816,128.32153,-5.57079,2.21946,-29.35498,0.20056,-0.36580,-157.71248,5.77571,-2.62193,0.03596,-0.00435,0.03667,
07.10 19:21:38:866,128.32082,-5.56856,2.21972,-29.35203,0.20049,-0.36681,-157.71248,5.77571,-2.62193,0.03963,-0.00666,0.03540,
07.10 19:21:38:919,128.31902,-5.57028,2.21845,-29.35674,0.20166,-0.36815,-157.71248,5.77571,-2.62193,0.03673,-0.00376,0.03533,
07.10 19:21:38:969,128.31609,-5.58862,2.22477,-29.35610,0.17458,-0.36074,-157.71248,5.77571,-2.62193,0.04030,-0.01251,0.03642,
07.10 19:21:39:020,128.30991,-5.56574,2.26159,-29.35261,0.17843,-0.32129,-157.71248,5.77571,-2.62193,0.04996,-0.03153,0.03906,
07.10 19:21:39:071,128.31119,-5.55941,2.25647,-29.35406,0.21160,-0.33027,-157.71248,5.77571,-2.62193,0.04724,-0.00470,0.03519,
07.10 19:21:39:120,128.31154,-5.60286,2.26905,-29.34965,0.18641,-0.31831,-157.71248,5.77571,-2.62193,0.05128,0.01356,0.03457,
07.10 19:21:39:186,128.31328,-5.60568,2.26222,-29.35263,0.18629,-0.32041,-157.71248,5.77571,-2.62193,0.04657,0.01627,0.03930,
07.10 19:21:39:237,128.31274,-5.61748,2.27952,-29.34924,0.16574,-0.30138,-157.71248,5.77571,-2.62193,0.05049,0.00752,0.04103,
07.10 19:21:39:287,128.31163,-5.60781,2.28736,-29.34780,0.17369,-0.29517,-157.71248,5.77571,-2.62193,0.05305,0.00578,0.03940,
07.10 19:21:39:335,128.30898,-5.60864,2.30892,-29.34828,0.16611,-0.27004,-157.71248,5.77571,-2.62193,0.05522,-0.00096,0.04297,
07.10 19:21:39:386,128.30042,-5.54020,2.33134,-29.35135,0.22584,-0.24484,-157.71248,5.77571,-2.62193,0.06071,-0.00966,0.04576,
07.10 19:21:39:429,128.30107,-5.53231,2.33542,-29.35159,0.23756,-0.23408,-157.71248,5.77571,-2.62193,0.05981,-0.00583,0.05244,
07.10 19:21:39:479,128.29945,-5.52262,2.35083,-29.35149,0.24744,-0.21934,-157.71248,5.77571,-2.62193,0.06154,-0.00564,0.05177,
07.10 19:21:39:528,128.29445,-5.51489,2.34777,-29.35265,0.25383,-0.22112,-157.71248,5.77571,-2.62193,0.06538,-0.00698,0.05304,
07.10 19:21:39:580,128.29381,-5.54016,2.34657,-29.34872,0.22582,-0.22524,-157.71248,5.77571,-2.62193,0.06995,-0.00973,0.05013,
07.10 19:21:39:633,128.29005,-5.53394,2.35594,-29.34568,0.23480,-0.21976,-157.71248,5.77571,-2.62193,0.07674,-0.00696,0.04623,
07.10 19:21:39:687,128.28746,-5.52194,2.35620,-29.34236,0.24549,-0.21639,-157.71248,5.77571,-2.62193,0.08266,-0.00828,0.04934,
07.10 19:21:39:733,128.28760,-5.52045,2.36232,-29.34171,0.25087,-0.21104,-157.71248,5.77571,-2.62193,0.08318,-0.00439,0.04857,
07.10 19:21:39:786,128.28677,-5.51889,2.36444,-29.34236,0.25308,-0.21019,-157.71248,5.77571,-2.62193,0.08334,-0.00374,0.04730,
07.10 19:21:39:836,128.28432,-5.46354,2.37400,-29.34290,0.30291,-0.19872,-157.71248,5.77571,-2.62193,0.08527,-0.00925,0.04922,
07.10 19:21:39:885,128.30295,-5.63325,2.33116,-29.32733,0.12103,-0.25509,-157.71248,5.77571,-2.62193,0.08220,-0.02143,0.03568,
07.10 19:21:39:936,128.30077,-5.99182,2.30867,-29.33746,-0.23947,-0.29024,-157.71248,5.77571,-2.62193,0.07425,-0.02335,0.02303,
07.10 19:21:39:989,128.27942,-6.62393,2.37590,-29.36949,-0.80842,-0.24354,-157.71248,5.77571,-2.62193,0.06357,0.03980,0.00250,
07.10 19:21:40:036,128.67215,-6.64608,2.54072,-28.71796,-0.71994,-0.02731,-157.71248,5.77571,-2.62193,0.32237,0.15043,0.05390,
