Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.23 16:54:19:450,53.68600,-1.88539,-0.72203,32.23132,-0.44259,0.02421,-21.45745,1.44643,0.74575,0.00278,-0.00363,0.00050,
06.23 16:54:19:484,53.68232,-1.89151,-0.72122,32.23006,-0.44250,0.02796,-21.45745,1.44643,0.74575,0.00520,0.00257,0.00343,
06.23 16:54:19:518,53.67833,-1.89016,-0.72169,32.22890,-0.43935,0.02565,-21.45745,1.44643,0.74575,0.00803,0.00437,0.00159,
06.23 16:54:19:551,53.67649,-1.88632,-0.72083,32.22764,-0.43599,0.02600,-21.45745,1.44643,0.74575,0.00861,0.00390,0.00107,
06.23 16:54:19:601,53.68108,-1.88766,-0.71966,32.22632,-0.43446,0.02737,-21.45745,1.44643,0.74575,0.00270,0.00676,0.00129,
06.23 16:54:19:635,53.68481,-1.88375,-0.72279,32.22579,-0.43367,0.02765,-21.45745,1.44643,0.74575,-0.00157,0.00364,0.00469,
06.23 16:54:19:668,53.68626,-1.88382,-0.72342,32.22174,-0.43036,0.02410,-21.45745,1.44643,0.74575,-0.00707,0.00703,0.00177,
06.23 16:54:19:702,53.68869,-1.88663,-0.72286,32.22301,-0.42991,0.02512,-21.45745,1.44643,0.74575,-0.00822,0.01029,0.00223,
06.23 16:54:19:735,53.68794,-1.88650,-0.72459,32.22299,-0.42923,0.02667,-21.45745,1.44643,0.74575,-0.00750,0.01083,0.00550,
06.23 16:54:19:767,53.68920,-1.88490,-0.72495,32.22145,-0.42692,0.02643,-21.45745,1.44643,0.74575,-0.01030,0.01154,0.00563,
06.23 16:54:19:801,53.68496,-1.88695,-0.72381,32.22125,-0.42841,0.02607,-21.45745,1.44643,0.74575,-0.00625,0.01212,0.00413,
06.23 16:54:19:834,53.68478,-1.88872,-0.72346,32.22121,-0.42834,0.02663,-21.45745,1.44643,0.74575,-0.00611,0.01394,0.00434,
06.23 16:54:19:868,53.69552,-1.88854,-0.72305,32.22297,-0.42693,0.02763,-21.45745,1.44643,0.74575,-0.01510,0.01518,0.00493,
06.23 16:54:19:901,53.69117,-1.88847,-0.72394,32.22107,-0.42662,0.02410,-21.45745,1.44643,0.74575,-0.01265,0.01541,0.00230,
06.23 16:54:19:935,53.68866,-1.89013,-0.72387,32.21856,-0.42595,0.02310,-21.45745,1.44643,0.74575,-0.01264,0.01775,0.00122,
06.23 16:54:19:967,53.67427,-1.89042,-0.72432,32.21836,-0.42757,0.02527,-21.45745,1.44643,0.74575,0.00154,0.01642,0.00384,
06.23 16:54:20:004,53.66925,-1.89157,-0.72474,32.21691,-0.42506,0.02495,-21.45745,1.44643,0.74575,0.00511,0.02008,0.00394,
06.23 16:54:20:044,53.66830,-1.89114,-0.72425,32.21727,-0.42547,0.02549,-21.45745,1.44643,0.74575,0.00643,0.01925,0.00399,
06.23 16:54:20:086,53.66506,-1.89195,-0.72464,32.21576,-0.42484,0.02467,-21.45745,1.44643,0.74575,0.00815,0.02067,0.00356,
06.23 16:54:20:121,53.66976,-1.89281,-0.72337,32.21484,-0.42243,0.02517,-21.45745,1.44643,0.74575,0.00254,0.02395,0.00279,
06.23 16:54:20:152,53.67183,-1.89214,-0.72337,32.21481,-0.42056,0.02478,-21.45745,1.44643,0.74575,0.00044,0.02515,0.00241,
06.23 16:54:20:200,53.67670,-1.89350,-0.72231,32.21609,-0.42482,0.02735,-21.45745,1.44643,0.74575,-0.00315,0.02225,0.00390,
06.23 16:54:20:234,53.67498,-1.89411,-0.72308,32.21345,-0.42558,0.02489,-21.45745,1.44643,0.74575,-0.00407,0.02209,0.00221,
06.23 16:54:20:271,53.67870,-1.89256,-0.72312,32.21360,-0.42596,0.02420,-21.45745,1.44643,0.74575,-0.00764,0.02017,0.00157,
06.23 16:54:20:304,53.67906,-1.89171,-0.72222,32.21265,-0.42345,0.02341,-21.45745,1.44643,0.74575,-0.00896,0.02183,-0.00012,
06.23 16:54:20:337,53.68064,-1.89311,-0.72187,32.21185,-0.42642,0.02580,-21.45745,1.44643,0.74575,-0.01133,0.02026,0.00192,
06.23 16:54:20:372,53.68344,-1.89426,-0.72119,32.21331,-0.42717,0.02822,-21.45745,1.44643,0.74575,-0.01268,0.02065,0.00365,
06.23 16:54:20:405,53.68187,-1.89265,-0.72328,32.21417,-0.42673,0.02715,-21.45745,1.44643,0.74575,-0.01025,0.01949,0.00467,
06.23 16:54:20:435,53.68460,-1.89167,-0.72271,32.21256,-0.42306,0.02778,-21.45745,1.44643,0.74575,-0.01459,0.02217,0.00474,
06.23 16:54:20:488,53.68442,-1.89054,-0.72157,32.21436,-0.42337,0.02777,-21.45745,1.44643,0.74575,-0.01260,0.02074,0.00360,
06.23 16:54:20:518,53.68705,-1.89018,-0.72150,32.21287,-0.42793,0.02968,-21.45745,1.44643,0.74575,-0.01673,0.01581,0.00543,
