Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:20:01:288,90.50207,-2.30158,0.04785,-30.87535,-0.34891,-0.34569,-121.37672,1.95103,-0.39169,-0.00070,0.00163,-0.00185,
07.10 11:20:01:334,90.50552,-2.29905,0.04808,-30.87456,-0.35039,-0.34647,-121.37672,1.95103,-0.39169,-0.00336,-0.00237,-0.00286,
07.10 11:20:01:386,90.50589,-2.29866,0.04893,-30.87598,-0.35047,-0.34803,-121.37672,1.95103,-0.39169,-0.00514,-0.00284,-0.00527,
07.10 11:20:01:448,90.50610,-2.29882,0.04917,-30.87479,-0.35198,-0.34734,-121.37672,1.95103,-0.39169,-0.00417,-0.00420,-0.00482,
07.10 11:20:01:497,90.50627,-2.29950,0.04853,-30.87830,-0.34931,-0.34800,-121.37672,1.95103,-0.39169,-0.00784,-0.00084,-0.00484,
07.10 11:20:01:551,90.50438,-2.29980,0.04684,-30.87868,-0.34357,-0.34700,-121.37672,1.95103,-0.39169,-0.00634,0.00521,-0.00215,
07.10 11:20:01:611,90.50191,-2.29818,0.04647,-30.87723,-0.34186,-0.34761,-121.37672,1.95103,-0.39169,-0.00241,0.00529,-0.00239,
07.10 11:20:01:650,90.49964,-2.29555,0.04658,-30.87912,-0.34380,-0.34829,-121.37672,1.95103,-0.39169,-0.00203,0.00072,-0.00319,
07.10 11:20:01:700,90.49970,-2.29468,0.04452,-30.88056,-0.34368,-0.34918,-121.37672,1.95103,-0.39169,-0.00353,-0.00003,-0.00201,
07.10 11:20:01:733,90.50058,-2.29525,0.04446,-30.87682,-0.34655,-0.34992,-121.37672,1.95103,-0.39169,-0.00068,-0.00233,-0.00269,
07.10 11:20:01:783,90.49915,-2.29392,0.04252,-30.87720,-0.34596,-0.34858,-121.37672,1.95103,-0.39169,0.00038,-0.00306,0.00059,
07.10 11:20:01:843,90.49779,-2.29410,0.04290,-30.87921,-0.34744,-0.34692,-121.37672,1.95103,-0.39169,-0.00027,-0.00436,0.00186,
07.10 11:20:01:883,90.49549,-2.29548,0.04174,-30.88034,-0.34916,-0.34733,-121.37672,1.95103,-0.39169,0.00089,-0.00470,0.00263,
07.10 11:20:01:935,90.49319,-2.29670,0.03978,-30.88323,-0.35128,-0.34569,-121.37672,1.95103,-0.39169,0.00030,-0.00560,0.00622,
07.10 11:20:01:992,90.49319,-2.29761,0.03962,-30.88237,-0.35125,-0.34661,-121.37672,1.95103,-0.39169,0.00117,-0.00467,0.00545,
07.10 11:20:02:032,90.49292,-2.29566,0.04274,-30.88634,-0.34917,-0.34496,-121.37672,1.95103,-0.39169,-0.00253,-0.00454,0.00399,
07.10 11:20:02:079,90.49352,-2.29709,0.04269,-30.88615,-0.34866,-0.34362,-121.37672,1.95103,-0.39169,-0.00294,-0.00260,0.00538,
07.10 11:20:02:129,90.49201,-2.29825,0.04210,-30.88637,-0.34716,-0.34312,-121.37672,1.95103,-0.39169,-0.00166,0.00006,0.00647,
07.10 11:20:02:183,90.49109,-2.29836,0.04128,-30.88551,-0.34403,-0.34053,-121.37672,1.95103,-0.39169,0.00012,0.00330,0.00988,
07.10 11:20:02:234,90.49046,-2.29931,0.03899,-30.88366,-0.34531,-0.34015,-121.37672,1.95103,-0.39169,0.00261,0.00297,0.01255,
07.10 11:20:02:283,90.49097,-2.29998,0.03729,-30.88561,-0.34643,-0.33925,-121.37672,1.95103,-0.39169,0.00015,0.00252,0.01515,
07.10 11:20:02:336,90.49290,-2.30138,0.03494,-30.88450,-0.34115,-0.33959,-121.37672,1.95103,-0.39169,-0.00067,0.00920,0.01715,
07.10 11:20:02:396,90.49200,-2.30302,0.03591,-30.88509,-0.33943,-0.33872,-121.37672,1.95103,-0.39169,-0.00037,0.01255,0.01706,
07.10 11:20:02:457,90.49023,-2.30312,0.03471,-30.88938,-0.33944,-0.33865,-121.37672,1.95103,-0.39169,-0.00288,0.01265,0.01833,
07.10 11:20:02:519,90.48626,-2.30333,0.03419,-30.88955,-0.33866,-0.33937,-121.37672,1.95103,-0.39169,0.00091,0.01365,0.01813,
07.10 11:20:02:567,90.48562,-2.30508,0.03468,-30.88979,-0.34150,-0.34150,-121.37672,1.95103,-0.39169,0.00132,0.01255,0.01551,
07.10 11:20:02:629,90.48608,-2.30645,0.03389,-30.88905,-0.34035,-0.34223,-121.37672,1.95103,-0.39169,0.00159,0.01508,0.01557,
07.10 11:20:02:667,90.48965,-2.30592,0.03280,-30.88949,-0.33742,-0.34309,-121.37672,1.95103,-0.39169,-0.00241,0.01747,0.01580,
07.10 11:20:02:718,90.48873,-2.30472,0.03214,-30.88983,-0.33807,-0.34293,-121.37672,1.95103,-0.39169,-0.00183,0.01562,0.01662,
07.10 11:20:02:768,90.48900,-2.30303,0.03087,-30.88965,-0.33765,-0.34204,-121.37672,1.95103,-0.39169,-0.00192,0.01435,0.01878,
07.10 11:20:02:812,90.48878,-2.30375,0.02900,-30.88988,-0.34008,-0.34397,-121.37672,1.95103,-0.39169,-0.00194,0.01264,0.01872,
07.10 11:20:02:862,90.48771,-2.30514,0.03088,-30.88615,-0.34103,-0.34584,-121.37672,1.95103,-0.39169,0.00287,0.01308,0.01497,
07.10 11:20:02:917,90.48595,-2.30527,0.03083,-30.88822,-0.33964,-0.34655,-121.37672,1.95103,-0.39169,0.00256,0.01460,0.01431,
07.10 11:20:02:967,90.48652,-2.30532,0.03133,-30.89016,-0.33826,-0.34730,-121.37672,1.95103,-0.39169,0.00005,0.01603,0.01305,
07.10 11:20:03:016,90.48426,-2.30372,0.03098,-30.88917,-0.33491,-0.34601,-121.37672,1.95103,-0.39169,0.00330,0.01778,0.01470,
07.10 11:20:03:067,90.48345,-2.30098,0.03071,-30.88543,-0.33557,-0.34529,-121.37672,1.95103,-0.39169,0.00784,0.01438,0.01569,
07.10 11:20:03:119,90.48477,-2.29958,0.03128,-30.88355,-0.33177,-0.34429,-121.37672,1.95103,-0.39169,0.00840,0.01678,0.01612,
07.10 11:20:03:177,90.48594,-2.29944,0.03126,-30.88099,-0.33509,-0.34419,-121.37672,1.95103,-0.39169,0.00980,0.01333,0.01624,
07.10 11:20:03:212,90.48324,-2.29976,0.02909,-30.87849,-0.33514,-0.34421,-121.37672,1.95103,-0.39169,0.01499,0.01359,0.01839,
07.10 11:20:03:266,90.48415,-2.29883,0.02738,-30.87805,-0.33544,-0.34358,-121.37672,1.95103,-0.39169,0.01452,0.01236,0.02072,
07.10 11:20:03:327,90.48396,-2.29773,0.02724,-30.87539,-0.33238,-0.34244,-121.37672,1.95103,-0.39169,0.01737,0.01432,0.02200,
07.10 11:20:03:367,90.48540,-2.29795,0.02718,-30.87671,-0.33184,-0.33986,-121.37672,1.95103,-0.39169,0.01462,0.01508,0.02465,
07.10 11:20:03:411,90.48596,-2.29796,0.02633,-30.87627,-0.33171,-0.33981,-121.37672,1.95103,-0.39169,0.01449,0.01523,0.02555,
07.10 11:20:03:471,90.48509,-2.29763,0.02682,-30.87576,-0.33182,-0.33947,-121.37672,1.95103,-0.39169,0.01587,0.01478,0.02540,
07.10 11:20:03:519,90.48725,-2.29577,0.02962,-30.87451,-0.33468,-0.33964,-121.37672,1.95103,-0.39169,0.01496,0.01007,0.02242,
07.10 11:20:03:566,90.48698,-2.29553,0.02854,-30.87547,-0.33212,-0.34064,-121.37672,1.95103,-0.39169,0.01427,0.01239,0.02252,
07.10 11:20:03:616,90.48775,-2.29586,0.02875,-30.87412,-0.33077,-0.34098,-121.37672,1.95103,-0.39169,0.01486,0.01406,0.02196,
07.10 11:20:03:668,90.48800,-2.29335,0.02903,-30.87226,-0.33086,-0.34140,-121.37672,1.95103,-0.39169,0.01647,0.01146,0.02126,
07.10 11:20:03:730,90.48996,-2.29556,0.02758,-30.87342,-0.32978,-0.33934,-121.37672,1.95103,-0.39169,0.01334,0.01474,0.02476,
07.10 11:20:03:796,90.48778,-2.29652,0.02485,-30.87382,-0.32678,-0.34170,-121.37672,1.95103,-0.39169,0.01513,0.01871,0.02514,
07.10 11:20:03:835,90.48718,-2.29848,0.02385,-30.87362,-0.32723,-0.34304,-121.37672,1.95103,-0.39169,0.01592,0.02023,0.02480,
07.10 11:20:03:893,90.48769,-2.30006,0.02402,-30.87402,-0.32656,-0.34512,-121.37672,1.95103,-0.39169,0.01501,0.02246,0.02255,
07.10 11:20:03:938,90.48782,-2.29984,0.02426,-30.87135,-0.32619,-0.34605,-121.37672,1.95103,-0.39169,0.01755,0.02262,0.02137,
07.10 11:20:03:978,90.48881,-2.30167,0.02579,-30.87482,-0.32566,-0.34659,-121.37672,1.95103,-0.39169,0.01309,0.02499,0.01931,
07.10 11:20:04:035,90.48884,-2.30124,0.02602,-30.87641,-0.32424,-0.34642,-121.37672,1.95103,-0.39169,0.01147,0.02597,0.01925,
07.10 11:20:04:085,90.48834,-2.30079,0.02770,-30.87795,-0.32386,-0.34655,-121.37672,1.95103,-0.39169,0.01043,0.02590,0.01743,
07.10 11:20:04:134,90.48876,-2.29947,0.02788,-30.88010,-0.32287,-0.34461,-121.37672,1.95103,-0.39169,0.00786,0.02557,0.01920,
07.10 11:20:04:192,90.48870,-2.29965,0.02666,-30.87792,-0.32437,-0.34541,-121.37672,1.95103,-0.39169,0.01010,0.02425,0.01962,
07.10 11:20:04:235,90.49227,-2.29753,0.02818,-30.87799,-0.31949,-0.34426,-121.37672,1.95103,-0.39169,0.00646,0.02701,0.01925,
07.10 11:20:04:278,90.49331,-2.29680,0.02816,-30.87579,-0.31780,-0.34445,-121.37672,1.95103,-0.39169,0.00763,0.02797,0.01907,
07.10 11:20:04:338,90.49346,-2.29622,0.02787,-30.87920,-0.32934,-0.34307,-121.37672,1.95103,-0.39169,0.00406,0.01586,0.02075,
07.10 11:20:04:379,90.49577,-2.29286,0.02835,-30.88252,-0.32851,-0.34360,-121.37672,1.95103,-0.39169,-0.00156,0.01332,0.01974,
07.10 11:20:04:436,90.49782,-2.29094,0.02872,-30.88307,-0.32549,-0.34349,-121.37672,1.95103,-0.39169,-0.00416,0.01443,0.01948,
07.10 11:20:04:493,90.49837,-2.29044,0.02801,-30.88506,-0.32046,-0.34385,-121.37672,1.95103,-0.39169,-0.00671,0.01894,0.01982,
07.10 11:20:04:534,90.49968,-2.28745,0.02727,-30.88531,-0.32445,-0.34365,-121.37672,1.95103,-0.39169,-0.00827,0.01198,0.02077,
07.10 11:20:04:583,90.49751,-2.28552,0.02748,-30.88435,-0.32459,-0.34347,-121.37672,1.95103,-0.39169,-0.00513,0.00990,0.02075,
07.10 11:20:04:633,90.50195,-2.28457,0.02934,-30.88448,-0.32495,-0.34354,-121.37672,1.95103,-0.39169,-0.00970,0.00859,0.01881,
07.10 11:20:04:685,90.50333,-2.28442,0.02952,-30.88531,-0.32475,-0.34508,-121.37672,1.95103,-0.39169,-0.01192,0.00864,0.01709,
07.10 11:20:04:733,90.50319,-2.28623,0.03065,-30.88545,-0.32304,-0.34552,-121.37672,1.95103,-0.39169,-0.01192,0.01216,0.01551,
07.10 11:20:04:779,90.50040,-2.28554,0.02962,-30.88761,-0.32080,-0.34754,-121.37672,1.95103,-0.39169,-0.01128,0.01372,0.01453,
07.10 11:20:04:829,90.49990,-2.28421,0.02859,-30.88785,-0.32265,-0.34705,-121.37672,1.95103,-0.39169,-0.01102,0.01053,0.01605,
07.10 11:20:04:888,90.49846,-2.28360,0.02932,-30.89067,-0.31906,-0.34783,-121.37672,1.95103,-0.39169,-0.01240,0.01352,0.01454,
07.10 11:20:04:929,90.49596,-2.28114,0.02991,-30.88933,-0.31868,-0.34950,-121.37672,1.95103,-0.39169,-0.00856,0.01144,0.01228,
07.10 11:20:04:983,90.49461,-2.28349,0.03058,-30.88947,-0.32084,-0.34925,-121.37672,1.95103,-0.39169,-0.00735,0.01162,0.01186,
07.10 11:20:05:046,90.49354,-2.28440,0.02938,-30.89140,-0.31709,-0.34820,-121.37672,1.95103,-0.39169,-0.00821,0.01627,0.01411,
07.10 11:20:05:079,90.49252,-2.28387,0.02867,-30.89281,-0.31450,-0.34838,-121.37672,1.95103,-0.39169,-0.00861,0.01834,0.01464,
07.10 11:20:05:133,90.49163,-2.28570,0.02744,-30.89053,-0.31376,-0.35147,-121.37672,1.95103,-0.39169,-0.00544,0.02090,0.01278,
07.10 11:20:05:193,90.49245,-2.28541,0.02878,-30.89307,-0.31139,-0.35110,-121.37672,1.95103,-0.39169,-0.00880,0.02299,0.01181,
07.10 11:20:05:234,90.49068,-2.28487,0.02933,-30.89353,-0.31378,-0.35006,-121.37672,1.95103,-0.39169,-0.00748,0.02006,0.01230,
07.10 11:20:05:283,90.49070,-2.28435,0.02789,-30.89408,-0.30776,-0.35074,-121.37672,1.95103,-0.39169,-0.00806,0.02556,0.01306,
07.10 11:20:05:330,90.49126,-2.28486,0.02709,-30.89243,-0.30818,-0.35080,-121.37672,1.95103,-0.39169,-0.00696,0.02565,0.01380,
07.10 11:20:05:379,90.49171,-2.28612,0.02617,-30.89004,-0.30798,-0.34975,-121.37672,1.95103,-0.39169,-0.00504,0.02712,0.01578,
07.10 11:20:05:434,90.49088,-2.28572,0.02522,-30.89042,-0.30673,-0.34863,-121.37672,1.95103,-0.39169,-0.00457,0.02795,0.01783,
07.10 11:20:05:480,90.49136,-2.28438,0.02550,-30.89069,-0.30739,-0.35182,-121.37672,1.95103,-0.39169,-0.00532,0.02596,0.01436,
07.10 11:20:05:533,90.49055,-2.28455,0.02581,-30.89015,-0.30469,-0.35294,-121.37672,1.95103,-0.39169,-0.00397,0.02884,0.01294,
07.10 11:20:05:593,90.49105,-2.28292,0.02419,-30.89252,-0.30190,-0.35286,-121.37672,1.95103,-0.39169,-0.00684,0.02999,0.01464,
07.10 11:20:05:632,90.49093,-2.28318,0.02494,-30.89750,-0.30102,-0.35603,-121.37672,1.95103,-0.39169,-0.01171,0.03114,0.01071,
07.10 11:20:05:683,90.49126,-2.28165,0.02600,-30.89876,-0.29916,-0.35608,-121.37672,1.95103,-0.39169,-0.01330,0.03147,0.00961,
07.10 11:20:05:743,90.49112,-2.28066,0.02531,-30.90083,-0.29621,-0.35741,-121.37672,1.95103,-0.39169,-0.01522,0.03342,0.00897,
07.10 11:20:05:784,90.49293,-2.28194,0.02560,-30.90027,-0.29351,-0.36027,-121.37672,1.95103,-0.39169,-0.01647,0.03740,0.00582,
07.10 11:20:05:835,90.49163,-2.28162,0.02588,-30.90057,-0.29608,-0.36246,-121.37672,1.95103,-0.39169,-0.01547,0.03451,0.00335,
07.10 11:20:05:880,90.49048,-2.28313,0.02687,-30.90306,-0.29446,-0.36239,-121.37672,1.95103,-0.39169,-0.01682,0.03764,0.00242,
07.10 11:20:05:928,90.48848,-2.28297,0.02736,-30.90018,-0.29530,-0.36118,-121.37672,1.95103,-0.39169,-0.01193,0.03664,0.00315,
07.10 11:20:05:988,90.48804,-2.28416,0.02681,-30.90096,-0.29614,-0.36382,-121.37672,1.95103,-0.39169,-0.01228,0.03699,0.00106,
07.10 11:20:06:035,90.48931,-2.28227,0.02697,-30.89901,-0.30159,-0.36277,-121.37672,1.95103,-0.39169,-0.01160,0.02965,0.00195,
07.10 11:20:06:084,90.49269,-2.28029,0.02608,-30.89880,-0.30258,-0.36318,-121.37672,1.95103,-0.39169,-0.01477,0.02668,0.00242,
07.10 11:20:06:137,90.49250,-2.27886,0.02681,-30.89727,-0.30364,-0.36145,-121.37672,1.95103,-0.39169,-0.01305,0.02418,0.00343,
07.10 11:20:06:182,90.49061,-2.27971,0.02417,-30.89961,-0.30314,-0.36059,-121.37672,1.95103,-0.39169,-0.01350,0.02554,0.00693,
07.10 11:20:06:232,90.49180,-2.27878,0.02277,-30.89993,-0.30418,-0.36258,-121.37672,1.95103,-0.39169,-0.01500,0.02357,0.00634,
07.10 11:20:06:292,90.49190,-2.27565,0.02234,-30.89844,-0.30326,-0.36278,-121.37672,1.95103,-0.39169,-0.01361,0.02136,0.00657,
07.10 11:20:06:333,90.49201,-2.27531,0.02593,-30.87964,-0.31249,-0.35093,-121.37672,1.95103,-0.39169,0.00507,0.01179,0.01483,
