Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 13:26:03:232,-36.75215,-0.33780,-0.80647,-153.18404,0.18845,-0.09876,-116.43203,0.52723,0.70750,0.00014,-0.00098,0.00022,
07.10 13:26:03:265,-36.74966,-0.33683,-0.80249,-153.18257,0.18983,-0.10091,-116.43203,0.52723,0.70750,-0.00088,-0.00057,-0.00591,
07.10 13:26:03:290,-36.74767,-0.33589,-0.80189,-153.18311,0.18967,-0.09925,-116.43203,0.52723,0.70750,-0.00340,-0.00167,-0.00486,
07.10 13:26:03:349,-36.74740,-0.33546,-0.80182,-153.18088,0.18886,-0.09958,-116.43203,0.52723,0.70750,-0.00144,-0.00291,-0.00525,
07.10 13:26:03:399,-36.74669,-0.33606,-0.80114,-153.18240,0.18777,-0.10123,-116.43203,0.52723,0.70750,-0.00368,-0.00340,-0.00759,
07.10 13:26:03:426,-36.74251,-0.33730,-0.80005,-153.18289,0.19110,-0.09967,-116.43203,0.52723,0.70750,-0.00835,0.00117,-0.00712,
07.10 13:26:03:483,-36.74008,-0.33609,-0.79880,-153.18074,0.19260,-0.10091,-116.43203,0.52723,0.70750,-0.00863,0.00145,-0.00961,
07.10 13:26:03:532,-36.73702,-0.33574,-0.79949,-153.18291,0.19134,-0.10048,-116.43203,0.52723,0.70750,-0.01386,-0.00015,-0.00849,
07.10 13:26:03:581,-36.73751,-0.33618,-0.79811,-153.18422,0.19242,-0.10002,-116.43203,0.52723,0.70750,-0.01467,0.00136,-0.00941,
07.10 13:26:03:631,-36.73801,-0.33655,-0.79618,-153.18428,0.19107,-0.09961,-116.43203,0.52723,0.70750,-0.01424,0.00039,-0.01093,
07.10 13:26:03:675,-36.73839,-0.33602,-0.79187,-153.18292,0.19113,-0.10019,-116.43203,0.52723,0.70750,-0.01250,-0.00009,-0.01582,
07.10 13:26:03:734,-36.73349,-0.33558,-0.78971,-153.18277,0.19282,-0.10011,-116.43203,0.52723,0.70750,-0.01725,0.00116,-0.01789,
07.10 13:26:03:773,-36.72926,-0.33516,-0.78769,-153.18269,0.19099,-0.10069,-116.43203,0.52723,0.70750,-0.02141,-0.00108,-0.02050,
07.10 13:26:03:824,-36.72672,-0.33573,-0.78643,-153.18175,0.19336,-0.10025,-116.43203,0.52723,0.70750,-0.02300,0.00186,-0.02132,
07.10 13:26:03:872,-36.72550,-0.33429,-0.78666,-153.17950,0.19185,-0.09933,-116.43203,0.52723,0.70750,-0.02197,-0.00109,-0.02017,
07.10 13:26:03:931,-36.72400,-0.33363,-0.78413,-153.18117,0.19285,-0.10002,-116.43203,0.52723,0.70750,-0.02514,-0.00075,-0.02338,
07.10 13:26:03:966,-36.71954,-0.33382,-0.78275,-153.18114,0.19328,-0.10013,-116.43203,0.52723,0.70750,-0.02956,-0.00013,-0.02487,
07.10 13:26:04:017,-36.71531,-0.33353,-0.78295,-153.18163,0.19330,-0.09955,-116.43203,0.52723,0.70750,-0.03429,-0.00040,-0.02410,
07.10 13:26:04:067,-36.71569,-0.33026,-0.78137,-153.18297,0.19483,-0.09895,-116.43203,0.52723,0.70750,-0.03524,-0.00214,-0.02507,
07.10 13:26:04:114,-36.71384,-0.32733,-0.77848,-153.18246,0.19787,-0.09859,-116.43203,0.52723,0.70750,-0.03660,-0.00203,-0.02761,
07.10 13:26:04:140,-36.71310,-0.32701,-0.77567,-153.18040,0.19884,-0.09881,-116.43203,0.52723,0.70750,-0.03527,-0.00139,-0.03064,
07.10 13:26:04:198,-36.71136,-0.32708,-0.77489,-153.17863,0.19963,-0.09981,-116.43203,0.52723,0.70750,-0.03525,-0.00052,-0.03242,
07.10 13:26:04:224,-36.71151,-0.32706,-0.77334,-153.17900,0.20163,-0.09942,-116.43203,0.52723,0.70750,-0.03547,0.00146,-0.03357,
07.10 13:26:04:278,-36.71141,-0.32710,-0.77224,-153.17587,0.20210,-0.09886,-116.43203,0.52723,0.70750,-0.03243,0.00197,-0.03412,
07.10 13:26:04:311,-36.71286,-0.32391,-0.77083,-153.17603,0.20132,-0.09714,-116.43203,0.52723,0.70750,-0.03114,-0.00200,-0.03380,
