Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.23 13:35:53,27,0.17238,-0.27294,9.83538,-0.00852,-0.00213,0.00426,27.96326,1.04675,30.05676,-1.60551,42.84851,-1.05036,0.93080,-0.00969,-0.01365,0.36511,1,1,
06.23 13:35:53,28,0.17238,-0.27773,9.83538,-0.00959,-0.00213,0.00533,27.96326,1.04675,30.05676,-1.60551,42.84851,-1.05036,0.93080,-0.00969,-0.01365,0.36511,1,1,
06.23 13:35:53,29,0.17238,-0.27773,9.84017,-0.00959,-0.00213,0.00533,27.96326,1.04675,30.05676,-1.60551,42.84851,-1.05036,0.93080,-0.00969,-0.01365,0.36511,1,1,
06.23 13:35:53,30,0.17717,-0.27773,9.84017,-0.01065,-0.00213,0.00426,27.96326,1.04675,30.05676,-1.60551,42.84851,-1.05036,0.93080,-0.00969,-0.01365,0.36511,1,1,
06.23 13:35:53,31,0.17238,-0.27294,9.84017,-0.01065,-0.00320,0.00320,27.96326,1.04675,30.05676,-1.60551,42.84851,-1.05036,0.93080,-0.00969,-0.01365,0.36511,1,1,
06.23 13:35:53,32,0.17238,-0.27773,9.84017,-0.01172,-0.00426,0.00320,28.26233,0.44861,28.26233,-1.61141,42.85286,-1.04380,0.93078,-0.00976,-0.01362,0.36514,1,1,
06.23 13:35:53,33,0.17238,-0.27773,9.84017,-0.01172,-0.00426,0.00426,28.26233,0.44861,28.26233,-1.61141,42.85286,-1.04380,0.93078,-0.00976,-0.01362,0.36514,1,1,
06.23 13:35:53,34,0.17717,-0.27773,9.83538,-0.01065,-0.00533,0.00426,28.26233,0.44861,28.26233,-1.61141,42.85286,-1.04380,0.93078,-0.00976,-0.01362,0.36514,1,1,
06.23 13:35:53,35,0.17717,-0.27294,9.83538,-0.01172,-0.00533,0.00426,28.26233,0.44861,28.26233,-1.61141,42.85286,-1.04380,0.93078,-0.00976,-0.01362,0.36514,1,1,
06.23 13:35:53,36,0.17717,-0.27773,9.83538,-0.01065,-0.00320,0.00533,28.26233,0.44861,28.26233,-1.61141,42.85286,-1.04380,0.93078,-0.00976,-0.01362,0.36514,1,1,
06.23 13:35:53,37,0.17717,-0.27773,9.83538,-0.01065,-0.00320,0.00426,29.45862,-0.14954,30.35583,-1.61660,42.76659,-1.04328,0.93106,-0.00982,-0.01362,0.36444,1,1,
06.23 13:35:53,38,0.18196,-0.27773,9.83538,-0.01065,-0.00320,0.00320,29.45862,-0.14954,30.35583,-1.61660,42.76659,-1.04328,0.93106,-0.00982,-0.01362,0.36444,1,1,
06.23 13:35:53,39,0.17717,-0.27773,9.83538,-0.01065,-0.00320,0.00213,29.45862,-0.14954,30.35583,-1.61660,42.76659,-1.04328,0.93106,-0.00982,-0.01362,0.36444,1,1,
06.23 13:35:53,40,0.17717,-0.27773,9.84017,-0.00959,-0.00320,0.00320,29.45862,-0.14954,30.35583,-1.61660,42.76659,-1.04328,0.93106,-0.00982,-0.01362,0.36444,1,1,
06.23 13:35:53,41,0.17717,-0.27294,9.84017,-0.00959,-0.00320,0.00320,29.45862,-0.14954,30.35583,-1.61660,42.76659,-1.04328,0.93106,-0.00982,-0.01362,0.36444,1,1,
