Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.23 15:57:10:371,58.04523,-1.47481,-0.87454,20.92611,-0.60812,-0.11894,-37.11974,0.86684,0.75769,0.00063,-0.00016,-0.00208,
06.23 15:57:10:404,58.03988,-1.47504,-0.87208,20.92829,-0.60469,-0.11758,-37.11974,0.86684,0.75769,0.00816,0.00350,-0.00319,
06.23 15:57:10:438,58.04794,-1.47642,-0.87168,20.92970,-0.60453,-0.11768,-37.11974,0.86684,0.75769,0.00151,0.00504,-0.00369,
06.23 15:57:10:472,58.04885,-1.47682,-0.87182,20.92905,-0.60279,-0.11780,-37.11974,0.86684,0.75769,-0.00005,0.00719,-0.00367,
06.23 15:57:10:521,58.04721,-1.47808,-0.87169,20.92901,-0.60204,-0.11898,-37.11974,0.86684,0.75769,0.00155,0.00920,-0.00499,
06.23 15:57:10:558,58.05338,-1.47667,-0.87124,20.92735,-0.60179,-0.11949,-37.11974,0.86684,0.75769,-0.00629,0.00804,-0.00593,
06.23 15:57:10:587,58.05475,-1.47557,-0.87101,20.92604,-0.60268,-0.11843,-37.11974,0.86684,0.75769,-0.00897,0.00605,-0.00511,
06.23 15:57:10:623,58.05118,-1.47564,-0.87105,20.92648,-0.60194,-0.11849,-37.11974,0.86684,0.75769,-0.00496,0.00686,-0.00513,
06.23 15:57:10:657,58.05506,-1.47477,-0.87102,20.92573,-0.60404,-0.11882,-37.11974,0.86684,0.75769,-0.00959,0.00388,-0.00549,
06.23 15:57:10:689,58.05741,-1.47486,-0.87180,20.92500,-0.60502,-0.11889,-37.11974,0.86684,0.75769,-0.01266,0.00300,-0.00478,
06.23 15:57:10:723,58.05954,-1.47572,-0.87306,20.92504,-0.60497,-0.11991,-37.11974,0.86684,0.75769,-0.01476,0.00391,-0.00454,
06.23 15:57:10:756,58.05548,-1.47549,-0.87401,20.92575,-0.60667,-0.12112,-37.11974,0.86684,0.75769,-0.00999,0.00197,-0.00480,
06.23 15:57:10:788,58.05657,-1.47342,-0.87364,20.92528,-0.60419,-0.12036,-37.11974,0.86684,0.75769,-0.01155,0.00239,-0.00441,
06.23 15:57:10:842,58.05459,-1.47275,-0.87433,20.92515,-0.60592,-0.12158,-37.11974,0.86684,0.75769,-0.00970,-0.00001,-0.00494,
06.23 15:57:10:891,58.04643,-1.47065,-0.87481,20.92578,-0.60471,-0.12378,-37.11974,0.86684,0.75769,-0.00091,-0.00090,-0.00666,
06.23 15:57:10:941,58.04128,-1.47030,-0.87550,20.92630,-0.60617,-0.12336,-37.11974,0.86684,0.75769,0.00476,-0.00271,-0.00555,
06.23 15:57:10:988,58.05359,-1.46728,-0.87703,20.92800,-0.60517,-0.12705,-37.11974,0.86684,0.75769,-0.00584,-0.00474,-0.00771,
06.23 15:57:11:038,58.04769,-1.46618,-0.87703,20.91887,-0.59246,-0.11882,-37.11974,0.86684,0.75769,-0.00908,0.00688,0.00052,
06.23 15:57:11:074,58.03981,-1.46659,-0.87630,20.91997,-0.59465,-0.11913,-37.11974,0.86684,0.75769,-0.00009,0.00510,-0.00052,
06.23 15:57:11:108,58.04099,-1.46756,-0.87362,20.92027,-0.59329,-0.11957,-37.11974,0.86684,0.75769,-0.00097,0.00743,-0.00364,
06.23 15:57:11:141,58.04307,-1.46755,-0.87389,20.92155,-0.59515,-0.12214,-37.11974,0.86684,0.75769,-0.00177,0.00556,-0.00593,
06.23 15:57:11:170,58.03782,-1.46904,-0.87379,20.92090,-0.59324,-0.12292,-37.11974,0.86684,0.75769,0.00282,0.00895,-0.00681,
06.23 15:57:11:204,58.02633,-1.47060,-0.87336,20.92073,-0.59053,-0.12117,-37.11974,0.86684,0.75769,0.01414,0.01323,-0.00550,
06.23 15:57:11:237,58.01871,-1.47132,-0.87273,20.92333,-0.59262,-0.12143,-37.11974,0.86684,0.75769,0.02437,0.01186,-0.00639,
06.23 15:57:11:273,58.01530,-1.47154,-0.87258,20.92260,-0.59038,-0.12114,-37.11974,0.86684,0.75769,0.02704,0.01432,-0.00625,
06.23 15:57:11:308,58.01240,-1.47114,-0.87257,20.92183,-0.59023,-0.12152,-37.11974,0.86684,0.75769,0.02917,0.01406,-0.00664,
06.23 15:57:11:343,58.00685,-1.47031,-0.87317,20.92210,-0.58893,-0.12179,-37.11974,0.86684,0.75769,0.03500,0.01453,-0.00631,
06.23 15:57:11:374,58.00681,-1.46955,-0.87490,20.92317,-0.59055,-0.12068,-37.11974,0.86684,0.75769,0.03611,0.01216,-0.00347,
06.23 15:57:11:423,58.00452,-1.47073,-0.87480,20.92299,-0.59130,-0.12033,-37.11974,0.86684,0.75769,0.03822,0.01259,-0.00321,
06.23 15:57:11:475,58.00988,-1.47074,-0.87322,20.92522,-0.58848,-0.11987,-37.11974,0.86684,0.75769,0.03509,0.01542,-0.00433,
06.23 15:57:11:508,58.01450,-1.47193,-0.87332,20.92672,-0.58998,-0.11836,-37.11974,0.86684,0.75769,0.03196,0.01510,-0.00272,
06.23 15:57:11:543,58.01022,-1.47120,-0.87052,20.92732,-0.59027,-0.11894,-37.11974,0.86684,0.75769,0.03684,0.01409,-0.00612,
06.23 15:57:11:591,58.01601,-1.47368,-0.87118,20.92649,-0.59021,-0.11900,-37.11974,0.86684,0.75769,0.03022,0.01663,-0.00551,
06.23 15:57:11:621,58.01579,-1.47256,-0.86910,20.92632,-0.58858,-0.11993,-37.11974,0.86684,0.75769,0.03027,0.01713,-0.00852,
06.23 15:57:11:671,58.01226,-1.47478,-0.86880,20.92760,-0.59159,-0.11923,-37.11974,0.86684,0.75769,0.03508,0.01635,-0.00812,
06.23 15:57:11:721,58.01002,-1.47662,-0.86732,20.92831,-0.59202,-0.11659,-37.11974,0.86684,0.75769,0.03803,0.01776,-0.00695,
06.23 15:57:11:754,58.01481,-1.47782,-0.87056,20.92918,-0.59406,-0.11528,-37.11974,0.86684,0.75769,0.03411,0.01691,-0.00241,
06.23 15:57:11:789,58.01601,-1.47656,-0.87152,20.92720,-0.59277,-0.11720,-37.11974,0.86684,0.75769,0.03093,0.01695,-0.00337,
06.23 15:57:11:821,58.01492,-1.47637,-0.87026,20.92445,-0.59291,-0.11602,-37.11974,0.86684,0.75769,0.02927,0.01661,-0.00344,
06.23 15:57:11:856,58.01247,-1.47680,-0.87055,20.92518,-0.59365,-0.11654,-37.11974,0.86684,0.75769,0.03245,0.01631,-0.00367,
06.23 15:57:11:890,58.01307,-1.47713,-0.86965,20.92445,-0.59623,-0.11697,-37.11974,0.86684,0.75769,0.03112,0.01407,-0.00500,
06.23 15:57:11:923,58.01075,-1.47724,-0.87013,20.92418,-0.59664,-0.11816,-37.11974,0.86684,0.75769,0.03317,0.01376,-0.00572,
06.23 15:57:11:960,58.00782,-1.47498,-0.87116,20.92289,-0.59352,-0.11736,-37.11974,0.86684,0.75769,0.03481,0.01462,-0.00388,
06.23 15:57:12:009,58.00383,-1.47490,-0.87160,20.92259,-0.59445,-0.11656,-37.11974,0.86684,0.75769,0.03851,0.01361,-0.00265,
06.23 15:57:12:057,58.00969,-1.47141,-0.87543,20.92337,-0.59064,-0.11975,-37.11974,0.86684,0.75769,0.03342,0.01393,-0.00200,
06.23 15:57:12:107,58.00190,-1.47130,-0.87568,20.92498,-0.59237,-0.11707,-37.11974,0.86684,0.75769,0.04282,0.01209,0.00092,
06.23 15:57:12:158,57.99906,-1.47117,-0.87257,20.92514,-0.59295,-0.11579,-37.11974,0.86684,0.75769,0.04582,0.01138,-0.00090,
06.23 15:57:12:206,57.99070,-1.46988,-0.87130,20.92969,-0.59471,-0.11580,-37.11974,0.86684,0.75769,0.05873,0.00833,-0.00218,
06.23 15:57:12:259,57.99434,-1.47142,-0.87062,20.93186,-0.59752,-0.11455,-37.11974,0.86684,0.75769,0.05727,0.00705,-0.00162,
06.23 15:57:12:306,57.99778,-1.47343,-0.87222,20.92877,-0.59624,-0.11550,-37.11974,0.86684,0.75769,0.05074,0.01035,-0.00097,
06.23 15:57:12:359,57.99952,-1.47367,-0.87391,20.92742,-0.59550,-0.11491,-37.11974,0.86684,0.75769,0.04765,0.01133,0.00132,
06.23 15:57:12:391,57.99129,-1.47675,-0.87435,20.92840,-0.59378,-0.11545,-37.11974,0.86684,0.75769,0.05685,0.01613,0.00121,
06.23 15:57:12:442,57.98571,-1.47621,-0.87513,20.92910,-0.59375,-0.11610,-37.11974,0.86684,0.75769,0.06313,0.01561,0.00134,
06.23 15:57:12:490,57.98354,-1.47625,-0.87400,20.93118,-0.59265,-0.11675,-37.11974,0.86684,0.75769,0.06738,0.01675,-0.00043,
06.23 15:57:12:522,57.97413,-1.47749,-0.87250,20.93073,-0.59306,-0.11418,-37.11974,0.86684,0.75769,0.07634,0.01759,0.00063,
06.23 15:57:12:558,57.97956,-1.47752,-0.87224,20.92991,-0.59320,-0.11521,-37.11974,0.86684,0.75769,0.07009,0.01747,-0.00066,
06.23 15:57:12:589,57.96881,-1.47664,-0.86986,20.93040,-0.59119,-0.11476,-37.11974,0.86684,0.75769,0.08133,0.01861,-0.00259,
06.23 15:57:12:624,57.96840,-1.47557,-0.87059,20.93008,-0.59278,-0.11573,-37.11974,0.86684,0.75769,0.08142,0.01595,-0.00282,
06.23 15:57:12:657,57.97043,-1.47625,-0.87099,20.93085,-0.59285,-0.11446,-37.11974,0.86684,0.75769,0.08017,0.01656,-0.00116,
06.23 15:57:12:691,57.96442,-1.47570,-0.87159,20.93046,-0.59378,-0.11368,-37.11974,0.86684,0.75769,0.08579,0.01507,0.00022,
06.23 15:57:12:725,57.96782,-1.47634,-0.87153,20.92971,-0.59236,-0.11364,-37.11974,0.86684,0.75769,0.08163,0.01714,0.00021,
06.23 15:57:12:756,57.96135,-1.47836,-0.87215,20.92967,-0.59339,-0.11448,-37.11974,0.86684,0.75769,0.08806,0.01813,-0.00002,
06.23 15:57:12:789,57.96061,-1.47620,-0.87202,20.93130,-0.59135,-0.11613,-37.11974,0.86684,0.75769,0.09044,0.01801,-0.00180,
06.23 15:57:12:823,57.95391,-1.47632,-0.87101,20.93283,-0.59279,-0.11600,-37.11974,0.86684,0.75769,0.09866,0.01668,-0.00268,
06.23 15:57:12:875,57.94456,-1.47651,-0.86960,20.93319,-0.59352,-0.11540,-37.11974,0.86684,0.75769,0.10838,0.01615,-0.00348,
06.23 15:57:12:908,57.94896,-1.47692,-0.87166,20.93325,-0.59428,-0.11578,-37.11974,0.86684,0.75769,0.10404,0.01580,-0.00181,
06.23 15:57:12:957,57.94210,-1.47769,-0.87436,20.93293,-0.59531,-0.11757,-37.11974,0.86684,0.75769,0.11057,0.01554,-0.00090,
06.23 15:57:12:990,57.94108,-1.48049,-0.87451,20.93130,-0.59545,-0.11677,-37.11974,0.86684,0.75769,0.10996,0.01820,0.00005,
06.23 15:57:13:025,57.93052,-1.47939,-0.87345,20.92576,-0.59414,-0.11661,-37.11974,0.86684,0.75769,0.11499,0.01841,-0.00084,
06.23 15:57:13:074,57.92952,-1.47884,-0.87323,20.92417,-0.59504,-0.11696,-37.11974,0.86684,0.75769,0.11440,0.01696,-0.00142,
06.23 15:57:13:106,57.93211,-1.47912,-0.87155,20.92455,-0.59496,-0.11663,-37.11974,0.86684,0.75769,0.11218,0.01731,-0.00277,
06.23 15:57:13:139,57.93760,-1.47719,-0.86857,20.92370,-0.59570,-0.11695,-37.11974,0.86684,0.75769,0.10584,0.01465,-0.00606,
06.23 15:57:13:173,57.94434,-1.47646,-0.86748,20.92232,-0.59581,-0.11566,-37.11974,0.86684,0.75769,0.09772,0.01380,-0.00587,
06.23 15:57:13:206,57.94182,-1.47549,-0.86810,20.92441,-0.59541,-0.11602,-37.11974,0.86684,0.75769,0.10233,0.01324,-0.00560,
06.23 15:57:13:239,57.93430,-1.47518,-0.86880,20.92434,-0.59723,-0.11612,-37.11974,0.86684,0.75769,0.10979,0.01111,-0.00501,
06.23 15:57:13:275,57.94083,-1.47625,-0.86729,20.92508,-0.59755,-0.11657,-37.11974,0.86684,0.75769,0.10399,0.01186,-0.00698,
06.23 15:57:13:306,57.93630,-1.47633,-0.86506,20.92502,-0.59783,-0.11707,-37.11974,0.86684,0.75769,0.10846,0.01165,-0.00969,
06.23 15:57:13:341,57.93325,-1.47609,-0.86475,20.92371,-0.59776,-0.11838,-37.11974,0.86684,0.75769,0.11020,0.01149,-0.01132,
06.23 15:57:13:373,57.93547,-1.47723,-0.86642,20.92515,-0.59729,-0.11851,-37.11974,0.86684,0.75769,0.10942,0.01310,-0.00978,
06.23 15:57:13:407,57.92760,-1.47754,-0.86751,20.92481,-0.59717,-0.11695,-37.11974,0.86684,0.75769,0.11695,0.01353,-0.00713,
06.23 15:57:13:441,57.93037,-1.47741,-0.86779,20.92431,-0.59818,-0.11511,-37.11974,0.86684,0.75769,0.11369,0.01239,-0.00500,
06.23 15:57:13:490,57.93679,-1.47695,-0.86719,20.92457,-0.59944,-0.11409,-37.11974,0.86684,0.75769,0.10752,0.01067,-0.00459,
