Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,
06.17 13:16:59,575255,0.49799,0.11013,9.85932,-0.00746,-0.00320,0.00533,2.84119,5.53284,30.05676,2.05718,97.61098,-1.98943,0.65818,0.02488,0.00207,0.75242,
06.17 13:16:59,575256,0.49321,0.11971,9.86411,-0.00746,-0.00320,0.00533,3.28979,5.38330,27.81372,2.05733,97.60754,-1.98972,0.65820,0.02488,0.00207,0.75240,
06.17 13:16:59,575257,0.49321,0.11971,9.86411,-0.00746,-0.00107,0.00639,3.28979,5.08423,28.41187,2.05754,97.60159,-1.98889,0.65824,0.02488,0.00208,0.75237,
06.17 13:16:59,575258,0.48363,0.11492,9.85932,-0.00852,-0.00213,0.00639,2.39258,6.28052,29.30908,2.05714,97.62212,-1.98787,0.65811,0.02487,0.00208,0.75249,
06.17 13:16:59,575259,0.49321,0.11013,9.85453,-0.00639,-0.00533,0.00639,3.14026,5.23376,28.86047,2.05724,97.62098,-1.98790,0.65811,0.02487,0.00208,0.75248,
06.17 13:16:59,575260,0.49321,0.11013,9.85932,-0.00746,-0.00320,0.00533,3.14026,5.23376,28.86047,2.05786,97.61984,-1.98824,0.65812,0.02488,0.00209,0.75247,
06.17 13:16:59,575261,0.49321,0.11971,9.85932,-0.00959,-0.00426,0.00533,3.14026,5.53284,28.86047,2.05752,97.62109,-1.98822,0.65811,0.02488,0.00208,0.75248,
06.17 13:16:59,575262,0.49321,0.12450,9.86411,-0.01065,-0.00426,0.00533,2.99072,4.48608,29.01001,2.05689,97.61386,-1.98876,0.65816,0.02488,0.00208,0.75244,
06.17 13:16:59,575263,0.50278,0.12450,9.86411,-0.00852,-0.00426,0.00533,2.99072,4.48608,29.01001,2.05604,97.60667,-1.98912,0.65821,0.02487,0.00207,0.75240,
06.17 13:16:59,575264,0.50278,0.11971,9.85453,-0.00959,-0.00213,0.00533,3.28979,4.48608,27.81372,2.05564,97.59297,-1.98877,0.65830,0.02487,0.00206,0.75232,
06.17 13:16:59,575265,0.50278,0.11971,9.85453,-0.00852,-0.00320,0.00426,4.63562,3.43933,29.15955,2.05495,97.53783,-1.98824,0.65866,0.02486,0.00205,0.75200,
06.17 13:16:59,575266,0.50757,0.11971,9.84975,-0.00852,-0.00320,0.00320,3.43933,5.53284,29.15955,2.05471,97.53303,-1.98811,0.65869,0.02486,0.00205,0.75197,
06.17 13:16:59,575267,0.51236,0.11013,9.84496,-0.00746,-0.00426,0.00426,1.79443,6.57959,28.71094,2.05426,97.56539,-1.98826,0.65848,0.02486,0.00205,0.75216,
06.17 13:16:59,575268,0.50757,0.10534,9.85453,-0.00852,-0.00213,0.00533,1.79443,6.57959,28.71094,2.05474,97.59788,-1.98784,0.65827,0.02486,0.00206,0.75235,
06.17 13:16:59,575269,0.49799,0.10056,9.85453,-0.00746,0.00000,0.00426,2.99072,5.68237,30.50537,2.05451,97.60354,-1.98648,0.65823,0.02485,0.00207,0.75238,
06.17 13:16:59,575270,0.49321,0.09577,9.85932,-0.00746,-0.00533,0.00426,2.69165,4.78516,29.01001,2.05442,97.60653,-1.98584,0.65821,0.02484,0.00207,0.75240,
06.17 13:16:59,575271,0.49799,0.10056,9.84975,-0.00746,-0.00426,0.00639,2.69165,4.78516,29.01001,2.05532,97.60986,-1.98626,0.65819,0.02485,0.00208,0.75242,
06.17 13:16:59,575272,0.50278,0.10534,9.84975,-0.00852,-0.00320,0.00533,3.58887,6.28052,28.41187,2.05524,97.60970,-1.98614,0.65819,0.02485,0.00208,0.75242,
06.17 13:16:59,575273,0.49799,0.11013,9.85453,-0.00852,-0.00426,0.00533,5.38330,4.78516,28.71094,2.05492,97.56794,-1.98626,0.65846,0.02485,0.00207,0.75218,
06.17 13:16:59,575274,0.48842,0.10534,9.85932,-0.00852,-0.00426,0.00533,1.94397,5.53284,27.96326,2.05474,97.59347,-1.98631,0.65830,0.02485,0.00207,0.75232,
06.17 13:16:59,575275,0.48363,0.11013,9.85932,-0.00746,-0.00320,0.00426,3.73840,5.23376,28.86047,2.05497,97.58027,-1.98647,0.65838,0.02485,0.00207,0.75225,
06.17 13:16:59,575276,0.48842,0.11492,9.85932,-0.00746,-0.00426,0.00639,3.73840,5.23376,28.86047,2.05577,97.56738,-1.98640,0.65847,0.02485,0.00207,0.75217,
06.17 13:16:59,575277,0.49799,0.11971,9.86411,-0.00852,-0.00533,0.00426,3.73840,3.73840,29.75769,2.05521,97.53278,-1.98696,0.65869,0.02486,0.00206,0.75197,
06.17 13:17:00,575278,0.51236,0.12450,9.86890,-0.00852,-0.00426,0.00533,3.58887,5.68237,29.60815,2.05487,97.52706,-1.98744,0.65873,0.02486,0.00205,0.75194,
06.17 13:17:00,575279,0.52194,0.11971,9.87369,-0.00746,-0.00426,0.00320,3.28979,4.78516,28.11279,2.05524,97.51640,-1.98805,0.65880,0.02486,0.00205,0.75188,
06.17 13:17:00,575280,0.52194,0.12450,9.86890,-0.00639,-0.00320,0.00533,3.28979,6.57959,28.11279,2.05595,97.52222,-1.98757,0.65876,0.02486,0.00206,0.75191,
06.17 13:17:00,575281,0.51715,0.12929,9.87369,-0.00639,-0.00320,0.00426,3.14026,7.02820,27.66418,2.05670,97.53326,-1.98726,0.65869,0.02487,0.00207,0.75198,
06.17 13:17:00,575282,0.50757,0.12929,9.87369,-0.00746,-0.00320,0.00426,1.94397,5.23376,30.05676,2.05669,97.55802,-1.98675,0.65853,0.02486,0.00207,0.75212,
06.17 13:17:00,575283,0.50278,0.11492,9.86890,-0.00852,-0.00533,0.00426,1.34583,6.72913,29.15955,2.05655,97.59977,-1.98696,0.65825,0.02486,0.00208,0.75236,
06.17 13:17:00,575284,0.49799,0.11492,9.85932,-0.00746,-0.00320,0.00533,1.34583,6.72913,29.15955,2.05643,97.64192,-1.98726,0.65798,0.02486,0.00209,0.75260,
06.17 13:17:00,575285,0.49321,0.11971,9.85932,-0.00639,-0.00320,0.00533,3.43933,4.63562,28.26233,2.05727,97.62744,-1.98741,0.65807,0.02487,0.00209,0.75252,
06.17 13:17:00,575286,0.48842,0.11971,9.86411,-0.00639,-0.00426,0.00533,0.74768,2.54211,29.45862,2.05780,97.69273,-1.98742,0.65764,0.02487,0.00211,0.75289,
06.17 13:17:00,575287,0.50278,0.11971,9.86411,-0.00852,-0.00533,0.00639,4.03748,5.23376,29.45862,2.05853,97.67509,-1.98877,0.65776,0.02488,0.00210,0.75279,
06.17 13:17:00,575288,0.50278,0.12450,9.86411,-0.00959,-0.00426,0.00426,1.49536,4.18701,28.11279,2.05784,97.70624,-1.98953,0.65755,0.02488,0.00210,0.75297,
06.17 13:17:00,575289,0.50278,0.12929,9.85932,-0.00959,-0.00320,0.00426,3.88794,5.38330,30.50537,2.05718,97.69194,-1.98994,0.65765,0.02488,0.00209,0.75289,
06.17 13:17:00,575290,0.50278,0.11971,9.85453,-0.00959,-0.00639,0.00533,3.14026,6.13098,29.45862,2.05684,97.69733,-1.99056,0.65761,0.02489,0.00208,0.75292,
06.17 13:17:00,575291,0.50757,0.12450,9.86411,-0.00746,-0.00426,0.00639,3.14026,5.83191,28.86047,2.05668,97.70139,-1.99177,0.65758,0.02489,0.00208,0.75294,
06.17 13:17:00,575292,0.50757,0.12450,9.85932,-0.00746,-0.00213,0.00426,3.14026,5.83191,28.86047,2.05657,97.70484,-1.99185,0.65756,0.02489,0.00208,0.75296,
06.17 13:17:00,575293,0.50757,0.11971,9.86411,-0.00746,-0.00320,0.00426,4.03748,6.13098,27.96326,2.05645,97.69555,-1.99144,0.65762,0.02489,0.00207,0.75291,
06.17 13:17:00,575294,0.51236,0.11971,9.85932,-0.00746,-0.00426,0.00320,2.84119,4.33655,28.86047,2.05668,97.68919,-1.99143,0.65767,0.02489,0.00207,0.75287,
06.17 13:17:00,575295,0.51236,0.11492,9.85453,-0.00746,-0.00213,0.00213,3.73840,4.93469,28.86047,2.05654,97.67120,-1.99120,0.65778,0.02489,0.00207,0.75277,
