Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.23 11:31:39,5,0.03352,-0.25379,9.98861,-0.01917,0.00000,0.00746,14.80408,-7.62634,-13.90686,-1.48021,-29.73697,-0.19691,0.96642,-0.01293,0.00165,-0.25660,1,1,
06.23 11:31:39,6,0.03831,-0.25857,9.98382,-0.02024,0.00107,0.00852,14.20593,-9.12170,-13.90686,-1.48578,-29.48449,-0.19554,0.96699,-0.01297,0.00165,-0.25447,1,1,
06.23 11:31:39,7,0.03831,-0.25857,9.97903,-0.02131,-0.00107,0.00746,13.75732,-7.47681,-13.75732,-1.49503,-29.73234,-0.19933,0.96643,-0.01306,0.00167,-0.25656,1,1,
06.23 11:31:39,8,0.02873,-0.25857,9.98382,-0.02131,-0.00107,0.00852,14.35547,-9.27124,-14.35547,-1.50341,-29.49489,-0.20014,0.96697,-0.01313,0.00165,-0.25456,1,1,
06.23 11:31:39,9,0.02873,-0.26336,9.98382,-0.01917,0.00107,0.00639,14.80408,-8.52356,-13.90686,-1.52327,-29.40690,-0.19259,0.96716,-0.01328,0.00175,-0.25382,1,1,
06.23 11:31:39,10,0.03352,-0.25857,9.98382,-0.02024,0.00000,0.00746,14.80408,-8.82263,-13.30872,-1.53215,-29.29059,-0.19057,0.96741,-0.01336,0.00177,-0.25283,1,1,
06.23 11:31:39,11,0.03831,-0.26336,9.97903,-0.02024,0.00107,0.00746,13.90686,-8.82263,-13.00964,-1.54132,-29.25121,-0.19060,0.96749,-0.01343,0.00179,-0.25250,1,1,
06.23 11:31:39,12,0.02873,-0.25857,9.98382,-0.02024,0.00107,0.00746,15.10315,-7.92542,-14.80408,-1.54668,-29.27414,-0.19052,0.96744,-0.01348,0.00180,-0.25270,1,1,
06.23 11:31:39,13,0.02873,-0.25379,9.98861,-0.02131,0.00000,0.00746,13.90686,-6.72913,-13.00964,-1.55170,-29.51636,-0.18778,0.96691,-0.01351,0.00186,-0.25474,1,1,
06.23 11:31:39,14,0.02873,-0.24900,9.99340,-0.02024,-0.00107,0.00639,14.35547,-8.97217,-13.15918,-1.55573,-29.42819,-0.18698,0.96711,-0.01355,0.00187,-0.25399,1,1,
06.23 11:31:39,15,0.02394,-0.25379,9.98382,-0.01917,0.00000,0.00639,14.35547,-9.86938,-13.45825,-1.56141,-29.25735,-0.18403,0.96748,-0.01359,0.00189,-0.25255,1,1,
06.23 11:31:39,16,0.02394,-0.25857,9.97903,-0.01811,0.00000,0.00639,12.71057,-7.92542,-12.71057,-1.56671,-29.35698,-0.18067,0.96726,-0.01363,0.00194,-0.25339,1,1,
06.23 11:31:39,17,0.02394,-0.25379,9.97903,-0.02024,0.00000,0.00639,14.95361,-7.47681,-12.86011,-1.57188,-29.42545,-0.17782,0.96711,-0.01366,0.00198,-0.25397,1,1,
06.23 11:31:39,18,0.02394,-0.25379,9.97903,-0.01917,-0.00107,0.00639,13.45825,-8.97217,-14.05640,-1.57716,-29.39115,-0.17528,0.96719,-0.01370,0.00201,-0.25368,1,1,
06.23 11:31:39,19,0.02394,-0.26336,9.98382,-0.02024,-0.00107,0.00746,14.05640,-8.67310,-14.05640,-1.58371,-29.36311,-0.17304,0.96725,-0.01375,0.00204,-0.25344,1,1,
06.23 11:31:39,20,0.02394,-0.25857,9.97903,-0.01917,0.00107,0.00746,14.35547,-9.57031,-14.35547,-1.59052,-29.25753,-0.17104,0.96747,-0.01381,0.00206,-0.25255,1,1,
06.23 11:31:39,21,0.02394,-0.25857,9.98382,-0.02131,0.00213,0.00746,13.45825,-8.67310,-13.45825,-1.59604,-29.25679,-0.16886,0.96747,-0.01385,0.00209,-0.25255,1,1,
06.23 11:31:39,22,0.01915,-0.26336,9.98382,-0.01917,0.00000,0.00852,12.86011,-7.17773,-12.26196,-1.60437,-29.37765,-0.16689,0.96721,-0.01391,0.00214,-0.25356,1,1,
