Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 13:35:54:135,-16.42041,-1.03389,-0.14682,-82.78935,0.01989,-0.31905,-66.37582,1.05760,-0.17221,0.00688,-0.00382,-0.00002,
07.10 13:35:54:191,-16.44267,-1.03508,-0.14390,-82.78072,0.02187,-0.31612,-66.37582,1.05760,-0.17221,0.03778,-0.00065,-0.00001,
07.10 13:35:54:232,-16.44821,-1.03358,-0.14214,-82.78082,0.01743,-0.31795,-66.37582,1.05760,-0.17221,0.04321,-0.00659,-0.00360,
07.10 13:35:54:282,-16.45869,-1.03492,-0.14129,-82.77945,0.01716,-0.31810,-66.37582,1.05760,-0.17221,0.05506,-0.00551,-0.00460,
07.10 13:35:54:335,-16.46837,-1.03326,-0.14063,-82.78510,0.01393,-0.32015,-66.37582,1.05760,-0.17221,0.05909,-0.01041,-0.00731,
07.10 13:35:54:382,-16.47566,-1.03226,-0.14021,-82.78442,0.01166,-0.32057,-66.37582,1.05760,-0.17221,0.06707,-0.01367,-0.00814,
07.10 13:35:54:432,-16.47986,-1.03175,-0.13839,-82.77769,0.01790,-0.32541,-66.37582,1.05760,-0.17221,0.07800,-0.00795,-0.01480,
07.10 13:35:54:481,-16.48271,-1.03287,-0.13938,-82.78158,0.01702,-0.32312,-66.37582,1.05760,-0.17221,0.07695,-0.00771,-0.01152,
07.10 13:35:54:533,-16.48419,-1.03449,-0.13887,-82.78730,0.01807,-0.32206,-66.37582,1.05760,-0.17221,0.07272,-0.00504,-0.01098,
07.10 13:35:54:584,-16.48922,-1.03604,-0.13911,-82.78668,0.02032,-0.32211,-66.37582,1.05760,-0.17221,0.07836,-0.00123,-0.01079,
07.10 13:35:54:632,-16.49446,-1.03832,-0.13823,-82.79886,0.02329,-0.32324,-66.37582,1.05760,-0.17221,0.07143,0.00401,-0.01280,
07.10 13:35:54:682,-16.50377,-1.03859,-0.13911,-82.79378,0.02359,-0.32072,-66.37582,1.05760,-0.17221,0.08582,0.00458,-0.00940,
07.10 13:35:54:728,-16.50997,-1.04127,-0.13863,-82.78687,0.02577,-0.32074,-66.37582,1.05760,-0.17221,0.09893,0.00944,-0.00990,
07.10 13:35:54:781,-16.51833,-1.04311,-0.13741,-82.79062,0.02621,-0.32092,-66.37582,1.05760,-0.17221,0.10354,0.01172,-0.01130,
07.10 13:35:54:833,-16.53090,-1.04427,-0.13775,-82.79567,0.02575,-0.32101,-66.37582,1.05760,-0.17221,0.11105,0.01243,-0.01105,
07.10 13:35:54:881,-16.53720,-1.04374,-0.13842,-82.79227,0.02694,-0.32146,-66.37582,1.05760,-0.17221,0.12076,0.01308,-0.01082,
07.10 13:35:54:931,-16.54175,-1.04432,-0.13779,-82.78522,0.02186,-0.32212,-66.37582,1.05760,-0.17221,0.13235,0.00859,-0.01212,
07.10 13:35:54:985,-16.53722,-1.04439,-0.13545,-82.78575,0.01906,-0.31991,-66.37582,1.05760,-0.17221,0.12729,0.00585,-0.01225,
07.10 13:35:55:036,-16.53651,-1.04472,-0.13502,-82.77989,0.01624,-0.31902,-66.37582,1.05760,-0.17221,0.13245,0.00336,-0.01179,
07.10 13:35:55:087,-16.54079,-1.04467,-0.13630,-82.78687,0.01654,-0.31761,-66.37582,1.05760,-0.17221,0.12975,0.00361,-0.00909,
07.10 13:35:55:138,-16.54514,-1.04545,-0.13476,-82.79104,0.01604,-0.31751,-66.37582,1.05760,-0.17221,0.12993,0.00389,-0.01054,
07.10 13:35:55:189,-16.54955,-1.04613,-0.13357,-82.79637,0.01881,-0.31687,-66.37582,1.05760,-0.17221,0.12901,0.00735,-0.01109,
07.10 13:35:55:242,-16.55408,-1.04641,-0.13368,-82.79533,0.01639,-0.31875,-66.37582,1.05760,-0.17221,0.13457,0.00519,-0.01286,
07.10 13:35:55:288,-16.56096,-1.04823,-0.13298,-82.78896,0.01556,-0.31962,-66.37582,1.05760,-0.17221,0.14782,0.00618,-0.01443,
07.10 13:35:55:334,-16.56126,-1.05160,-0.13414,-82.78503,0.01774,-0.31886,-66.37582,1.05760,-0.17221,0.15205,0.01175,-0.01251,
07.10 13:35:55:384,-16.56321,-1.05132,-0.13554,-82.79279,0.01842,-0.31786,-66.37582,1.05760,-0.17221,0.14624,0.01214,-0.01011,
07.10 13:35:55:441,-16.56207,-1.05137,-0.13441,-82.78340,0.01965,-0.31869,-66.37582,1.05760,-0.17221,0.15449,0.01341,-0.01208,
07.10 13:35:55:487,-16.55939,-1.05290,-0.13426,-82.78038,0.02136,-0.31828,-66.37582,1.05760,-0.17221,0.15484,0.01666,-0.01181,
07.10 13:35:55:538,-16.55851,-1.05463,-0.13304,-82.78178,0.02142,-0.31760,-66.37582,1.05760,-0.17221,0.15256,0.01844,-0.01235,
