Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 13:15:52:309,-13.37297,-1.68677,1.74933,-101.13022,-0.25342,1.51193,-87.75397,1.43430,-0.23277,-0.00328,-0.00094,-0.00463,
07.10 13:15:52:356,-13.36582,-1.68174,1.75422,-101.12585,-0.25588,1.50970,-87.75397,1.43430,-0.23277,-0.00607,-0.00844,-0.01175,
07.10 13:15:52:405,-13.36414,-1.68114,1.76036,-101.13142,-0.24605,1.51334,-87.75397,1.43430,-0.23277,-0.01331,0.00079,-0.01425,
07.10 13:15:52:455,-13.36541,-1.67889,1.76503,-101.12887,-0.24514,1.51409,-87.75397,1.43430,-0.23277,-0.00949,-0.00055,-0.01817,
07.10 13:15:52:510,-13.37106,-1.67939,1.76930,-101.12583,-0.24306,1.51392,-87.75397,1.43430,-0.23277,-0.00080,0.00202,-0.02261,
07.10 13:15:52:561,-13.37772,-1.67951,1.77013,-101.12592,-0.24074,1.51321,-87.75397,1.43430,-0.23277,0.00576,0.00447,-0.02415,
07.10 13:15:52:610,-13.38307,-1.67888,1.77000,-101.12742,-0.23757,1.51237,-87.75397,1.43430,-0.23277,0.00962,0.00701,-0.02486,
07.10 13:15:52:658,-13.39437,-1.67831,1.77332,-101.13123,-0.23876,1.51493,-87.75397,1.43430,-0.23277,0.01711,0.00526,-0.02563,
07.10 13:15:52:709,-13.40383,-1.67833,1.77588,-101.13158,-0.23809,1.51366,-87.75397,1.43430,-0.23277,0.02621,0.00595,-0.02945,
07.10 13:15:52:759,-13.41043,-1.68165,1.77466,-101.13205,-0.24280,1.51169,-87.75397,1.43430,-0.23277,0.03235,0.00455,-0.03020,
07.10 13:15:52:808,-13.40884,-1.68233,1.77584,-101.12124,-0.24357,1.51069,-87.75397,1.43430,-0.23277,0.04157,0.00446,-0.03238,
07.10 13:15:52:855,-13.40450,-1.68335,1.77427,-101.12370,-0.24523,1.51033,-87.75397,1.43430,-0.23277,0.03476,0.00382,-0.03117,
07.10 13:15:52:906,-13.40265,-1.68726,1.77333,-101.12536,-0.24340,1.51084,-87.75397,1.43430,-0.23277,0.03126,0.00956,-0.02972,
07.10 13:15:52:958,-13.40049,-1.69092,1.77100,-101.12382,-0.24304,1.50833,-87.75397,1.43430,-0.23277,0.03064,0.01359,-0.02990,
07.10 13:15:52:992,-13.39609,-1.69448,1.77057,-101.12167,-0.24659,1.50850,-87.75397,1.43430,-0.23277,0.02839,0.01359,-0.02930,
07.10 13:15:53:022,-13.39328,-1.69583,1.76741,-101.11825,-0.24654,1.50889,-87.75397,1.43430,-0.23277,0.02900,0.01500,-0.02576,
07.10 13:15:53:077,-13.39097,-1.69711,1.76587,-101.11642,-0.24457,1.50879,-87.75397,1.43430,-0.23277,0.02852,0.01824,-0.02431,
07.10 13:15:53:126,-13.38534,-1.69686,1.76325,-101.11147,-0.24532,1.50835,-87.75397,1.43430,-0.23277,0.02784,0.01725,-0.02213,
07.10 13:15:53:176,-13.38317,-1.69968,1.76345,-101.11407,-0.24449,1.50840,-87.75397,1.43430,-0.23277,0.02307,0.02090,-0.02229,
07.10 13:15:53:222,-13.38552,-1.69951,1.76289,-101.11312,-0.24363,1.50770,-87.75397,1.43430,-0.23277,0.02637,0.02158,-0.02242,
07.10 13:15:53:272,-13.38406,-1.70018,1.76452,-101.11700,-0.24520,1.50560,-87.75397,1.43430,-0.23277,0.02103,0.02069,-0.02615,
07.10 13:15:53:321,-13.38636,-1.70091,1.76440,-101.12379,-0.24148,1.50740,-87.75397,1.43430,-0.23277,0.01654,0.02513,-0.02423,
07.10 13:15:53:376,-13.38477,-1.69940,1.76665,-101.12822,-0.23995,1.50605,-87.75397,1.43430,-0.23277,0.01052,0.02516,-0.02783,
07.10 13:15:53:411,-13.38529,-1.69961,1.76491,-101.13456,-0.24165,1.50525,-87.75397,1.43430,-0.23277,0.00470,0.02366,-0.02689,
07.10 13:15:53:438,-13.38829,-1.70073,1.76512,-101.13718,-0.24415,1.50322,-87.75397,1.43430,-0.23277,0.00507,0.02228,-0.02913,
07.10 13:15:53:489,-13.38949,-1.70173,1.76720,-101.13609,-0.24418,1.50274,-87.75397,1.43430,-0.23277,0.00737,0.02325,-0.03169,
07.10 13:15:53:525,-13.38971,-1.70256,1.76698,-101.13796,-0.24433,1.50163,-87.75397,1.43430,-0.23277,0.00571,0.02393,-0.03259,
07.10 13:15:53:559,-13.39023,-1.70179,1.76794,-101.14286,-0.24449,1.50204,-87.75397,1.43430,-0.23277,0.00134,0.02300,-0.03313,
07.10 13:15:53:593,-13.39119,-1.70119,1.76987,-101.13711,-0.24469,1.50312,-87.75397,1.43430,-0.23277,0.00806,0.02220,-0.03399,
07.10 13:15:53:621,-13.39242,-1.69959,1.77112,-101.13787,-0.24525,1.50150,-87.75397,1.43430,-0.23277,0.00852,0.02004,-0.03685,
07.10 13:15:53:654,-13.39349,-1.69764,1.77147,-101.13214,-0.24636,1.50146,-87.75397,1.43430,-0.23277,0.01531,0.01699,-0.03725,
07.10 13:15:53:709,-13.39535,-1.69822,1.77313,-101.13234,-0.24602,1.50121,-87.75397,1.43430,-0.23277,0.01698,0.01791,-0.03914,
07.10 13:15:53:760,-13.39706,-1.69846,1.77637,-101.13566,-0.24603,1.50430,-87.75397,1.43430,-0.23277,0.01537,0.01813,-0.03930,
07.10 13:15:53:792,-13.39670,-1.69917,1.78002,-101.13708,-0.24907,1.50176,-87.75397,1.43430,-0.23277,0.01359,0.01580,-0.04549,
07.10 13:15:53:826,-13.39606,-1.69914,1.78180,-101.13973,-0.24850,1.50238,-87.75397,1.43430,-0.23277,0.01029,0.01635,-0.04666,
07.10 13:15:53:876,-13.39365,-1.69771,1.78284,-101.13764,-0.24982,1.50084,-87.75397,1.43430,-0.23277,0.00997,0.01359,-0.04923,
07.10 13:15:53:926,-13.39156,-1.69630,1.78341,-101.13966,-0.25184,1.50339,-87.75397,1.43430,-0.23277,0.00586,0.01016,-0.04725,
07.10 13:15:53:975,-13.39256,-1.69452,1.78781,-101.13905,-0.25281,1.50123,-87.75397,1.43430,-0.23277,0.00748,0.00741,-0.05382,
07.10 13:15:54:025,-13.39427,-1.69277,1.79139,-101.14261,-0.25418,1.50015,-87.75397,1.43430,-0.23277,0.00563,0.00430,-0.05847,
07.10 13:15:54:059,-13.39261,-1.69129,1.79618,-101.14030,-0.25420,1.49908,-87.75397,1.43430,-0.23277,0.00627,0.00280,-0.06433,
07.10 13:15:54:092,-13.39241,-1.68897,1.79917,-101.13855,-0.25177,1.49953,-87.75397,1.43430,-0.23277,0.00783,0.00290,-0.06687,
07.10 13:15:54:138,-13.39214,-1.68734,1.80078,-101.14050,-0.25263,1.50280,-87.75397,1.43430,-0.23277,0.00562,0.00042,-0.06522,
07.10 13:15:54:188,-13.39336,-1.68777,1.80431,-101.14268,-0.25686,1.50384,-87.75397,1.43430,-0.23277,0.00465,-0.00339,-0.06771,
07.10 13:15:54:242,-13.39451,-1.69018,1.80659,-101.14165,-0.26128,1.50359,-87.75397,1.43430,-0.23277,0.00683,-0.00539,-0.07023,
07.10 13:15:54:275,-13.39662,-1.68876,1.80930,-101.13517,-0.26115,1.50574,-87.75397,1.43430,-0.23277,0.01542,-0.00669,-0.07080,
07.10 13:15:54:304,-13.40150,-1.69020,1.81134,-101.14033,-0.26255,1.50569,-87.75397,1.43430,-0.23277,0.01514,-0.00665,-0.07288,
07.10 13:15:54:360,-13.40723,-1.69074,1.81180,-101.14271,-0.26450,1.50535,-87.75397,1.43430,-0.23277,0.01849,-0.00806,-0.07368,
07.10 13:15:54:409,-13.40886,-1.69256,1.81463,-101.15228,-0.24786,1.50908,-87.75397,1.43430,-0.23277,0.01055,0.01041,-0.07278,
07.10 13:15:54:460,-13.40843,-1.69222,1.81314,-101.15219,-0.24904,1.51099,-87.75397,1.43430,-0.23277,0.01021,0.00888,-0.06938,
07.10 13:15:54:504,-13.41178,-1.69336,1.81414,-101.15032,-0.24762,1.51103,-87.75397,1.43430,-0.23277,0.01543,0.01145,-0.07034,
07.10 13:15:54:559,-13.41203,-1.69651,1.81190,-101.14860,-0.25086,1.51247,-87.75397,1.43430,-0.23277,0.01740,0.01135,-0.06666,
07.10 13:15:54:610,-13.41302,-1.69679,1.81205,-101.15511,-0.25437,1.51225,-87.75397,1.43430,-0.23277,0.01187,0.00813,-0.06702,
07.10 13:15:54:659,-13.41046,-1.69999,1.81041,-101.15495,-0.25541,1.51209,-87.75397,1.43430,-0.23277,0.00948,0.01029,-0.06555,
07.10 13:15:54:710,-13.40347,-1.70156,1.81011,-101.15310,-0.25573,1.51267,-87.75397,1.43430,-0.23277,0.00434,0.01153,-0.06467,
07.10 13:15:54:760,-13.40572,-1.70331,1.80808,-101.15546,-0.25468,1.51128,-87.75397,1.43430,-0.23277,0.00423,0.01434,-0.06403,
07.10 13:15:54:809,-13.40738,-1.70481,1.80609,-101.15887,-0.25282,1.51114,-87.75397,1.43430,-0.23277,0.00248,0.01770,-0.06218,
07.10 13:15:54:860,-13.41092,-1.70211,1.80470,-101.15764,-0.25415,1.51083,-87.75397,1.43430,-0.23277,0.00725,0.01366,-0.06110,
07.10 13:15:54:909,-13.41134,-1.70127,1.80331,-101.15408,-0.25314,1.51091,-87.75397,1.43430,-0.23277,0.01122,0.01383,-0.05963,
07.10 13:15:54:943,-13.41228,-1.70290,1.80187,-101.15504,-0.25296,1.51027,-87.75397,1.43430,-0.23277,0.01121,0.01564,-0.05883,
07.10 13:15:54:975,-13.41615,-1.70341,1.80106,-101.15386,-0.25142,1.51314,-87.75397,1.43430,-0.23277,0.01626,0.01769,-0.05515,
07.10 13:15:55:025,-13.42205,-1.70354,1.80304,-101.15034,-0.25440,1.51253,-87.75397,1.43430,-0.23277,0.02567,0.01485,-0.05774,
07.10 13:15:55:071,-13.43271,-1.70266,1.80557,-101.14918,-0.25698,1.51277,-87.75397,1.43430,-0.23277,0.03750,0.01139,-0.06003,
07.10 13:15:55:126,-13.44356,-1.70229,1.80496,-101.15516,-0.25818,1.51410,-87.75397,1.43430,-0.23277,0.04237,0.00981,-0.05810,
07.10 13:15:55:175,-13.45427,-1.70217,1.80619,-101.15358,-0.25773,1.51501,-87.75397,1.43430,-0.23277,0.05466,0.01014,-0.05841,
07.10 13:15:55:221,-13.46415,-1.69937,1.80778,-101.15427,-0.26139,1.51427,-87.75397,1.43430,-0.23277,0.06385,0.00368,-0.06074,
07.10 13:15:55:271,-13.46811,-1.69881,1.80923,-101.15088,-0.25711,1.51454,-87.75397,1.43430,-0.23277,0.07120,0.00741,-0.06192,
07.10 13:15:55:309,-13.47087,-1.69609,1.81285,-101.15022,-0.25872,1.51500,-87.75397,1.43430,-0.23277,0.07462,0.00307,-0.06507,
07.10 13:15:55:342,-13.46999,-1.69627,1.81362,-101.14637,-0.25945,1.51263,-87.75397,1.43430,-0.23277,0.07758,0.00252,-0.06822,
07.10 13:15:55:375,-13.47038,-1.69423,1.81458,-101.14795,-0.26369,1.51151,-87.75397,1.43430,-0.23277,0.07640,-0.00376,-0.07031,
07.10 13:15:55:404,-13.46988,-1.69342,1.81551,-101.14796,-0.26701,1.50922,-87.75397,1.43430,-0.23277,0.07590,-0.00789,-0.07353,
07.10 13:15:55:455,-13.47029,-1.69240,1.81573,-101.14617,-0.26895,1.50987,-87.75397,1.43430,-0.23277,0.07809,-0.01084,-0.07309,
07.10 13:15:55:509,-13.47050,-1.68737,1.81652,-101.15181,-0.26467,1.50883,-87.75397,1.43430,-0.23277,0.07265,-0.01160,-0.07492,
