Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.02 17:06:14:782,262,-0.06073,-0.15964,9.83091,-0.00000,0.00000,-24685744208244365821214720.00000,0.29218,-0.06230,-0.56573,-0.96686,100.58170,0.30954,0.63885,-0.00747,-0.00477,0.76928,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:791,263,-0.02958,-0.18352,9.77676,-0.00000,0.00000,-24685744208244365821214720.00000,0.29317,-0.06382,-0.56423,-0.96597,100.58153,0.30940,0.63885,-0.00746,-0.00476,0.76928,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:801,264,-0.05226,-0.16078,9.86076,-0.00000,0.00000,-24685744208244365821214720.00000,0.29317,-0.06582,-0.56424,-0.96395,100.57301,0.30932,0.63891,-0.00745,-0.00475,0.76923,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:811,265,-0.05544,-0.15544,9.76892,-0.00000,0.00000,-24685744208244365821214720.00000,0.29219,-0.06627,-0.56674,-0.96447,100.55071,0.30970,0.63906,-0.00746,-0.00475,0.76911,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:821,266,-0.06560,-0.17873,9.88858,-0.00000,0.00000,-24685744208244365821214720.00000,0.29516,-0.06427,-0.56670,-0.96403,100.57554,0.30993,0.63889,-0.00746,-0.00474,0.76925,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:830,267,-0.04150,-0.15387,9.77874,-0.00000,0.00000,-24685744208244365821214720.00000,0.29466,-0.06531,-0.56472,-0.96452,100.57707,0.30893,0.63888,-0.00745,-0.00475,0.76926,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:842,268,-0.07410,-0.17641,9.85653,-0.00000,0.00000,-24685744208244365821214720.00000,0.29466,-0.06380,-0.56521,-0.96483,100.59827,0.30858,0.63874,-0.00745,-0.00476,0.76937,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:851,269,-0.05128,-0.16630,9.80034,-0.00000,0.00000,-24685744208244365821214720.00000,0.29317,-0.06430,-0.56523,-0.96536,100.59803,0.30822,0.63874,-0.00745,-0.00476,0.76937,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:862,270,-0.06378,-0.19366,9.84011,-0.00000,0.00000,-24685744208244365821214720.00000,0.29366,-0.06432,-0.56423,-0.96628,100.59673,0.30803,0.63875,-0.00745,-0.00477,0.76937,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:872,271,-0.04971,-0.16774,9.80411,-0.00000,0.00000,-24685744208244365821214720.00000,0.29713,-0.06482,-0.56370,-0.96719,100.59013,0.30858,0.63879,-0.00746,-0.00477,0.76933,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:882,272,-0.05299,-0.16748,9.82983,-0.00000,0.00000,-24685744208244365821214720.00000,0.29467,-0.06578,-0.56622,-0.96754,100.63227,0.30934,0.63851,-0.00747,-0.00477,0.76956,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:892,273,-0.06657,-0.16967,9.81813,-0.00000,0.00000,-24685744208244365821214720.00000,0.29466,-0.06581,-0.56472,-0.96726,100.63137,0.30939,0.63851,-0.00747,-0.00477,0.76956,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:901,274,-0.05630,-0.16697,9.82726,-0.00000,0.00000,-24685744208244365821214720.00000,0.29218,-0.06330,-0.56573,-0.96585,100.63244,0.31039,0.63851,-0.00747,-0.00476,0.76956,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:910,275,-0.05103,-0.17915,9.83932,-0.00000,0.00000,-24685744208244365821214720.00000,0.29317,-0.06482,-0.56423,-0.96516,100.61604,0.31023,0.63862,-0.00746,-0.00475,0.76947,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:921,276,-0.06594,-0.15351,9.82511,-0.00000,0.00000,-24685744208244365821214720.00000,0.29764,-0.06677,-0.56620,-0.96422,100.60722,0.31088,0.63868,-0.00746,-0.00474,0.76942,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:932,277,-0.08128,-0.16816,9.84559,-0.00000,0.00000,-24685744208244365821214720.00000,0.29764,-0.06228,-0.56568,-0.96258,100.56822,0.31043,0.63894,-0.00745,-0.00473,0.76921,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:941,278,-0.03931,-0.14558,9.80909,-0.00000,0.00000,-24685744208244365821214720.00000,0.29465,-0.06235,-0.56272,-0.96223,100.61032,0.31048,0.63866,-0.00745,-0.00473,0.76944,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:952,279,-0.05613,-0.15709,9.82514,-0.00000,0.00000,-24685744208244365821214720.00000,0.29417,-0.06279,-0.56571,-0.96188,100.60917,0.30982,0.63866,-0.00744,-0.00473,0.76944,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:962,280,-0.05741,-0.16403,9.84113,-0.00000,0.00000,-24685744208244365821214720.00000,0.29417,-0.06680,-0.56523,-0.96221,100.62254,0.30982,0.63857,-0.00744,-0.00473,0.76951,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:06:14:971,281,-0.07732,-0.17908,9.84311,-0.00000,0.00000,-24685744208244365821214720.00000,0.29268,-0.06680,-0.56524,-0.96275,100.60870,0.30990,0.63867,-0.00745,-0.00474,0.76943,0.00000,0.00000,0.00000,0.00000,1,0,
