Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:06:18:213,-162.86273,-5.23015,-2.82531,-71.89575,0.15720,-0.41390,82.24043,7.03861,0.50025,8.72655,-1.65126,1.91116,
07.10 11:06:18:259,-162.88513,-5.22951,-2.82286,-71.89466,0.15443,-0.41220,82.24043,7.03861,0.50025,8.75005,-1.65468,1.91041,
07.10 11:06:18:310,-162.87492,-5.23037,-2.82330,-71.88289,0.18156,-0.42729,82.24043,7.03861,0.50025,8.75161,-1.62668,1.89576,
07.10 11:06:18:361,-162.89403,-5.23055,-2.82248,-71.88382,0.18356,-0.42739,82.24043,7.03861,0.50025,8.76978,-1.62451,1.89484,
07.10 11:06:18:411,-162.90567,-5.22957,-2.82264,-71.88493,0.18316,-0.42519,82.24043,7.03861,0.50025,8.78032,-1.62588,1.89720,
07.10 11:06:18:460,-162.92882,-5.22691,-2.82219,-71.88583,0.18153,-0.42467,82.24043,7.03861,0.50025,8.80256,-1.63017,1.89726,
07.10 11:06:18:509,-162.92621,-5.22812,-2.82472,-71.88473,0.18133,-0.42357,82.24043,7.03861,0.50025,8.80106,-1.62916,1.90089,
07.10 11:06:18:555,-162.91191,-5.23071,-2.82609,-71.88535,0.18059,-0.42266,82.24043,7.03861,0.50025,8.78614,-1.62731,1.90317,
07.10 11:06:18:604,-162.91455,-5.22975,-2.82852,-71.88395,0.17874,-0.42275,82.24043,7.03861,0.50025,8.79018,-1.63013,1.90551,
07.10 11:06:18:661,-162.93948,-5.22714,-2.82950,-71.88628,0.17894,-0.42081,82.24043,7.03861,0.50025,8.81277,-1.63254,1.90843,
07.10 11:06:18:716,-162.95848,-5.22505,-2.82989,-71.88545,0.17595,-0.42121,82.24043,7.03861,0.50025,8.83260,-1.63761,1.90842,
07.10 11:06:18:758,-162.96323,-5.22429,-2.82978,-71.88588,0.17505,-0.41957,82.24043,7.03861,0.50025,8.83692,-1.63927,1.90996,
07.10 11:06:18:813,-162.94742,-5.22303,-2.82789,-71.88581,0.17261,-0.42107,82.24043,7.03861,0.50025,8.82118,-1.64297,1.90657,
07.10 11:06:18:864,-162.92651,-5.22387,-2.82899,-71.88466,0.17133,-0.42290,82.24043,7.03861,0.50025,8.80143,-1.64341,1.90583,
07.10 11:06:18:911,-162.91876,-5.22239,-2.82894,-71.88515,0.17177,-0.42413,82.24043,7.03861,0.50025,8.79318,-1.64446,1.90456,
07.10 11:06:18:959,-162.93942,-5.22191,-2.82849,-71.88519,0.17314,-0.42579,82.24043,7.03861,0.50025,8.81381,-1.64357,1.90244,
07.10 11:06:19:010,-162.93314,-5.22235,-2.82836,-71.88351,0.17225,-0.42211,82.24043,7.03861,0.50025,8.80920,-1.64401,1.90600,
07.10 11:06:19:058,-162.91792,-5.22175,-2.82874,-71.88404,0.17312,-0.42207,82.24043,7.03861,0.50025,8.79346,-1.64374,1.90641,
07.10 11:06:19:105,-162.91637,-5.22234,-2.82747,-71.88276,0.17159,-0.41647,82.24043,7.03861,0.50025,8.79318,-1.64469,1.91075,
07.10 11:06:19:155,-162.91284,-5.22293,-2.82753,-71.88152,0.17171,-0.41526,82.24043,7.03861,0.50025,8.79090,-1.64398,1.91202,
07.10 11:06:19:206,-162.92021,-5.22353,-2.82577,-71.88148,0.17496,-0.41375,82.24043,7.03861,0.50025,8.79831,-1.64013,1.91177,
07.10 11:06:19:259,-162.91199,-5.22327,-2.82541,-71.88095,0.17434,-0.41460,82.24043,7.03861,0.50025,8.79061,-1.64100,1.91056,
07.10 11:06:19:312,-162.95180,-5.22438,-2.82518,-71.87781,0.17080,-0.41573,82.24043,7.03861,0.50025,8.83356,-1.64343,1.90920,
07.10 11:06:19:358,-162.95265,-5.22241,-2.82437,-71.87621,0.17277,-0.41432,82.24043,7.03861,0.50025,8.83602,-1.64343,1.90980,
07.10 11:06:19:410,-162.99397,-5.22078,-2.82255,-71.87608,0.16820,-0.41335,82.24043,7.03861,0.50025,8.87747,-1.64964,1.90894,
