Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:50:10:386,-25.68976,-2.48937,0.88516,-134.65396,-1.44349,1.62924,-108.96783,1.04393,0.74363,0.00363,0.00195,0.00045,
07.10 11:50:10:436,-25.69446,-2.48901,0.88572,-134.64861,-1.44502,1.62725,-108.96783,1.04393,0.74363,0.01369,0.00006,-0.00209,
07.10 11:50:10:486,-25.69571,-2.48966,0.88363,-134.65134,-1.44610,1.62788,-108.96783,1.04393,0.74363,0.01221,-0.00037,0.00062,
07.10 11:50:10:537,-25.69394,-2.49102,0.88183,-134.65390,-1.44915,1.62832,-108.96783,1.04393,0.74363,0.00787,-0.00206,0.00286,
07.10 11:50:10:586,-25.69245,-2.49295,0.88320,-134.65411,-1.44705,1.62652,-108.96783,1.04393,0.74363,0.00616,0.00197,-0.00031,
07.10 11:50:10:636,-25.68916,-2.49328,0.88199,-134.64886,-1.44624,1.62607,-108.96783,1.04393,0.74363,0.00813,0.00311,0.00045,
07.10 11:50:10:686,-25.68555,-2.49298,0.88315,-134.64743,-1.44409,1.62389,-108.96783,1.04393,0.74363,0.00595,0.00496,-0.00289,
07.10 11:50:10:736,-25.68440,-2.49274,0.88320,-134.64282,-1.44272,1.62483,-108.96783,1.04393,0.74363,0.00941,0.00609,-0.00200,
07.10 11:50:10:786,-25.68347,-2.49321,0.88399,-134.64528,-1.44292,1.62347,-108.96783,1.04393,0.74363,0.00602,0.00637,-0.00415,
07.10 11:50:10:836,-25.68538,-2.49286,0.88201,-134.64436,-1.44271,1.62497,-108.96783,1.04393,0.74363,0.00886,0.00622,-0.00067,
07.10 11:50:10:886,-25.69107,-2.49383,0.88111,-134.64551,-1.44186,1.62414,-108.96783,1.04393,0.74363,0.01340,0.00804,-0.00059,
07.10 11:50:10:919,-25.69504,-2.49733,0.88133,-134.64954,-1.44448,1.62337,-108.96783,1.04393,0.74363,0.01334,0.00892,-0.00159,
07.10 11:50:10:970,-25.69852,-2.49866,0.88115,-134.64981,-1.44447,1.62198,-108.96783,1.04393,0.74363,0.01655,0.01026,-0.00279,
07.10 11:50:11:019,-25.70332,-2.49929,0.87916,-134.65326,-1.44601,1.62187,-108.96783,1.04393,0.74363,0.01790,0.00935,-0.00093,
07.10 11:50:11:070,-25.70163,-2.49833,0.87816,-134.65332,-1.44217,1.62294,-108.96783,1.04393,0.74363,0.01614,0.01224,0.00116,
07.10 11:50:11:120,-25.69736,-2.49881,0.87617,-134.65355,-1.44310,1.62328,-108.96783,1.04393,0.74363,0.01164,0.01178,0.00349,
07.10 11:50:11:171,-25.69691,-2.49794,0.87550,-134.65726,-1.44281,1.62038,-108.96783,1.04393,0.74363,0.00748,0.01120,0.00125,
07.10 11:50:11:219,-25.69749,-2.49935,0.87560,-134.65831,-1.44143,1.61909,-108.96783,1.04393,0.74363,0.00702,0.01399,-0.00013,
07.10 11:50:11:270,-25.70073,-2.49778,0.87262,-134.65401,-1.44012,1.61813,-108.96783,1.04393,0.74363,0.01456,0.01373,0.00188,
07.10 11:50:11:319,-25.70306,-2.49786,0.87143,-134.65367,-1.44122,1.61726,-108.96783,1.04393,0.74363,0.01723,0.01271,0.00221,
07.10 11:50:11:353,-25.70332,-2.50041,0.87192,-134.65775,-1.44308,1.61747,-108.96783,1.04393,0.74363,0.01341,0.01340,0.00192,
07.10 11:50:11:386,-25.70256,-2.49938,0.87088,-134.65297,-1.44274,1.61856,-108.96783,1.04393,0.74363,0.01743,0.01270,0.00406,
07.10 11:50:11:436,-25.69839,-2.49796,0.87057,-134.65491,-1.44391,1.61969,-108.96783,1.04393,0.74363,0.01131,0.01012,0.00549,
