Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.23 15:42:54:749,492983,0.18196,-0.29688,9.84975,-0.01065,-0.00426,0.00533,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:749,492984,0.18196,-0.29688,9.84975,-0.01065,-0.00426,0.00426,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:750,492985,0.18196,-0.29688,9.84975,-0.01065,-0.00426,0.00426,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:750,492986,0.17717,-0.29688,9.84975,-0.00959,-0.00533,0.00320,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:751,492987,0.17717,-0.29688,9.84496,-0.00959,-0.00533,0.00426,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:751,492988,0.17717,-0.29688,9.84496,-0.01065,-0.00533,0.00533,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:752,492989,0.17717,-0.29688,9.84496,-0.00959,-0.00639,0.00533,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:752,492990,0.17717,-0.29209,9.84496,-0.01065,-0.00639,0.00639,30.05676,0.44861,-31.25305,-1.41008,165.49614,-0.87901,-0.12631,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:753,492991,0.17717,-0.29209,9.84496,-0.00959,-0.00639,0.00533,29.15955,-0.74768,-30.95398,-1.40917,165.49022,-0.87896,-0.12636,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:753,492992,0.18196,-0.29209,9.84496,-0.00959,-0.00639,0.00639,29.15955,-0.74768,-30.95398,-1.40917,165.49022,-0.87896,-0.12636,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:754,492993,0.18196,-0.29209,9.84496,-0.00959,-0.00426,0.00639,29.15955,-0.74768,-30.95398,-1.40917,165.49022,-0.87896,-0.12636,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:754,492994,0.18675,-0.29209,9.84975,-0.00959,-0.00533,0.00639,29.15955,-0.74768,-30.95398,-1.40917,165.49022,-0.87896,-0.12636,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:754,492995,0.18675,-0.29209,9.84496,-0.00959,-0.00533,0.00639,29.15955,-0.74768,-30.95398,-1.40917,165.49022,-0.87896,-0.12636,-0.00606,0.01317,-0.99187,0,0,
06.23 15:42:54:755,492998,0.18675,-0.29209,9.84975,-0.01065,-0.00533,0.00426,28.11279,0.00000,-30.20630,-1.40832,165.49789,-0.87903,-0.12629,-0.00606,0.01316,-0.99187,0,0,
06.23 15:42:54:755,492999,0.18675,-0.29209,9.84975,-0.01065,-0.00533,0.00426,28.11279,0.00000,-30.20630,-1.40832,165.49789,-0.87903,-0.12629,-0.00606,0.01316,-0.99187,0,0,
06.23 15:42:54:756,493000,0.18675,-0.29209,9.84975,-0.00959,-0.00426,0.00426,28.11279,0.00000,-30.20630,-1.40832,165.49789,-0.87903,-0.12629,-0.00606,0.01316,-0.99187,0,0,
06.23 15:42:54:756,493001,0.19154,-0.29688,9.84975,-0.00959,-0.00533,0.00533,28.11279,0.00000,-30.20630,-1.40832,165.49789,-0.87903,-0.12629,-0.00606,0.01316,-0.99187,0,0,
06.23 15:42:54:756,493002,0.19154,-0.29688,9.84975,-0.00959,-0.00426,0.00533,28.11279,0.00000,-30.20630,-1.40832,165.49789,-0.87903,-0.12629,-0.00606,0.01316,-0.99187,0,0,
06.23 15:42:54:757,493003,0.19154,-0.29209,9.84975,-0.00959,-0.00426,0.00426,27.96326,-1.64490,-32.15027,-1.40757,165.48073,-0.87880,-0.12644,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:757,493004,0.19154,-0.29209,9.84975,-0.00959,-0.00426,0.00426,27.96326,-1.64490,-32.15027,-1.40757,165.48073,-0.87880,-0.12644,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:757,493005,0.19154,-0.29209,9.84975,-0.00959,-0.00426,0.00426,27.96326,-1.64490,-32.15027,-1.40757,165.48073,-0.87880,-0.12644,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:758,493006,0.19154,-0.29209,9.84975,-0.01065,-0.00533,0.00426,27.96326,-1.64490,-32.15027,-1.40757,165.48073,-0.87880,-0.12644,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:758,493007,0.19154,-0.29209,9.84975,-0.01065,-0.00426,0.00533,27.96326,-1.64490,-32.15027,-1.40757,165.48073,-0.87880,-0.12644,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:759,493008,0.18675,-0.29209,9.84975,-0.01065,-0.00426,0.00533,29.30908,-0.29907,-31.40259,-1.40709,165.48000,-0.87845,-0.12645,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:759,493009,0.18675,-0.29688,9.84975,-0.00959,-0.00426,0.00533,29.30908,-0.29907,-31.40259,-1.40709,165.48000,-0.87845,-0.12645,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:760,493010,0.18675,-0.29688,9.84975,-0.00959,-0.00426,0.00426,29.30908,-0.29907,-31.40259,-1.40709,165.48000,-0.87845,-0.12645,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:760,493011,0.18675,-0.29209,9.84975,-0.00959,-0.00533,0.00426,29.30908,-0.29907,-31.40259,-1.40709,165.48000,-0.87845,-0.12645,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:760,493012,0.18196,-0.29209,9.84975,-0.00959,-0.00533,0.00426,29.30908,-0.29907,-31.40259,-1.40709,165.48000,-0.87845,-0.12645,-0.00605,0.01315,-0.99186,0,0,
06.23 15:42:54:762,493013,0.18675,-0.29209,9.85453,-0.01065,-0.00533,0.00426,29.30908,-0.29907,-31.40259,-1.40709,165.48000,-0.87845,-0.12645,-0.00605,0.01315,-0.99186,0,0,
