Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 10:42:25:657,-63.91159,-4.48547,-0.99439,-83.31659,-0.25799,-0.07367,-19.40760,4.22711,0.92142,0.00260,0.00037,-0.00071,
07.10 10:42:25:705,-63.90911,-4.48515,-0.99311,-83.31490,-0.25977,-0.07465,-19.40760,4.22711,0.92142,0.00181,-0.00173,-0.00296,
07.10 10:42:25:754,-63.90632,-4.47976,-0.99430,-83.31463,-0.26064,-0.07527,-19.40760,4.22711,0.92142,-0.00071,-0.00798,-0.00239,
07.10 10:42:25:809,-63.90750,-4.47959,-0.99443,-83.31630,-0.25930,-0.07276,-19.40760,4.22711,0.92142,-0.00120,-0.00683,0.00025,
07.10 10:42:25:858,-63.91312,-4.48121,-0.99392,-83.31750,-0.25757,-0.07545,-19.40760,4.22711,0.92142,0.00321,-0.00347,-0.00296,
07.10 10:42:25:904,-63.91797,-4.48305,-0.99323,-83.31828,-0.26162,-0.07517,-19.40760,4.22711,0.92142,0.00729,-0.00568,-0.00337,
07.10 10:42:25:958,-63.91970,-4.47932,-0.99540,-83.31922,-0.26032,-0.07528,-19.40760,4.22711,0.92142,0.00808,-0.00811,-0.00130,
07.10 10:42:26:003,-63.91756,-4.47963,-0.99745,-83.32014,-0.25924,-0.07475,-19.40760,4.22711,0.92142,0.00502,-0.00672,0.00128,
07.10 10:42:26:053,-63.91953,-4.48370,-0.99748,-83.32016,-0.26004,-0.07620,-19.40760,4.22711,0.92142,0.00696,-0.00345,-0.00014,
07.10 10:42:26:108,-63.91806,-4.48698,-0.99547,-83.32138,-0.25939,-0.07729,-19.40760,4.22711,0.92142,0.00427,0.00049,-0.00325,
07.10 10:42:26:158,-63.91870,-4.48681,-0.99537,-83.32270,-0.25961,-0.07583,-19.40760,4.22711,0.92142,0.00360,0.00009,-0.00189,
07.10 10:42:26:211,-63.91831,-4.48698,-0.99602,-83.32361,-0.26583,-0.07716,-19.40760,4.22711,0.92142,0.00230,-0.00597,-0.00256,
07.10 10:42:26:259,-63.91949,-4.48717,-0.99672,-83.32204,-0.26514,-0.07747,-19.40760,4.22711,0.92142,0.00504,-0.00508,-0.00217,
07.10 10:42:26:305,-63.92310,-4.48925,-0.99609,-83.29709,-0.23680,-0.08133,-19.40760,4.22711,0.92142,0.03361,0.02534,-0.00666,
07.10 10:42:26:354,-63.92069,-4.48580,-0.99441,-83.29674,-0.23835,-0.08177,-19.40760,4.22711,0.92142,0.03155,0.02033,-0.00878,
07.10 10:42:26:405,-63.92318,-4.48730,-0.99629,-83.29904,-0.23820,-0.08140,-19.40760,4.22711,0.92142,0.03173,0.02199,-0.00653,
07.10 10:42:26:458,-63.92722,-4.48789,-0.99695,-83.29749,-0.23837,-0.08179,-19.40760,4.22711,0.92142,0.03733,0.02240,-0.00627,
07.10 10:42:26:509,-63.92518,-4.48719,-0.99763,-83.29641,-0.23697,-0.08049,-19.40760,4.22711,0.92142,0.03637,0.02312,-0.00428,
07.10 10:42:26:556,-63.92751,-4.48261,-0.99628,-83.29702,-0.23695,-0.07794,-19.40760,4.22711,0.92142,0.03808,0.01856,-0.00308,
07.10 10:42:26:609,-63.93094,-4.47947,-0.99563,-83.29714,-0.23537,-0.07855,-19.40760,4.22711,0.92142,0.04140,0.01699,-0.00434,
07.10 10:42:26:658,-63.93248,-4.48125,-0.99531,-83.29692,-0.23610,-0.07845,-19.40760,4.22711,0.92142,0.04316,0.01804,-0.00456,
07.10 10:42:26:710,-63.93049,-4.48182,-0.99706,-83.29904,-0.23185,-0.08154,-19.40760,4.22711,0.92142,0.03905,0.02287,-0.00591,
07.10 10:42:26:758,-63.93318,-4.47818,-0.99917,-83.29966,-0.23250,-0.08280,-19.40760,4.22711,0.92142,0.04112,0.01857,-0.00505,
07.10 10:42:26:804,-63.93559,-4.47547,-0.99674,-83.29970,-0.23422,-0.08270,-19.40760,4.22711,0.92142,0.04349,0.01414,-0.00738,
07.10 10:42:26:854,-63.93521,-4.47650,-0.99608,-83.29924,-0.23952,-0.08513,-19.40760,4.22711,0.92142,0.04357,0.00987,-0.01048,
07.10 10:42:26:909,-63.93321,-4.47580,-0.99519,-83.29988,-0.24044,-0.08375,-19.40760,4.22711,0.92142,0.04093,0.00825,-0.00998,
07.10 10:42:26:958,-63.93186,-4.47596,-0.99573,-83.29959,-0.24062,-0.08336,-19.40760,4.22711,0.92142,0.03987,0.00823,-0.00906,
07.10 10:42:27:009,-63.93154,-4.47724,-0.99525,-83.29896,-0.24169,-0.08325,-19.40760,4.22711,0.92142,0.04018,0.00844,-0.00943,
07.10 10:42:27:057,-63.93083,-4.47658,-0.99547,-83.29682,-0.24451,-0.08349,-19.40760,4.22711,0.92142,0.04160,0.00496,-0.00945,
07.10 10:42:27:108,-63.93089,-4.47883,-0.99576,-83.29862,-0.24440,-0.08409,-19.40760,4.22711,0.92142,0.03986,0.00732,-0.00976,
07.10 10:42:27:158,-63.92999,-4.47785,-0.99673,-83.30073,-0.24194,-0.08484,-19.40760,4.22711,0.92142,0.03686,0.00879,-0.00953,
07.10 10:42:27:208,-63.92665,-4.47573,-0.99680,-83.30126,-0.24155,-0.08484,-19.40760,4.22711,0.92142,0.03299,0.00707,-0.00946,
07.10 10:42:27:260,-63.92318,-4.47754,-0.99559,-83.30177,-0.24225,-0.08516,-19.40760,4.22711,0.92142,0.02901,0.00819,-0.01099,
07.10 10:42:27:311,-63.92032,-4.47942,-0.99537,-83.30180,-0.24512,-0.08720,-19.40760,4.22711,0.92142,0.02611,0.00719,-0.01325,
07.10 10:42:27:359,-63.92047,-4.47739,-0.99794,-83.30250,-0.24537,-0.08768,-19.40760,4.22711,0.92142,0.02557,0.00491,-0.01117,
07.10 10:42:27:404,-63.92033,-4.47521,-0.99652,-83.30248,-0.24492,-0.08710,-19.40760,4.22711,0.92142,0.02544,0.00319,-0.01201,
07.10 10:42:27:458,-63.92027,-4.47794,-0.99902,-83.30343,-0.24588,-0.08844,-19.40760,4.22711,0.92142,0.02443,0.00495,-0.01084,
07.10 10:42:27:508,-63.91761,-4.47723,-0.99851,-83.30116,-0.24579,-0.09000,-19.40760,4.22711,0.92142,0.02405,0.00433,-0.01291,
07.10 10:42:27:558,-63.91440,-4.47758,-0.99923,-83.30173,-0.24831,-0.09172,-19.40760,4.22711,0.92142,0.02027,0.00216,-0.01391,
07.10 10:42:27:607,-63.91229,-4.47046,-1.00041,-83.30413,-0.24472,-0.09271,-19.40760,4.22711,0.92142,0.01576,-0.00137,-0.01372,
07.10 10:42:27:653,-63.90989,-4.46927,-1.00111,-83.30481,-0.24553,-0.09219,-19.40760,4.22711,0.92142,0.01268,-0.00337,-0.01250,
07.10 10:42:27:708,-63.90543,-4.46946,-0.99916,-83.30592,-0.24345,-0.09080,-19.40760,4.22711,0.92142,0.00711,-0.00110,-0.01306,
07.10 10:42:27:757,-63.90824,-4.46754,-0.99804,-83.30698,-0.24111,-0.09235,-19.40760,4.22711,0.92142,0.00886,-0.00068,-0.01573,
07.10 10:42:27:807,-63.91063,-4.46745,-0.99687,-83.30782,-0.24148,-0.09000,-19.40760,4.22711,0.92142,0.01041,-0.00114,-0.01455,
07.10 10:42:27:854,-63.91764,-4.47191,-0.99409,-83.30773,-0.24251,-0.08791,-19.40760,4.22711,0.92142,0.01751,0.00229,-0.01524,
07.10 10:42:27:904,-63.94773,-4.48068,-0.90153,-83.32858,-0.31401,0.01691,-19.40760,4.22711,0.92142,0.02674,-0.06043,-0.00299,
