Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 10:05:53:179,-9.00465,-3.79081,1.54200,-90.62050,-1.11102,0.73510,-81.61441,2.68079,-0.80756,-0.00143,-0.00099,0.00065,
07.10 10:05:53:229,-9.00791,-3.79061,1.54313,-90.62121,-1.11346,0.73575,-81.61441,2.68079,-0.80756,0.00111,-0.00363,0.00018,
07.10 10:05:53:279,-9.00950,-3.79035,1.54427,-90.62022,-1.11365,0.73558,-81.61441,2.68079,-0.80756,0.00369,-0.00409,-0.00113,
07.10 10:05:53:328,-9.01053,-3.79044,1.54439,-90.62166,-1.11113,0.73456,-81.61441,2.68079,-0.80756,0.00328,-0.00147,-0.00228,
07.10 10:05:53:379,-9.01070,-3.79320,1.54499,-90.62227,-1.11277,0.73494,-81.61441,2.68079,-0.80756,0.00284,-0.00036,-0.00249,
07.10 10:05:53:428,-9.00995,-3.79249,1.54403,-90.62130,-1.11128,0.73620,-81.61441,2.68079,-0.80756,0.00306,0.00043,-0.00027,
07.10 10:05:53:479,-9.00936,-3.79525,1.54409,-90.62292,-1.10923,0.73577,-81.61441,2.68079,-0.80756,0.00085,0.00523,-0.00076,
07.10 10:05:53:529,-9.01235,-3.79640,1.54400,-90.62394,-1.11062,0.73548,-81.61441,2.68079,-0.80756,0.00282,0.00500,-0.00097,
07.10 10:05:53:576,-9.01386,-3.79695,1.54383,-90.62463,-1.10928,0.73839,-81.61441,2.68079,-0.80756,0.00363,0.00689,0.00212,
07.10 10:05:53:626,-9.01146,-3.79461,1.54266,-90.62535,-1.10986,0.73596,-81.61441,2.68079,-0.80756,0.00052,0.00397,0.00086,
07.10 10:05:53:680,-9.01412,-3.79498,1.54324,-90.62709,-1.10931,0.73480,-81.61441,2.68079,-0.80756,0.00144,0.00488,-0.00087,
07.10 10:05:53:730,-9.01796,-3.79480,1.54535,-90.62640,-1.11133,0.73203,-81.61441,2.68079,-0.80756,0.00597,0.00269,-0.00576,
07.10 10:05:53:779,-9.01956,-3.79495,1.54548,-90.62606,-1.10837,0.73409,-81.61441,2.68079,-0.80756,0.00790,0.00580,-0.00383,
07.10 10:05:53:829,-9.01937,-3.79322,1.54710,-90.62440,-1.10860,0.73337,-81.61441,2.68079,-0.80756,0.00938,0.00383,-0.00617,
07.10 10:05:53:879,-9.01671,-3.79474,1.54641,-90.62312,-1.11055,0.73386,-81.61441,2.68079,-0.80756,0.00800,0.00341,-0.00499,
