Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.23 16:36:18:890,26110,-0.01862,-0.08144,9.82189,0.00000,0.00000,0.00161,0.20353,0.18171,-0.61633,-0.41181,54.50000,0.00141,-0.88901,0.00320,0.00163,-0.45787,1,0,
06.23 16:36:18:900,26111,-0.00260,-0.07415,9.78174,0.00000,0.00000,0.00161,0.20253,0.18269,-0.61584,-0.41025,54.49907,0.00188,-0.88902,0.00319,0.00162,-0.45786,1,0,
06.23 16:36:18:912,26112,0.00126,-0.05319,9.78992,0.00000,0.00000,0.00161,0.20251,0.18263,-0.61285,-0.41071,54.49979,0.00174,-0.88901,0.00319,0.00163,-0.45787,1,0,
06.23 16:36:18:922,26113,-0.00575,-0.06635,9.80506,0.00000,0.00000,0.00161,0.20154,0.18420,-0.61634,-0.41277,54.50137,0.00154,-0.88901,0.00321,0.00164,-0.45788,1,0,
06.23 16:36:18:932,26114,-0.01438,-0.05361,9.79483,0.00000,0.00000,0.00161,0.20103,0.18414,-0.61336,-0.41173,54.50064,0.00121,-0.88901,0.00320,0.00164,-0.45788,1,0,
06.23 16:36:18:943,26115,-0.01030,-0.06186,9.80287,0.00000,0.00000,0.00161,0.20351,0.18266,-0.61434,-0.41256,54.50148,0.00123,-0.88901,0.00321,0.00164,-0.45788,1,0,
06.23 16:36:18:952,26116,-0.01588,-0.05248,9.79800,0.00000,0.00000,0.00161,0.20253,0.18270,-0.61634,-0.41322,54.50199,0.00134,-0.88900,0.00321,0.00164,-0.45789,1,0,
06.23 16:36:18:961,26117,0.00331,-0.07964,9.80082,0.00000,0.00000,0.00161,0.20154,0.18221,-0.61685,-0.41158,54.50209,0.00074,-0.88900,0.00320,0.00164,-0.45789,1,0,
06.23 16:36:18:970,26118,-0.00271,-0.04449,9.80642,0.00000,0.00000,0.00161,0.20004,0.18166,-0.61437,-0.41241,54.50250,0.00009,-0.88900,0.00320,0.00165,-0.45789,1,0,
06.23 16:36:18:981,26119,-0.00879,-0.05167,9.78432,0.00000,0.00000,0.00161,0.20153,0.18167,-0.61486,-0.41022,54.50264,-0.00022,-0.88900,0.00318,0.00164,-0.45789,1,0,
06.23 16:36:18:992,26120,0.01454,-0.05804,9.78889,0.00000,0.00000,0.00161,0.20352,0.18368,-0.61533,-0.40946,54.50239,-0.00048,-0.88900,0.00317,0.00164,-0.45789,1,0,
06.23 16:36:19:002,26121,0.00419,-0.06974,9.79827,0.00000,0.00000,0.00161,0.20154,0.18369,-0.61584,-0.40726,54.50735,0.00560,-0.88898,0.00318,0.00158,-0.45793,1,0,
06.23 16:36:19:012,26122,-0.00940,-0.05359,9.79578,0.00000,0.00000,0.00161,0.20401,0.18416,-0.61433,-0.40734,54.50650,0.00489,-0.88899,0.00318,0.00159,-0.45792,1,0,
06.23 16:36:19:021,26123,0.00625,-0.05758,9.79087,0.00000,0.00000,0.00161,0.20203,0.18417,-0.61484,-0.40883,54.50714,0.00508,-0.88898,0.00319,0.00159,-0.45793,1,0,
06.23 16:36:19:031,26124,-0.00464,-0.04372,9.80783,0.00000,0.00000,0.00161,0.20352,0.18418,-0.61533,-0.41015,54.50647,0.00614,-0.88899,0.00321,0.00159,-0.45792,1,0,
06.23 16:36:19:041,26125,-0.00960,-0.05326,9.80759,0.00000,0.00000,0.00161,0.20451,0.18066,-0.61384,-0.41058,54.50590,0.00698,-0.88899,0.00321,0.00159,-0.45792,1,0,
06.23 16:36:19:051,26126,0.00172,-0.05220,9.81760,0.00000,0.00000,0.00161,0.20253,0.18119,-0.61585,-0.40927,54.50607,0.00816,-0.88899,0.00321,0.00157,-0.45792,1,0,
06.23 16:36:19:061,26127,-0.02583,-0.04646,9.81643,0.00000,0.00000,0.00161,0.20451,0.18418,-0.61482,-0.40925,54.50548,0.00785,-0.88899,0.00321,0.00157,-0.45791,1,0,
06.23 16:36:19:072,26128,-0.01259,-0.04597,9.76887,0.00000,0.00000,0.00161,0.20004,0.18266,-0.61486,-0.40867,54.50609,0.00808,-0.88899,0.00320,0.00157,-0.45792,1,0,
06.23 16:36:19:082,26129,0.00802,-0.04049,9.81205,0.00000,0.00000,0.00161,0.20253,0.18167,-0.61485,-0.40908,54.50605,0.00749,-0.88899,0.00320,0.00158,-0.45792,1,0,
06.23 16:36:19:092,26130,0.00602,-0.06140,9.79538,0.00000,0.00000,0.00161,0.20204,0.18470,-0.61633,-0.41031,54.50613,0.00768,-0.88899,0.00321,0.00158,-0.45792,1,0,
06.23 16:36:19:102,26131,-0.02026,-0.07386,9.79388,0.00000,0.00000,0.00161,0.20302,0.18418,-0.61533,-0.40997,54.50607,0.00743,-0.88899,0.00321,0.00158,-0.45792,1,0,
06.23 16:36:19:111,26132,-0.00897,-0.05705,9.79269,0.00000,0.00000,0.00161,0.20152,0.18164,-0.61336,-0.41195,54.50534,0.00812,-0.88899,0.00323,0.00158,-0.45791,1,0,
