Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.23 16:36:15:506,78.47153,-0.50299,-1.11504,54.52834,-0.38214,0.00890,-23.92852,0.12337,1.12125,-0.01466,-0.00252,0.00269,
06.23 16:36:15:540,78.46986,-0.50137,-1.11450,54.52915,-0.38131,0.01099,-23.92852,0.12337,1.12125,-0.01219,-0.00331,0.00424,
06.23 16:36:15:587,78.48044,-0.50116,-1.11043,54.52885,-0.38056,0.01165,-23.92852,0.12337,1.12125,-0.02306,-0.00277,0.00083,
06.23 16:36:15:638,78.48864,-0.50189,-1.10798,54.52769,-0.38189,0.01118,-23.92852,0.12337,1.12125,-0.03242,-0.00337,-0.00209,
06.23 16:36:15:673,78.49129,-0.49990,-1.10989,54.52832,-0.37985,0.00879,-23.92852,0.12337,1.12125,-0.03445,-0.00332,-0.00257,
06.23 16:36:15:721,78.49648,-0.49897,-1.11127,54.52900,-0.37852,0.00755,-23.92852,0.12337,1.12125,-0.03896,-0.00292,-0.00243,
06.23 16:36:15:774,78.48480,-0.49928,-1.11163,54.52912,-0.37888,0.00749,-23.92852,0.12337,1.12125,-0.02716,-0.00297,-0.00214,
06.23 16:36:15:829,78.47361,-0.49895,-1.11190,54.52821,-0.37711,0.00851,-23.92852,0.12337,1.12125,-0.01688,-0.00153,-0.00085,
06.23 16:36:15:876,78.47369,-0.49916,-1.11471,54.52803,-0.37740,0.00919,-23.92852,0.12337,1.12125,-0.01713,-0.00160,0.00265,
06.23 16:36:15:922,78.46286,-0.49950,-1.11357,54.53044,-0.37675,0.00927,-23.92852,0.12337,1.12125,-0.00389,-0.00062,0.00159,
06.23 16:36:15:972,78.46674,-0.49965,-1.11316,54.53211,-0.37835,0.00881,-23.92852,0.12337,1.12125,-0.00610,-0.00207,0.00072,
06.23 16:36:16:022,78.45444,-0.49934,-1.11405,54.53032,-0.37674,0.00655,-23.92852,0.12337,1.12125,0.00440,-0.00078,-0.00065,
06.23 16:36:16:075,78.44440,-0.49943,-1.11206,54.52748,-0.37598,0.00611,-23.92852,0.12337,1.12125,0.01160,0.00008,-0.00309,
06.23 16:36:16:122,78.43853,-0.49876,-1.11115,54.52747,-0.37810,0.00813,-23.92852,0.12337,1.12125,0.01747,-0.00271,-0.00197,
06.23 16:36:16:171,78.43235,-0.49995,-1.11318,54.52684,-0.38161,0.00618,-23.92852,0.12337,1.12125,0.02301,-0.00504,-0.00189,
06.23 16:36:16:222,78.44559,-0.50041,-1.11377,54.52627,-0.38191,0.00317,-23.92852,0.12337,1.12125,0.00920,-0.00487,-0.00431,
06.23 16:36:16:272,78.43120,-0.50400,-1.11386,54.52806,-0.38556,0.00191,-23.92852,0.12337,1.12125,0.02539,-0.00493,-0.00549,
06.23 16:36:16:323,78.41623,-0.50392,-1.11360,54.52774,-0.38845,0.00071,-23.92852,0.12337,1.12125,0.04004,-0.00790,-0.00694,
06.23 16:36:16:375,78.43720,-0.50307,-1.11428,54.52838,-0.39160,-0.00144,-23.92852,0.12337,1.12125,0.01970,-0.01190,-0.00841,
06.23 16:36:16:423,78.43729,-0.50226,-1.11343,54.52831,-0.39151,-0.00055,-23.92852,0.12337,1.12125,0.01954,-0.01261,-0.00838,
06.23 16:36:16:473,78.43057,-0.50265,-1.11371,54.52914,-0.39264,-0.00100,-23.92852,0.12337,1.12125,0.02709,-0.01337,-0.00855,
06.23 16:36:16:522,78.43728,-0.50344,-1.11618,54.52947,-0.39381,-0.00020,-23.92852,0.12337,1.12125,0.02072,-0.01374,-0.00528,
06.23 16:36:16:572,78.44312,-0.50173,-1.11622,54.53021,-0.39407,-0.00048,-23.92852,0.12337,1.12125,0.01562,-0.01572,-0.00551,
