Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.23 16:31:14:752,78.05363,-1.37806,-1.16232,59.96748,-0.29727,0.00837,-18.08897,1.07708,1.17245,0.00282,0.00371,-0.00176,
06.23 16:31:14:786,78.06039,-1.37735,-1.16102,59.96427,-0.29648,0.00895,-18.08897,1.07708,1.17245,-0.00716,0.00378,-0.00249,
06.23 16:31:14:819,78.06415,-1.37823,-1.16236,59.96628,-0.29600,0.00976,-18.08897,1.07708,1.17245,-0.00890,0.00514,-0.00033,
06.23 16:31:14:852,78.06348,-1.37964,-1.16198,59.96593,-0.29866,0.01006,-18.08897,1.07708,1.17245,-0.00857,0.00390,-0.00041,
06.23 16:31:14:885,78.07347,-1.37865,-1.16273,59.96657,-0.29936,0.01021,-18.08897,1.07708,1.17245,-0.01793,0.00221,0.00049,
06.23 16:31:14:919,78.07840,-1.37934,-1.16222,59.96841,-0.29794,0.01096,-18.08897,1.07708,1.17245,-0.02102,0.00431,0.00073,
06.23 16:31:14:952,78.09804,-1.37839,-1.16195,59.96407,-0.30026,0.01161,-18.08897,1.07708,1.17245,-0.04500,0.00104,0.00111,
06.23 16:31:14:987,78.11835,-1.37650,-1.16345,59.95392,-0.30097,0.01281,-18.08897,1.07708,1.17245,-0.07545,-0.00155,0.00382,
06.23 16:31:15:024,78.12382,-1.37498,-1.16495,59.96170,-0.29882,0.00399,-18.08897,1.07708,1.17245,-0.07315,-0.00092,-0.00351,
06.23 16:31:15:071,78.14112,-1.37367,-1.16417,59.96876,-0.29994,0.00309,-18.08897,1.07708,1.17245,-0.08339,-0.00336,-0.00519,
06.23 16:31:15:122,78.14078,-1.37382,-1.16529,59.97037,-0.29621,0.00255,-18.08897,1.07708,1.17245,-0.08144,0.00053,-0.00462,
06.23 16:31:15:151,78.14426,-1.37099,-1.16572,59.97063,-0.29525,0.00396,-18.08897,1.07708,1.17245,-0.08465,-0.00135,-0.00277,
06.23 16:31:15:187,78.13043,-1.37132,-1.16714,59.96861,-0.29262,0.00443,-18.08897,1.07708,1.17245,-0.07285,0.00162,-0.00089,
06.23 16:31:15:219,78.13081,-1.37221,-1.16758,59.96280,-0.29222,0.00513,-18.08897,1.07708,1.17245,-0.07904,0.00290,0.00026,
06.23 16:31:15:254,78.13294,-1.37350,-1.16742,59.96861,-0.29330,0.00558,-18.08897,1.07708,1.17245,-0.07536,0.00312,0.00055,
06.23 16:31:15:288,78.14030,-1.37449,-1.16862,59.98051,-0.29341,0.00536,-18.08897,1.07708,1.17245,-0.07083,0.00399,0.00153,
06.23 16:31:15:320,78.15798,-1.37395,-1.16985,59.97623,-0.29400,0.00524,-18.08897,1.07708,1.17245,-0.09278,0.00286,0.00264,
06.23 16:31:15:353,78.18274,-1.37298,-1.17194,59.97390,-0.29103,0.00469,-18.08897,1.07708,1.17245,-0.11987,0.00487,0.00418,
06.23 16:31:15:386,78.18631,-1.37261,-1.17291,59.96995,-0.29001,0.00581,-18.08897,1.07708,1.17245,-0.12739,0.00552,0.00627,
06.23 16:31:15:418,78.19563,-1.37168,-1.17229,59.96721,-0.29044,0.00605,-18.08897,1.07708,1.17245,-0.13945,0.00416,0.00588,
06.23 16:31:15:451,78.20985,-1.37056,-1.17173,59.96549,-0.28953,0.00694,-18.08897,1.07708,1.17245,-0.15539,0.00394,0.00622,
06.23 16:31:15:486,78.23188,-1.37087,-1.17179,59.95599,-0.29164,0.00758,-18.08897,1.07708,1.17245,-0.18692,0.00214,0.00692,
06.23 16:31:15:519,78.24422,-1.37251,-1.17125,59.95617,-0.29144,0.00806,-18.08897,1.07708,1.17245,-0.19909,0.00399,0.00685,
06.23 16:31:15:550,78.25378,-1.37393,-1.17230,59.97434,-0.29364,0.00840,-18.08897,1.07708,1.17245,-0.19048,0.00320,0.00825,
06.23 16:31:15:582,78.24471,-1.37414,-1.17292,59.96682,-0.29160,0.00772,-18.08897,1.07708,1.17245,-0.18892,0.00546,0.00819,
06.23 16:31:15:616,78.23008,-1.37495,-1.17138,59.95940,-0.28830,0.00708,-18.08897,1.07708,1.17245,-0.18171,0.00956,0.00601,
06.23 16:31:15:648,78.23179,-1.37655,-1.17212,59.95685,-0.28888,0.00595,-18.08897,1.07708,1.17245,-0.18597,0.01059,0.00562,
06.23 16:31:15:683,78.22543,-1.37710,-1.17242,59.95150,-0.28950,0.00609,-18.08897,1.07708,1.17245,-0.18496,0.01051,0.00606,
06.23 16:31:15:716,78.23904,-1.37513,-1.17355,59.94743,-0.29044,0.00917,-18.08897,1.07708,1.17245,-0.20264,0.00760,0.01027,
06.23 16:31:15:749,78.24860,-1.37552,-1.17196,59.95530,-0.29071,0.00939,-18.08897,1.07708,1.17245,-0.20433,0.00773,0.00890,
06.23 16:31:15:786,78.23911,-1.37626,-1.17292,59.96025,-0.29257,0.00870,-18.08897,1.07708,1.17245,-0.18988,0.00660,0.00916,
06.23 16:31:15:817,78.22737,-1.37635,-1.17235,59.96040,-0.28841,0.00936,-18.08897,1.07708,1.17245,-0.17800,0.01085,0.00925,
06.23 16:31:15:850,78.22794,-1.37739,-1.17604,59.95921,-0.28570,0.01097,-18.08897,1.07708,1.17245,-0.17976,0.01461,0.01456,
06.23 16:31:15:882,78.23215,-1.37716,-1.17664,59.96588,-0.28505,0.01173,-18.08897,1.07708,1.17245,-0.17730,0.01503,0.01592,
06.23 16:31:15:915,78.22828,-1.37619,-1.17734,59.97813,-0.28489,0.01434,-18.08897,1.07708,1.17245,-0.16118,0.01421,0.01923,
06.23 16:31:15:949,78.23534,-1.37694,-1.17829,59.96571,-0.28609,0.01468,-18.08897,1.07708,1.17245,-0.18066,0.01376,0.02051,
06.23 16:31:15:982,78.24480,-1.37709,-1.17872,59.95705,-0.28240,0.01498,-18.08897,1.07708,1.17245,-0.19878,0.01761,0.02125,
06.23 16:31:16:019,78.23896,-1.37560,-1.17806,59.95692,-0.28226,0.01411,-18.08897,1.07708,1.17245,-0.19307,0.01625,0.01972,
06.23 16:31:16:049,78.22859,-1.37485,-1.17877,59.95718,-0.28041,0.01567,-18.08897,1.07708,1.17245,-0.18244,0.01735,0.02199,
06.23 16:31:16:083,78.23428,-1.37591,-1.17982,59.95651,-0.27985,0.01752,-18.08897,1.07708,1.17245,-0.18880,0.01898,0.02489,
06.23 16:31:16:115,78.25006,-1.37670,-1.17938,59.94038,-0.27774,0.01752,-18.08897,1.07708,1.17245,-0.22071,0.02187,0.02446,
06.23 16:31:16:152,78.24052,-1.37773,-1.17885,59.94874,-0.27712,0.01718,-18.08897,1.07708,1.17245,-0.20280,0.02353,0.02358,
06.23 16:31:16:182,78.25779,-1.37622,-1.18014,59.94281,-0.27584,0.01807,-18.08897,1.07708,1.17245,-0.22601,0.02329,0.02576,
06.23 16:31:16:220,78.26964,-1.37599,-1.18172,59.94154,-0.27806,0.01717,-18.08897,1.07708,1.17245,-0.23913,0.02085,0.02643,
06.23 16:31:16:252,78.25270,-1.37600,-1.18276,59.94247,-0.27771,0.01618,-18.08897,1.07708,1.17245,-0.22126,0.02121,0.02649,
06.23 16:31:16:302,78.25192,-1.37684,-1.18299,59.94661,-0.27985,0.01679,-18.08897,1.07708,1.17245,-0.21634,0.01990,0.02734,
