Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,
06.17 10:59:32,83078,0.50757,0.12929,9.87369,-0.00852,-0.00107,0.00639,3.28979,5.98145,28.11279,0.05133,116.41512,-2.27078,0.52674,0.01708,-0.01006,0.84978,
06.17 10:59:32,83079,0.50757,0.12929,9.86411,-0.00746,-0.00107,0.00533,3.28979,4.48608,29.60815,0.04973,116.45362,-2.27064,0.52645,0.01707,-0.01006,0.84995,
06.17 10:59:32,83080,0.50757,0.12450,9.86411,-0.01065,0.00000,0.00639,4.03748,3.73840,27.96326,0.04657,116.46849,-2.27038,0.52634,0.01706,-0.01008,0.85002,
06.17 10:59:32,83081,0.50278,0.12929,9.85453,-0.00852,0.00000,0.00639,2.54211,4.93469,29.15955,0.04330,116.52364,-2.26902,0.52593,0.01704,-0.01009,0.85027,
06.17 10:59:32,83082,0.50757,0.12929,9.86890,-0.00852,-0.00213,0.00639,2.69165,3.58887,29.30908,0.04004,116.56622,-2.26920,0.52562,0.01703,-0.01011,0.85047,
06.17 10:59:32,83083,0.51236,0.11971,9.85932,-0.00959,-0.00213,0.00533,2.69165,3.58887,29.30908,0.03704,116.60831,-2.26936,0.52531,0.01702,-0.01013,0.85066,
06.17 10:59:32,83084,0.51236,0.11492,9.86411,-0.00746,-0.00107,0.00533,1.94397,4.63562,28.86047,0.03480,116.67219,-2.26897,0.52483,0.01701,-0.01014,0.85096,
06.17 10:59:32,83085,0.51715,0.11492,9.86411,-0.00852,-0.00107,0.00533,2.24304,4.03748,28.56140,0.03309,116.72720,-2.26853,0.52442,0.01701,-0.01014,0.85121,
06.17 10:59:32,83086,0.51715,0.11971,9.86411,-0.00959,-0.00107,0.00426,4.18701,5.98145,29.01001,0.03070,116.76178,-2.26792,0.52417,0.01699,-0.01015,0.85137,
06.17 10:59:32,83087,0.51236,0.13408,9.87369,-0.00639,-0.00213,0.00533,3.73840,4.63562,28.26233,0.02920,116.79179,-2.26811,0.52394,0.01699,-0.01016,0.85151,
06.17 10:59:32,83088,0.50757,0.13886,9.87369,-0.00852,-0.00107,0.00533,3.73840,4.63562,28.26233,0.02827,116.82237,-2.26766,0.52372,0.01699,-0.01016,0.85165,
06.17 10:59:32,83089,0.50757,0.13886,9.86890,-0.00959,-0.00213,0.00639,3.88794,4.48608,28.41187,0.02605,116.84883,-2.26733,0.52352,0.01697,-0.01017,0.85177,
06.17 10:59:32,83090,0.51236,0.14365,9.86890,-0.00959,0.00000,0.00533,1.49536,5.38330,29.90723,0.02365,116.92452,-2.26712,0.52296,0.01697,-0.01017,0.85212,
06.17 10:59:32,83091,0.51715,0.13886,9.86890,-0.00852,-0.00213,0.00533,1.49536,5.38330,29.90723,0.02078,116.99984,-2.26654,0.52240,0.01696,-0.01018,0.85247,
06.17 10:59:32,83092,0.51715,0.12929,9.86890,-0.01065,-0.00213,0.00639,3.58887,3.58887,28.41187,0.01855,117.02104,-2.26680,0.52224,0.01695,-0.01019,0.85257,
06.17 10:59:32,83093,0.52672,0.11971,9.87369,-0.00959,-0.00213,0.00533,3.28979,4.78516,29.30908,0.01570,117.06180,-2.26719,0.52193,0.01695,-0.01021,0.85276,
06.17 10:59:32,83094,0.52672,0.11971,9.87369,-0.00746,-0.00213,0.00533,1.64490,5.83191,29.45862,0.01321,117.13551,-2.26743,0.52139,0.01694,-0.01022,0.85309,
06.17 10:59:32,83095,0.52672,0.11971,9.86890,-0.00852,-0.00213,0.00639,3.58887,5.68237,30.20630,0.01129,117.17874,-2.26757,0.52107,0.01694,-0.01023,0.85328,
06.17 10:59:32,83096,0.52194,0.11492,9.87369,-0.00959,-0.00107,0.00426,3.58887,5.68237,30.20630,0.00834,117.22208,-2.26769,0.52074,0.01693,-0.01024,0.85347,
06.17 10:59:32,83097,0.52194,0.11971,9.87369,-0.00746,-0.00213,0.00639,2.39258,5.08423,28.41187,0.00705,117.27962,-2.26766,0.52032,0.01693,-0.01025,0.85373,
06.17 10:59:32,83098,0.52194,0.12450,9.86411,-0.00746,-0.00213,0.00533,1.19629,4.48608,30.50537,0.00563,117.36220,-2.26795,0.51970,0.01693,-0.01025,0.85410,
06.17 10:59:32,83099,0.51715,0.11971,9.85932,-0.00746,-0.00107,0.00639,1.19629,4.48608,30.50537,0.00348,117.44547,-2.26758,0.51908,0.01693,-0.01025,0.85448,
06.17 10:59:32,83100,0.51236,0.12450,9.86411,-0.00746,0.00000,0.00533,3.14026,4.03748,29.45862,0.00197,117.48268,-2.26693,0.51880,0.01692,-0.01025,0.85465,
06.17 10:59:32,83101,0.50757,0.11971,9.85453,-0.00852,-0.00107,0.00426,2.84119,5.23376,29.45862,0.00026,117.53405,-2.26617,0.51842,0.01691,-0.01025,0.85488,
06.17 10:59:32,83102,0.49799,0.12450,9.85453,-0.00746,0.00000,0.00426,3.58887,4.78516,28.71094,-0.00115,117.56845,-2.26556,0.51817,0.01690,-0.01025,0.85503,
06.17 10:59:32,83103,0.49799,0.12929,9.85932,-0.00639,-0.00213,0.00426,2.84119,4.63562,29.15955,-0.00212,117.61671,-2.26556,0.51781,0.01690,-0.01025,0.85525,
06.17 10:59:32,83104,0.49321,0.12450,9.85932,-0.00852,-0.00320,0.00639,2.84119,4.63562,29.15955,-0.00362,117.66493,-2.26624,0.51745,0.01690,-0.01026,0.85547,
06.17 10:59:32,83105,0.49321,0.12929,9.85932,-0.00639,-0.00320,0.00639,3.43933,4.33655,29.15955,-0.00459,117.69939,-2.26741,0.51719,0.01691,-0.01027,0.85562,
06.17 10:59:32,83106,0.50278,0.12929,9.86411,-0.00746,-0.00320,0.00639,3.14026,4.33655,28.26233,-0.00582,117.73920,-2.26855,0.51689,0.01692,-0.01028,0.85580,
