Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 16:32:22:315,-29.89188,-1.80438,0.79188,-106.51649,-0.52755,0.62218,-76.62282,1.27492,-0.16834,-0.00179,0.00191,-0.00136,
07.10 16:32:22:362,-29.88244,-1.80584,0.79259,-106.51766,-0.52719,0.62034,-76.62282,1.27492,-0.16834,-0.01240,0.00373,-0.00391,
07.10 16:32:22:411,-29.87927,-1.80479,0.79367,-106.51892,-0.52749,0.62148,-76.62282,1.27492,-0.16834,-0.01683,0.00239,-0.00385,
07.10 16:32:22:461,-29.87711,-1.80265,0.79377,-106.51685,-0.52654,0.62194,-76.62282,1.27492,-0.16834,-0.01692,0.00119,-0.00348,
07.10 16:32:22:511,-29.87600,-1.80296,0.79447,-106.51213,-0.52881,0.62144,-76.62282,1.27492,-0.16834,-0.01331,-0.00076,-0.00469,
07.10 16:32:22:564,-29.87248,-1.80271,0.79506,-106.51308,-0.52776,0.62071,-76.62282,1.27492,-0.16834,-0.01778,0.00003,-0.00601,
07.10 16:32:22:614,-29.86850,-1.80103,0.79497,-106.51226,-0.52886,0.62031,-76.62282,1.27492,-0.16834,-0.02094,-0.00275,-0.00632,
07.10 16:32:22:664,-29.86767,-1.80326,0.79669,-106.51302,-0.52983,0.61989,-76.62282,1.27492,-0.16834,-0.02254,-0.00148,-0.00846,
07.10 16:32:22:713,-29.86880,-1.80475,0.79921,-106.51805,-0.52684,0.61986,-76.62282,1.27492,-0.16834,-0.02644,0.00299,-0.01101,
07.10 16:32:22:764,-29.86924,-1.80451,0.80198,-106.51546,-0.52842,0.61992,-76.62282,1.27492,-0.16834,-0.02341,0.00117,-0.01371,
07.10 16:32:22:814,-29.86950,-1.80250,0.80272,-106.51624,-0.52811,0.62002,-76.62282,1.27492,-0.16834,-0.02393,-0.00052,-0.01436,
07.10 16:32:22:861,-29.86909,-1.80261,0.80430,-106.51502,-0.52822,0.61886,-76.62282,1.27492,-0.16834,-0.02312,-0.00053,-0.01710,
07.10 16:32:22:914,-29.86735,-1.80131,0.80458,-106.51224,-0.52933,0.61961,-76.62282,1.27492,-0.16834,-0.02207,-0.00293,-0.01662,
07.10 16:32:22:964,-29.86172,-1.79832,0.80661,-106.51064,-0.52811,0.61968,-76.62282,1.27492,-0.16834,-0.02610,-0.00471,-0.01859,
07.10 16:32:23:015,-29.85818,-1.79817,0.80796,-106.50645,-0.52919,0.61811,-76.62282,1.27492,-0.16834,-0.02545,-0.00594,-0.02151,
07.10 16:32:23:065,-29.84992,-1.79938,0.80891,-106.50372,-0.52416,0.61988,-76.62282,1.27492,-0.16834,-0.03098,0.00030,-0.02070,
07.10 16:32:23:114,-29.84389,-1.79970,0.81031,-106.50554,-0.52351,0.62041,-76.62282,1.27492,-0.16834,-0.03883,0.00127,-0.02156,
07.10 16:32:23:164,-29.83801,-1.79834,0.81051,-106.50749,-0.52234,0.62000,-76.62282,1.27492,-0.16834,-0.04666,0.00108,-0.02216,
07.10 16:32:23:211,-29.83412,-1.79878,0.81045,-106.50880,-0.52068,0.61936,-76.62282,1.27492,-0.16834,-0.05187,0.00318,-0.02274,
07.10 16:32:23:264,-29.83117,-1.79702,0.81316,-106.50843,-0.51753,0.61610,-76.62282,1.27492,-0.16834,-0.05444,0.00457,-0.02871,
07.10 16:32:23:297,-29.82849,-1.79914,0.81410,-106.50861,-0.51679,0.61622,-76.62282,1.27492,-0.16834,-0.05731,0.00743,-0.02953,
07.10 16:32:23:328,-29.82347,-1.79974,0.81688,-106.50613,-0.51745,0.61695,-76.62282,1.27492,-0.16834,-0.05984,0.00738,-0.03159,
07.10 16:32:23:382,-29.82107,-1.80021,0.81830,-106.50264,-0.51606,0.61537,-76.62282,1.27492,-0.16834,-0.05875,0.00923,-0.03458,
07.10 16:32:23:431,-29.81975,-1.80193,0.81929,-106.50397,-0.51790,0.61647,-76.62282,1.27492,-0.16834,-0.06140,0.00911,-0.03448,
07.10 16:32:23:480,-29.81796,-1.80438,0.82049,-106.50359,-0.51981,0.61894,-76.62282,1.27492,-0.16834,-0.06281,0.00966,-0.03321,
07.10 16:32:23:532,-29.81642,-1.80297,0.82065,-106.50586,-0.51842,0.61810,-76.62282,1.27492,-0.16834,-0.06663,0.00962,-0.03421,
07.10 16:32:23:580,-29.81252,-1.80274,0.82197,-106.50591,-0.51656,0.61930,-76.62282,1.27492,-0.16834,-0.07057,0.01126,-0.03433,
07.10 16:32:23:630,-29.81292,-1.80338,0.82209,-106.50693,-0.51267,0.61919,-76.62282,1.27492,-0.16834,-0.07119,0.01580,-0.03456,
07.10 16:32:23:681,-29.81119,-1.80242,0.82183,-106.50426,-0.51368,0.61971,-76.62282,1.27492,-0.16834,-0.07025,0.01382,-0.03378,
07.10 16:32:23:731,-29.81004,-1.80114,0.82181,-106.50571,-0.50831,0.61851,-76.62282,1.27492,-0.16834,-0.07285,0.01792,-0.03497,
07.10 16:32:23:778,-29.80934,-1.80079,0.82452,-106.50645,-0.50737,0.61892,-76.62282,1.27492,-0.16834,-0.07429,0.01850,-0.03727,
07.10 16:32:23:828,-29.80599,-1.79949,0.82458,-106.50232,-0.51004,0.61654,-76.62282,1.27492,-0.16834,-0.07352,0.01453,-0.03970,
07.10 16:32:23:882,-29.80333,-1.79913,0.82498,-106.50551,-0.50725,0.61637,-76.62282,1.27492,-0.16834,-0.07936,0.01696,-0.04027,
07.10 16:32:23:931,-29.80427,-1.80035,0.82769,-106.50227,-0.50732,0.61710,-76.62282,1.27492,-0.16834,-0.07519,0.01811,-0.04225,
07.10 16:32:23:980,-29.80421,-1.80184,0.82761,-106.50201,-0.50544,0.61831,-76.62282,1.27492,-0.16834,-0.07497,0.02148,-0.04096,
07.10 16:32:24:031,-29.80400,-1.79862,0.82945,-106.50336,-0.50373,0.61606,-76.62282,1.27492,-0.16834,-0.07654,0.01997,-0.04505,
07.10 16:32:24:081,-29.80311,-1.79607,0.83150,-106.50560,-0.50450,0.61359,-76.62282,1.27492,-0.16834,-0.07967,0.01665,-0.04957,
07.10 16:32:24:131,-29.79784,-1.79532,0.83365,-106.50395,-0.50388,0.61326,-76.62282,1.27492,-0.16834,-0.08330,0.01653,-0.05204,
07.10 16:32:24:181,-29.79018,-1.79506,0.83642,-106.50067,-0.50526,0.61339,-76.62282,1.27492,-0.16834,-0.08768,0.01488,-0.05469,
07.10 16:32:24:230,-29.78595,-1.79439,0.83808,-106.50271,-0.50155,0.61290,-76.62282,1.27492,-0.16834,-0.09394,0.01793,-0.05684,
07.10 16:32:24:277,-29.78738,-1.79832,0.83808,-106.50098,-0.50365,0.61199,-76.62282,1.27492,-0.16834,-0.09079,0.01975,-0.05775,
07.10 16:32:24:327,-29.78919,-1.79819,0.83846,-106.50066,-0.50242,0.61174,-76.62282,1.27492,-0.16834,-0.08865,0.02085,-0.05838,
07.10 16:32:24:377,-29.79640,-1.79818,0.83809,-106.50441,-0.49951,0.60925,-76.62282,1.27492,-0.16834,-0.08520,0.02375,-0.06050,
07.10 16:32:24:432,-29.79916,-1.79965,0.83771,-106.50468,-0.49728,0.60911,-76.62282,1.27492,-0.16834,-0.08270,0.02745,-0.06027,
07.10 16:32:24:480,-29.80416,-1.80220,0.84009,-106.50391,-0.49985,0.60846,-76.62282,1.27492,-0.16834,-0.07693,0.02744,-0.06329,
07.10 16:32:24:530,-29.79955,-1.80255,0.84118,-106.50210,-0.50339,0.60956,-76.62282,1.27492,-0.16834,-0.07973,0.02424,-0.06328,
07.10 16:32:24:581,-29.79467,-1.79809,0.84234,-106.50064,-0.50285,0.61192,-76.62282,1.27492,-0.16834,-0.08315,0.02033,-0.06207,
07.10 16:32:24:635,-29.79415,-1.79600,0.84053,-106.49950,-0.50248,0.61255,-76.62282,1.27492,-0.16834,-0.08253,0.01860,-0.05964,
07.10 16:32:24:677,-29.79412,-1.79631,0.84011,-106.49870,-0.50558,0.61253,-76.62282,1.27492,-0.16834,-0.08176,0.01581,-0.05923,
07.10 16:32:24:727,-29.79667,-1.79618,0.84346,-106.49976,-0.50633,0.61180,-76.62282,1.27492,-0.16834,-0.08028,0.01493,-0.06331,
07.10 16:32:24:777,-29.79330,-1.79582,0.84697,-106.49951,-0.50821,0.61203,-76.62282,1.27492,-0.16834,-0.08340,0.01269,-0.06660,
07.10 16:32:24:827,-29.79850,-1.79538,0.84908,-106.49831,-0.50890,0.61015,-76.62282,1.27492,-0.16834,-0.07700,0.01157,-0.07059,
