Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.29 11:26:23:156,1535,0.09166,-0.07277,9.82564,0.00000,0.00000,0.00000,0.38865,-0.12228,-0.59852,-0.38587,104.73578,-0.46614,0.61059,0.00117,-0.00515,0.79193,1,1,
06.29 11:26:23:156,1536,0.06902,-0.06739,9.79621,0.00000,0.00000,0.00000,0.38916,-0.12175,-0.60000,-0.38686,104.73827,-0.46599,0.61057,0.00116,-0.00516,0.79194,1,1,
06.29 11:26:23:157,1537,0.05864,-0.07673,9.83036,0.00000,0.00000,0.00000,0.38716,-0.12181,-0.59703,-0.38778,104.73798,-0.46478,0.61058,0.00115,-0.00516,0.79194,1,1,
06.29 11:26:23:161,1538,0.07521,-0.07206,9.83965,0.00000,0.00000,-2525397680142175760794213416960.00000,0.39013,-0.12183,-0.59552,-0.38696,104.73791,-0.46512,0.61058,0.00115,-0.00515,0.79194,1,0,
06.29 11:26:23:170,1539,0.08205,-0.09145,9.83892,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38765,-0.12230,-0.59753,-0.38695,104.73158,-0.46485,0.61062,0.00115,-0.00515,0.79191,1,0,
06.29 11:26:23:180,1540,0.09867,-0.07975,9.81679,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38964,-0.12227,-0.59851,-0.38676,104.73160,-0.46462,0.61062,0.00115,-0.00515,0.79191,1,0,
06.29 11:26:23:190,1541,0.07518,-0.06501,9.81729,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38914,-0.12231,-0.59702,-0.38584,104.73008,-0.46405,0.61063,0.00115,-0.00514,0.79190,1,0,
06.29 11:26:23:200,1542,0.08525,-0.07906,9.81970,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38866,-0.12026,-0.59950,-0.38516,104.72812,-0.46510,0.61064,0.00116,-0.00514,0.79189,1,0,
06.29 11:26:23:211,1543,0.08670,-0.04747,9.81145,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38766,-0.12229,-0.59803,-0.38539,104.72497,-0.46387,0.61067,0.00115,-0.00514,0.79187,1,0,
06.29 11:26:23:220,1544,0.07974,-0.07578,9.82497,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38866,-0.12277,-0.59901,-0.38595,104.72606,-0.46489,0.61066,0.00116,-0.00514,0.79188,1,0,
06.29 11:26:23:232,1545,0.08143,-0.06490,9.81837,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38569,-0.12124,-0.60102,-0.38406,104.72559,-0.46584,0.61066,0.00117,-0.00514,0.79187,1,0,
06.29 11:26:23:240,1546,0.08859,-0.06974,9.83939,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38915,-0.12179,-0.59801,-0.38397,104.73178,-0.46601,0.61062,0.00117,-0.00514,0.79191,1,0,
06.29 11:26:23:250,1547,0.07230,-0.06865,9.82928,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38717,-0.12227,-0.59902,-0.38359,104.73051,-0.46559,0.61063,0.00117,-0.00513,0.79190,1,0,
06.29 11:26:23:259,1548,0.08552,-0.07342,9.81379,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38965,-0.12077,-0.59900,-0.38359,104.72879,-0.46532,0.61064,0.00117,-0.00513,0.79189,1,0,
06.29 11:26:23:270,1549,0.10240,-0.08578,9.83741,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38618,-0.12375,-0.60003,-0.38306,104.72849,-0.46552,0.61064,0.00118,-0.00513,0.79189,1,0,
06.29 11:26:23:281,1550,0.08630,-0.05943,9.81999,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38766,-0.12278,-0.59852,-0.38232,104.72656,-0.46621,0.61066,0.00118,-0.00513,0.79188,1,0,
06.29 11:26:23:289,1551,0.09904,-0.07143,9.82535,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38915,-0.12176,-0.59950,-0.38377,104.72653,-0.46568,0.61066,0.00117,-0.00513,0.79188,1,0,
06.29 11:26:23:301,1552,0.08283,-0.06733,9.82342,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38667,-0.12178,-0.59853,-0.38395,104.72550,-0.46480,0.61066,0.00117,-0.00513,0.79187,1,0,
06.29 11:26:23:311,1553,0.06936,-0.08416,9.81786,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38468,-0.12331,-0.59755,-0.38297,104.72572,-0.46489,0.61066,0.00117,-0.00512,0.79187,1,0,
06.29 11:26:23:319,1554,0.08701,-0.05914,9.82182,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38817,-0.12273,-0.60101,-0.38156,104.72527,-0.46501,0.61066,0.00118,-0.00511,0.79187,1,0,
06.29 11:26:23:329,1555,0.08541,-0.05473,9.81822,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38568,-0.12028,-0.59903,-0.38238,104.72613,-0.46538,0.61066,0.00118,-0.00512,0.79188,1,0,
06.29 11:26:23:340,1556,0.08801,-0.06725,9.81262,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38866,-0.12275,-0.60001,-0.38434,104.72401,-0.46601,0.61067,0.00117,-0.00514,0.79187,1,0,
06.29 11:26:23:350,1557,0.09367,-0.04814,9.82730,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38717,-0.12277,-0.59903,-0.38530,104.72394,-0.46628,0.61067,0.00117,-0.00515,0.79187,1,0,
06.29 11:26:23:360,1558,0.09029,-0.07407,9.81057,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38766,-0.12430,-0.59753,-0.38528,104.72742,-0.46654,0.61065,0.00117,-0.00515,0.79188,1,0,
06.29 11:26:23:369,1559,0.06741,-0.07572,9.81655,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38668,-0.12224,-0.60052,-0.38480,104.72701,-0.46640,0.61065,0.00117,-0.00514,0.79188,1,0,
06.29 11:26:23:381,1560,0.07591,-0.04895,9.82015,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38865,-0.12129,-0.59801,-0.38481,104.72508,-0.46675,0.61067,0.00117,-0.00515,0.79187,1,0,
06.29 11:26:23:390,1561,0.07469,-0.06855,9.83205,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38964,-0.12128,-0.59850,-0.38574,104.72398,-0.46738,0.61067,0.00117,-0.00516,0.79187,1,0,
06.29 11:26:23:400,1562,0.07625,-0.06077,9.82318,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38965,-0.12075,-0.59999,-0.38591,104.72744,-0.46784,0.61065,0.00118,-0.00516,0.79188,1,0,
06.29 11:26:23:411,1563,0.07969,-0.05194,9.82022,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38766,-0.12379,-0.59803,-0.38614,104.73198,-0.46687,0.61062,0.00117,-0.00516,0.79191,1,0,
06.29 11:26:23:420,1564,0.06849,-0.07393,9.81617,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38816,-0.12428,-0.59853,-0.38549,104.73183,-0.46783,0.61062,0.00118,-0.00516,0.79191,1,0,
06.29 11:26:23:431,1565,0.05781,-0.08579,9.80795,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38717,-0.12376,-0.59953,-0.38617,104.73432,-0.46700,0.61060,0.00117,-0.00516,0.79192,1,0,
06.29 11:26:23:440,1566,0.08204,-0.07395,9.81798,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38519,-0.12176,-0.60003,-0.38665,104.73555,-0.46722,0.61059,0.00117,-0.00516,0.79193,1,0,
06.29 11:26:23:453,1567,0.06422,-0.05990,9.83231,0.00000,0.00000,-2525397680142175760794213416960.00000,0.38965,-0.12026,-0.59949,-0.38650,104.73283,-0.46741,0.61061,0.00117,-0.00516,0.79191,1,0,
06.29 11:26:23:462,1568,0.11217,-0.07488,9.82068,0.00000,0.00000,-2525397680142175760794213416960.00000,0.39015,-0.12024,-0.59999,-0.38630,104.73580,-0.46653,0.61059,0.00117,-0.00516,0.79193,1,0,
