Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.19 20:12:31,408703,-0.95289,0.39265,9.84017,-0.00746,-0.00320,0.00533,40.07568,-0.89722,26.31836,2.51507,47.12074,5.21444,0.91585,0.00192,0.05045,0.39830,0,0,
06.19 20:12:31,408704,-0.95289,0.39265,9.84017,-0.00639,-0.00213,0.00426,40.07568,-0.89722,26.31836,2.51510,47.12078,5.21450,0.91585,0.00192,0.05045,0.39830,0,0,
06.19 20:12:31,408705,-0.95289,0.39744,9.84017,-0.00533,-0.00213,0.00426,40.07568,-0.89722,26.31836,2.51523,47.12080,5.21456,0.91585,0.00192,0.05045,0.39830,0,0,
06.19 20:12:31,408706,-0.94810,0.39744,9.84496,-0.00639,-0.00213,0.00533,40.07568,-0.89722,26.31836,2.51527,47.12091,5.21461,0.91585,0.00192,0.05045,0.39830,0,0,
06.19 20:12:31,408707,-0.95289,0.39744,9.84017,-0.00639,-0.00213,0.00639,41.12244,-2.54211,28.56140,2.51532,47.11982,5.21466,0.91585,0.00192,0.05045,0.39829,0,0,
06.19 20:12:31,408708,-0.95289,0.39744,9.84017,-0.00639,-0.00213,0.00533,41.12244,-2.54211,28.56140,2.51536,47.11861,5.21471,0.91585,0.00192,0.05045,0.39828,0,0,
06.19 20:12:31,408709,-0.95768,0.39265,9.84017,-0.00639,-0.00320,0.00533,41.12244,-2.54211,28.56140,2.51539,47.11738,5.21465,0.91586,0.00192,0.05045,0.39827,0,0,
06.19 20:12:31,408712,-0.95768,0.39744,9.84017,-0.00426,-0.00213,0.00533,41.57104,-2.39258,27.21558,2.51605,47.11406,5.21457,0.91587,0.00193,0.05046,0.39824,0,0,
06.19 20:12:31,408713,-0.95768,0.39265,9.84017,-0.00426,-0.00213,0.00533,41.57104,-2.39258,27.21558,2.51630,47.11306,5.21461,0.91587,0.00193,0.05046,0.39823,0,0,
06.19 20:12:31,408714,-0.95768,0.39265,9.84017,-0.00533,-0.00213,0.00533,41.57104,-2.39258,27.21558,2.51644,47.11206,5.21465,0.91588,0.00193,0.05046,0.39823,0,0,
06.19 20:12:31,408715,-0.95768,0.39744,9.84017,-0.00639,-0.00213,0.00426,41.57104,-2.39258,27.21558,2.51647,47.11095,5.21470,0.91588,0.00193,0.05046,0.39822,0,0,
06.19 20:12:31,408716,-0.95768,0.39265,9.84017,-0.00639,-0.00320,0.00426,41.57104,-2.39258,27.21558,2.51649,47.10984,5.21464,0.91588,0.00193,0.05046,0.39821,0,0,
06.19 20:12:31,408717,-0.95768,0.39744,9.84496,-0.00639,-0.00320,0.00639,41.57104,-2.39258,27.21558,2.51654,47.10894,5.21456,0.91589,0.00193,0.05046,0.39820,0,0,
06.19 20:12:31,408718,-0.95768,0.39265,9.84496,-0.00639,-0.00320,0.00639,39.02893,-0.44861,28.56140,2.51658,47.10948,5.21449,0.91589,0.00193,0.05046,0.39820,0,0,
06.19 20:12:31,408719,-0.95768,0.39265,9.84017,-0.00639,-0.00213,0.00533,39.02893,-0.44861,28.56140,2.51662,47.10988,5.21453,0.91588,0.00193,0.05046,0.39821,0,0,
06.19 20:12:31,408720,-0.95768,0.39265,9.84017,-0.00746,-0.00213,0.00533,39.02893,-0.44861,28.56140,2.51655,47.11031,5.21456,0.91588,0.00193,0.05046,0.39821,0,0,
06.19 20:12:31,408721,-0.95768,0.39265,9.84017,-0.00639,-0.00320,0.00639,39.02893,-0.44861,28.56140,2.51659,47.11083,5.21449,0.91588,0.00193,0.05046,0.39822,0,0,
06.19 20:12:31,408722,-0.95768,0.39265,9.84496,-0.00639,-0.00213,0.00639,39.02893,-0.44861,28.56140,2.51664,47.11135,5.21451,0.91588,0.00193,0.05046,0.39822,0,0,
06.19 20:12:31,408723,-0.95289,0.39265,9.84017,-0.00533,-0.00213,0.00639,39.02893,-0.44861,28.56140,2.51679,47.11187,5.21454,0.91588,0.00193,0.05046,0.39822,0,0,
06.19 20:12:31,408724,-0.95768,0.39265,9.84496,-0.00533,-0.00107,0.00639,42.91687,0.44861,28.26233,2.51694,47.11348,5.21467,0.91587,0.00193,0.05046,0.39824,0,0,
06.19 20:12:31,408725,-0.95768,0.39265,9.84017,-0.00639,-0.00213,0.00533,42.91687,0.44861,28.26233,2.51697,47.11500,5.21470,0.91587,0.00193,0.05046,0.39825,0,0,
06.19 20:12:31,408726,-0.95768,0.39265,9.84017,-0.00639,-0.00213,0.00426,42.91687,0.44861,28.26233,2.51700,47.11640,5.21474,0.91586,0.00193,0.05046,0.39826,0,0,
06.19 20:12:31,408727,-0.95768,0.39265,9.84496,-0.00639,-0.00213,0.00533,42.91687,0.44861,28.26233,2.51703,47.11789,5.21476,0.91586,0.00193,0.05046,0.39827,0,0,
06.19 20:12:31,408728,-0.96247,0.39265,9.84496,-0.00639,-0.00213,0.00533,42.91687,0.44861,28.26233,2.51706,47.11940,5.21479,0.91585,0.00193,0.05046,0.39828,0,0,
06.19 20:12:31,408729,-0.96247,0.39265,9.84975,-0.00639,-0.00213,0.00533,42.91687,0.44861,28.26233,2.51709,47.12091,5.21482,0.91585,0.00193,0.05046,0.39830,0,0,
06.19 20:12:31,408730,-0.96247,0.39265,9.84496,-0.00533,-0.00320,0.00639,42.91687,0.44861,28.26233,2.51724,47.12252,5.21473,0.91584,0.00193,0.05046,0.39831,0,0,
06.19 20:12:31,408731,-0.96247,0.39265,9.84496,-0.00533,-0.00320,0.00639,42.91687,0.44861,28.26233,2.51739,47.12411,5.21464,0.91583,0.00193,0.05046,0.39832,0,0,
06.19 20:12:31,408732,-0.96247,0.39265,9.84496,-0.00533,-0.00320,0.00639,42.91687,0.44861,28.26233,2.51753,47.12571,5.21455,0.91583,0.00193,0.05046,0.39833,0,0,
06.19 20:12:31,408733,-0.96247,0.39265,9.84496,-0.00639,-0.00320,0.00533,42.91687,0.44861,28.26233,2.51756,47.12719,5.21447,0.91582,0.00193,0.05046,0.39835,0,0,
06.19 20:12:31,408734,-0.96247,0.39265,9.84496,-0.00639,-0.00213,0.00533,42.91687,0.44861,28.26233,2.51759,47.12870,5.21449,0.91582,0.00193,0.05046,0.39836,0,0,
06.19 20:12:31,408735,-0.95768,0.39265,9.84496,-0.00639,-0.00213,0.00533,41.27197,-3.28979,29.01001,2.51761,47.12688,5.21451,0.91583,0.00193,0.05046,0.39834,0,0,
06.19 20:12:31,408736,-0.95768,0.39744,9.84975,-0.00639,-0.00213,0.00533,41.27197,-3.28979,29.01001,2.51764,47.12505,5.21453,0.91583,0.00194,0.05046,0.39833,0,0,
06.19 20:12:31,408737,-0.95768,0.39744,9.84496,-0.00639,-0.00213,0.00533,41.27197,-3.28979,29.01001,2.51766,47.12323,5.21455,0.91584,0.00194,0.05046,0.39831,0,0,
06.19 20:12:31,408738,-0.95768,0.39744,9.84496,-0.00746,-0.00213,0.00533,41.27197,-3.28979,29.01001,2.51758,47.12140,5.21456,0.91584,0.00194,0.05046,0.39830,0,0,
06.19 20:12:31,408739,-0.95768,0.39265,9.84496,-0.00639,-0.00213,0.00426,41.27197,-3.28979,29.01001,2.51759,47.11948,5.21458,0.91585,0.00194,0.05046,0.39828,0,0,
06.19 20:12:31,408740,-0.95768,0.39744,9.84496,-0.00639,-0.00213,0.00320,41.27197,-3.28979,29.01001,2.51760,47.11745,5.21461,0.91586,0.00194,0.05046,0.39827,0,0,
06.19 20:12:31,408741,-0.95768,0.39744,9.84017,-0.00639,-0.00320,0.00426,42.16919,-0.89722,28.11279,2.51761,47.11758,5.21452,0.91586,0.00194,0.05046,0.39827,0,0,
06.19 20:12:31,408742,-0.95768,0.39744,9.84496,-0.00533,-0.00213,0.00426,42.16919,-0.89722,28.11279,2.51773,47.11774,5.21453,0.91586,0.00194,0.05046,0.39827,0,0,
06.19 20:12:31,408743,-0.95289,0.39744,9.84496,-0.00533,-0.00213,0.00533,42.16919,-0.89722,28.11279,2.51785,47.11800,5.21455,0.91586,0.00194,0.05046,0.39827,0,0,
06.19 20:12:31,408744,-0.95768,0.39744,9.84496,-0.00533,-0.00213,0.00426,42.16919,-0.89722,28.11279,2.51797,47.11814,5.21456,0.91586,0.00194,0.05046,0.39827,0,0,
06.19 20:12:31,408745,-0.95768,0.39265,9.84496,-0.00639,-0.00213,0.00426,42.16919,-0.89722,28.11279,2.51798,47.11828,5.21458,0.91585,0.00194,0.05046,0.39827,0,0,
06.19 20:12:31,408746,-0.95768,0.39265,9.84496,-0.00639,-0.00213,0.00320,42.16919,-0.89722,28.11279,2.51798,47.11832,5.21460,0.91585,0.00194,0.05046,0.39827,0,0,
06.19 20:12:31,408748,-0.95768,0.39265,9.84975,-0.00639,-0.00213,0.00426,40.67383,0.59814,26.91650,2.51790,47.12136,5.21463,0.91584,0.00194,0.05046,0.39830,0,0,
06.19 20:12:31,408749,-0.96247,0.39265,9.84975,-0.00639,-0.00213,0.00426,40.67383,0.59814,26.91650,2.51791,47.12288,5.21465,0.91584,0.00194,0.05046,0.39831,0,0,
06.19 20:12:31,408753,-0.96247,0.39265,9.84017,-0.00639,-0.00107,0.00533,41.87012,-0.29907,27.51465,2.51799,47.12760,5.21481,0.91582,0.00194,0.05046,0.39835,0,0,
06.19 20:12:31,408754,-0.96247,0.39265,9.84496,-0.00746,-0.00107,0.00639,41.87012,-0.29907,27.51465,2.51791,47.12848,5.21493,0.91582,0.00193,0.05046,0.39836,0,0,
06.19 20:12:31,408755,-0.96247,0.39265,9.84496,-0.00746,-0.00213,0.00639,41.87012,-0.29907,27.51465,2.51783,47.12936,5.21493,0.91582,0.00193,0.05046,0.39836,0,0,
06.19 20:12:31,408756,-0.96726,0.39265,9.84496,-0.00746,-0.00107,0.00639,41.87012,-0.29907,27.51465,2.51776,47.13025,5.21505,0.91581,0.00193,0.05047,0.39837,0,0,
06.19 20:12:31,408757,-0.96726,0.39265,9.84496,-0.00746,0.00000,0.00533,41.87012,-0.29907,27.51465,2.51767,47.13103,5.21527,0.91581,0.00193,0.05047,0.39838,0,0,
06.19 20:12:31,408758,-0.96726,0.39265,9.84017,-0.00746,-0.00107,0.00533,42.01965,-1.94397,28.26233,2.51759,47.13038,5.21539,0.91581,0.00193,0.05047,0.39837,0,0,
06.19 20:12:31,408759,-0.96726,0.38786,9.84496,-0.00746,-0.00107,0.00533,42.01965,-1.94397,28.26233,2.51750,47.12975,5.21551,0.91581,0.00193,0.05047,0.39837,0,0,
06.19 20:12:31,408760,-0.96726,0.38786,9.84017,-0.00746,0.00000,0.00533,42.01965,-1.94397,28.26233,2.51742,47.12910,5.21574,0.91582,0.00193,0.05047,0.39836,0,0,
06.19 20:12:31,408761,-0.96726,0.38786,9.84017,-0.00746,-0.00107,0.00533,42.01965,-1.94397,28.26233,2.51733,47.12846,5.21586,0.91582,0.00193,0.05047,0.39836,0,0,
06.19 20:12:31,408762,-0.97205,0.38786,9.84017,-0.00746,-0.00107,0.00639,42.01965,-1.94397,28.26233,2.51726,47.12793,5.21597,0.91582,0.00193,0.05047,0.39835,0,0,
06.19 20:12:31,408763,-0.97205,0.38786,9.84017,-0.00746,-0.00213,0.00639,42.01965,-1.94397,28.26233,2.51718,47.12739,5.21598,0.91582,0.00193,0.05047,0.39835,0,0,
06.19 20:12:31,408764,-0.96726,0.38307,9.83538,-0.00639,-0.00213,0.00639,41.87012,-2.99072,28.71094,2.51721,47.12602,5.21599,0.91583,0.00193,0.05047,0.39834,0,0,
06.19 20:12:31,408765,-0.96726,0.38307,9.83538,-0.00639,-0.00320,0.00533,41.87012,-2.99072,28.71094,2.51723,47.12453,5.21590,0.91583,0.00193,0.05047,0.39832,0,0,
06.19 20:12:31,408766,-0.97205,0.38307,9.83538,-0.00533,-0.00320,0.00533,41.87012,-2.99072,28.71094,2.51736,47.12305,5.21582,0.91584,0.00193,0.05047,0.39831,0,0,
06.19 20:12:31,408771,-0.97205,0.38786,9.83538,-0.00639,-0.00213,0.00639,41.72058,-1.94397,27.06604,2.51747,47.11816,5.21539,0.91586,0.00193,0.05047,0.39827,0,0,
06.19 20:12:31,408772,-0.97205,0.38786,9.83538,-0.00746,-0.00213,0.00639,41.72058,-1.94397,27.06604,2.51740,47.11763,5.21541,0.91586,0.00193,0.05047,0.39827,0,0,
06.19 20:12:31,408773,-0.97205,0.39265,9.83538,-0.00746,-0.00213,0.00533,41.72058,-1.94397,27.06604,2.51731,47.11699,5.21543,0.91586,0.00193,0.05047,0.39826,0,0,
06.19 20:12:31,408774,-0.96726,0.39265,9.83538,-0.00746,-0.00213,0.00533,41.72058,-1.94397,27.06604,2.51723,47.11636,5.21546,0.91586,0.00193,0.05047,0.39826,0,0,
06.19 20:12:31,408775,-0.96726,0.39265,9.83538,-0.00639,-0.00213,0.00639,41.12244,-2.24304,29.45862,2.51726,47.11546,5.21548,0.91586,0.00193,0.05047,0.39825,0,0,
06.19 20:12:31,408776,-0.96247,0.39265,9.83538,-0.00639,-0.00320,0.00746,41.12244,-2.24304,29.45862,2.51731,47.11468,5.21539,0.91587,0.00193,0.05047,0.39825,0,0,
06.19 20:12:31,408777,-0.96247,0.39265,9.83059,-0.00746,-0.00213,0.00639,41.12244,-2.24304,29.45862,2.51723,47.11380,5.21542,0.91587,0.00193,0.05047,0.39824,0,0,
06.19 20:12:31,408778,-0.95768,0.39265,9.83538,-0.00639,-0.00213,0.00639,41.12244,-2.24304,29.45862,2.51727,47.11293,5.21545,0.91587,0.00193,0.05047,0.39823,0,0,
06.19 20:12:31,408779,-0.95768,0.39265,9.83538,-0.00639,-0.00213,0.00639,41.12244,-2.24304,29.45862,2.51730,47.11205,5.21548,0.91588,0.00194,0.05047,0.39822,0,0,
06.19 20:12:31,408780,-0.95768,0.39265,9.83538,-0.00746,-0.00320,0.00426,41.12244,-2.24304,29.45862,2.51721,47.11096,5.21541,0.91588,0.00194,0.05047,0.39822,0,0,
06.19 20:12:31,408781,-0.95768,0.39265,9.83538,-0.00746,-0.00213,0.00426,41.27197,-2.39258,28.11279,2.51712,47.10980,5.21545,0.91588,0.00193,0.05047,0.39821,0,0,
06.19 20:12:31,408782,-0.95768,0.39265,9.83538,-0.00746,-0.00213,0.00533,41.27197,-2.39258,28.11279,2.51704,47.10875,5.21548,0.91589,0.00193,0.05047,0.39820,0,0,
06.19 20:12:31,408783,-0.96247,0.39744,9.84017,-0.00639,-0.00213,0.00639,41.27197,-2.39258,28.11279,2.51707,47.10781,5.21552,0.91589,0.00194,0.05047,0.39819,0,0,
