Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:04:17:889,-144.88312,-6.62890,-0.95632,-52.86711,0.11720,-0.56501,92.02475,6.74937,0.39549,-0.00874,-0.00327,-0.00418,
07.10 11:04:17:940,-144.86873,-6.62849,-0.95350,-52.86627,0.11625,-0.56556,92.02475,6.74937,0.39549,-0.02229,-0.00463,-0.00755,
07.10 11:04:17:988,-144.84515,-6.62770,-0.94937,-52.86602,0.11376,-0.56878,92.02475,6.74937,0.39549,-0.04562,-0.00791,-0.01490,
07.10 11:04:18:038,-144.84598,-6.62701,-0.94423,-52.86735,0.11688,-0.56832,92.02475,6.74937,0.39549,-0.04612,-0.00549,-0.01957,
07.10 11:04:18:090,-144.79869,-6.62863,-0.93835,-52.87111,0.11968,-0.56900,92.02475,6.74937,0.39549,-0.09717,-0.00106,-0.02614,
07.10 11:04:18:142,-144.76546,-6.62880,-0.93520,-52.87384,0.12027,-0.57090,92.02475,6.74937,0.39549,-0.13313,-0.00030,-0.03119,
07.10 11:04:18:193,-144.76094,-6.62830,-0.93423,-52.87496,0.12135,-0.57084,92.02475,6.74937,0.39549,-0.13877,0.00028,-0.03210,
07.10 11:04:18:250,-144.76343,-6.62877,-0.93097,-52.87619,0.12347,-0.57132,92.02475,6.74937,0.39549,-0.13751,0.00287,-0.03584,
07.10 11:04:18:302,-144.72762,-6.63103,-0.92856,-52.87815,0.13355,-0.56557,92.02475,6.74937,0.39549,-0.17529,0.01520,-0.03250,
07.10 11:04:18:345,-144.69153,-6.63215,-0.92459,-52.88020,0.13437,-0.56728,92.02475,6.74937,0.39549,-0.21342,0.01714,-0.03818,
07.10 11:04:18:386,-144.65454,-6.63041,-0.92096,-52.88033,0.13321,-0.56828,92.02475,6.74937,0.39549,-0.25053,0.01424,-0.04280,
07.10 11:04:18:435,-144.62909,-6.63186,-0.91387,-52.88367,0.13305,-0.56946,92.02475,6.74937,0.39549,-0.27933,0.01554,-0.05107,
