Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.29 17:04:08:426,41644,0.02421,-0.08936,9.78766,0.00000,0.00000,-0.00000,0.37866,-0.15259,-0.58327,-0.54436,115.42002,-0.20326,0.53420,-0.00104,-0.00496,0.84534,1,0,
06.29 17:04:08:437,41645,0.03878,-0.08607,9.79993,0.00000,0.00000,-0.00000,0.37865,-0.15461,-0.58179,-0.54502,115.41289,-0.20349,0.53426,-0.00104,-0.00497,0.84531,1,0,
06.29 17:04:08:447,41646,0.01976,-0.06535,9.78792,0.00000,0.00000,-0.00000,0.37767,-0.15308,-0.58378,-0.54625,115.41177,-0.20360,0.53427,-0.00104,-0.00498,0.84530,1,0,
06.29 17:04:08:455,41647,0.04816,-0.07327,9.79614,0.00000,0.00000,-0.00000,0.37964,-0.15561,-0.58178,-0.54554,115.41148,-0.20341,0.53427,-0.00104,-0.00497,0.84530,1,0,
06.29 17:04:08:465,41648,0.02632,-0.08102,9.79388,0.00000,0.00000,-0.00000,0.37667,-0.15559,-0.58330,-0.54730,115.41097,-0.20329,0.53427,-0.00105,-0.00499,0.84530,1,0,
06.29 17:04:08:475,41649,0.03753,-0.08310,9.79567,0.00000,0.00000,-0.00000,0.37816,-0.15211,-0.58228,-0.54670,115.41153,-0.20348,0.53427,-0.00105,-0.00498,0.84530,1,0,
06.29 17:04:08:485,41650,0.02224,-0.08127,9.79991,0.00000,0.00000,-0.00000,0.37667,-0.15459,-0.58330,-0.54612,115.41626,-0.20281,0.53423,-0.00105,-0.00497,0.84532,1,0,
06.29 17:04:08:496,41651,0.03699,-0.08326,9.78627,0.00000,0.00000,-0.00000,0.37717,-0.15260,-0.58279,-0.54764,115.41756,-0.20293,0.53422,-0.00106,-0.00499,0.84533,1,0,
06.29 17:04:08:505,41652,0.02918,-0.07975,9.79166,0.00000,0.00000,-0.00000,0.37767,-0.15608,-0.58329,-0.54716,115.41798,-0.20277,0.53422,-0.00106,-0.00498,0.84533,1,0,
06.29 17:04:08:516,41653,0.03122,-0.07615,9.81350,0.00000,0.00000,-0.00000,0.37865,-0.15363,-0.58079,-0.54719,115.41683,-0.20229,0.53423,-0.00106,-0.00498,0.84532,1,0,
06.29 17:04:08:526,41654,0.02352,-0.08757,9.79781,0.00000,0.00000,-0.00000,0.37716,-0.15313,-0.58130,-0.54852,115.41441,-0.20226,0.53425,-0.00107,-0.00499,0.84531,1,0,
06.29 17:04:08:535,41655,0.01582,-0.08853,9.78854,0.00000,0.00000,-0.00000,0.37617,-0.15412,-0.58181,-0.54775,115.41410,-0.20280,0.53425,-0.00106,-0.00499,0.84531,1,0,
06.29 17:04:08:545,41656,0.04322,-0.08811,9.79061,0.00000,0.00000,-0.00000,0.37767,-0.15508,-0.58379,-0.54763,115.41446,-0.20262,0.53425,-0.00106,-0.00498,0.84531,1,0,
06.29 17:04:08:555,41657,0.05484,-0.07932,9.79586,0.00000,0.00000,-0.00000,0.37667,-0.15512,-0.58181,-0.54784,115.41403,-0.20187,0.53425,-0.00106,-0.00498,0.84531,1,0,
06.29 17:04:08:565,41658,0.04555,-0.09043,9.79657,0.00000,0.00000,-0.00000,0.37866,-0.15508,-0.58328,-0.54839,115.41534,-0.20114,0.53424,-0.00107,-0.00498,0.84532,1,0,
06.29 17:04:08:576,41659,0.02128,-0.08048,9.80501,0.00000,0.00000,-0.00000,0.37667,-0.15459,-0.58330,-0.54713,115.41527,-0.20303,0.53424,-0.00105,-0.00498,0.84532,1,0,
06.29 17:04:08:586,41660,0.06412,-0.07066,9.78921,0.00000,0.00000,-0.00000,0.38014,-0.15111,-0.58176,-0.54673,115.41852,-0.20302,0.53422,-0.00105,-0.00498,0.84533,1,0,
06.29 17:04:08:596,41661,0.04262,-0.08075,9.79209,0.00000,0.00000,-0.00000,0.37666,-0.15463,-0.58131,-0.54734,115.41332,-0.20153,0.53425,-0.00107,-0.00498,0.84531,1,0,
06.29 17:04:08:606,41662,0.05164,-0.07349,9.79240,0.00000,0.00000,-0.00000,0.37767,-0.15407,-0.58428,-0.54712,115.41447,-0.20111,0.53425,-0.00107,-0.00497,0.84531,1,0,
06.29 17:04:08:616,41663,0.01357,-0.07179,9.81023,0.00000,0.00000,-0.00000,0.37816,-0.15509,-0.58279,-0.54674,115.41524,-0.19987,0.53424,-0.00107,-0.00497,0.84532,1,0,
06.29 17:04:08:625,41664,-0.00539,-0.09103,9.80184,0.00000,0.00000,-0.00000,0.37766,-0.15460,-0.58279,-0.54664,115.41537,-0.19842,0.53424,-0.00108,-0.00496,0.84532,1,0,
06.29 17:04:08:635,41665,0.03912,-0.08443,9.80897,0.00000,0.00000,-0.00000,0.37766,-0.15362,-0.58179,-0.54681,115.41568,-0.19839,0.53424,-0.00109,-0.00496,0.84532,1,0,
06.29 17:04:08:646,41666,0.03832,-0.08858,9.78301,0.00000,0.00000,-0.00000,0.37866,-0.15457,-0.58378,-0.54634,115.41540,-0.19892,0.53424,-0.00108,-0.00496,0.84532,1,0,
06.29 17:04:08:656,41667,0.06019,-0.07882,9.78899,0.00000,0.00000,-0.00000,0.37816,-0.15508,-0.58329,-0.54555,115.41502,-0.19810,0.53424,-0.00108,-0.00495,0.84532,1,0,
06.29 17:04:08:666,41668,0.03906,-0.08658,9.80508,0.00000,0.00000,-0.00000,0.37765,-0.15314,-0.58080,-0.54671,115.41540,-0.19883,0.53424,-0.00108,-0.00496,0.84532,1,0,
06.29 17:04:08:676,41669,0.03754,-0.06209,9.79953,0.00000,0.00000,-0.00000,0.37617,-0.15711,-0.58231,-0.54713,115.41779,-0.19687,0.53422,-0.00110,-0.00495,0.84533,1,0,
06.29 17:04:08:686,41670,0.03728,-0.08983,9.79760,0.00000,0.00000,-0.00000,0.37815,-0.15214,-0.58079,-0.54528,115.42010,-0.19696,0.53420,-0.00109,-0.00494,0.84534,1,0,
06.29 17:04:08:695,41671,0.03331,-0.08239,9.78863,0.00000,0.00000,-0.00000,0.37766,-0.15410,-0.58279,-0.54647,115.41708,-0.19714,0.53423,-0.00109,-0.00495,0.84533,1,0,
06.29 17:04:08:706,41672,0.03973,-0.08473,9.79183,0.00000,0.00000,-0.00000,0.37767,-0.15458,-0.58379,-0.54703,115.41853,-0.19708,0.53422,-0.00110,-0.00495,0.84533,1,0,
06.29 17:04:08:715,41673,0.01954,-0.08835,9.79004,0.00000,0.00000,-0.00000,0.37917,-0.15452,-0.58626,-0.54490,115.41788,-0.19684,0.53422,-0.00109,-0.00494,0.84533,1,0,
06.29 17:04:08:725,41674,0.03942,-0.06450,9.80465,0.00000,0.00000,-0.00000,0.37667,-0.15512,-0.58181,-0.54677,115.41663,-0.19630,0.53423,-0.00110,-0.00495,0.84532,1,0,
06.29 17:04:08:736,41675,0.04529,-0.09864,9.79328,0.00000,0.00000,-0.00000,0.37865,-0.15510,-0.58229,-0.54669,115.41692,-0.19663,0.53423,-0.00110,-0.00495,0.84533,1,0,
06.29 17:04:08:746,41676,0.03779,-0.08732,9.81028,0.00000,0.00000,-0.00000,0.37518,-0.15360,-0.58281,-0.54539,115.41545,-0.19693,0.53424,-0.00109,-0.00494,0.84532,1,0,
06.29 17:04:08:756,41677,0.03501,-0.06840,9.78952,0.00000,0.00000,-0.00000,0.37866,-0.15406,-0.58427,-0.54516,115.41743,-0.19629,0.53422,-0.00109,-0.00494,0.84533,1,0,
06.29 17:04:08:766,41678,0.03388,-0.06860,9.79917,0.00000,0.00000,-0.00000,0.37964,-0.15511,-0.58178,-0.54603,115.41646,-0.19477,0.53423,-0.00111,-0.00494,0.84532,1,0,
06.29 17:04:08:775,41679,0.03184,-0.07626,9.78306,0.00000,0.00000,-0.00000,0.37915,-0.15709,-0.58279,-0.54610,115.41766,-0.19304,0.53422,-0.00112,-0.00493,0.84533,1,0,
06.29 17:04:08:785,41680,0.04132,-0.08514,9.80413,0.00000,0.00000,-0.00000,0.37865,-0.15411,-0.58179,-0.54751,115.41958,-0.19249,0.53421,-0.00113,-0.00494,0.84534,1,0,
06.29 17:04:08:794,41681,0.04447,-0.07377,9.78620,0.00000,0.00000,-0.00000,0.37766,-0.15660,-0.58230,-0.54660,115.42016,-0.19118,0.53420,-0.00114,-0.00492,0.84534,1,0,
06.29 17:04:08:806,41682,0.04478,-0.07553,9.79884,0.00000,0.00000,-0.00000,0.37915,-0.15509,-0.58278,-0.54560,115.41904,-0.19159,0.53421,-0.00113,-0.00492,0.84534,1,0,
06.29 17:04:08:816,41683,0.03288,-0.07948,9.80432,0.00000,0.00000,-0.00000,0.37766,-0.15563,-0.58130,-0.54580,115.41969,-0.19099,0.53421,-0.00114,-0.00492,0.84534,1,0,
