Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.29 16:44:27:711,2.09202,-2.30956,0.24707,67.36352,-0.93276,1.09605,64.85825,1.28606,0.44938,0.41325,0.09074,0.39960,
06.29 16:44:27:744,2.74948,-2.25535,0.32296,68.03545,-0.88623,1.16840,64.85825,1.28606,0.44938,0.42773,0.08305,0.39607,
06.29 16:44:27:782,3.74543,-2.19149,0.48494,69.03217,-0.82700,1.32630,64.85825,1.28606,0.44938,0.42848,0.07842,0.39198,
06.29 16:44:27:811,4.56268,-2.16596,0.58725,69.86549,-0.80837,1.41371,64.85825,1.28606,0.44938,0.44456,0.07153,0.37708,
06.29 16:44:27:841,5.46589,-2.19638,0.66089,70.78385,-0.86468,1.47682,64.85825,1.28606,0.44938,0.45970,0.04563,0.36655,
06.29 16:44:27:877,6.75798,-2.34475,0.76718,72.07147,-1.02314,1.57791,64.85825,1.28606,0.44938,0.45525,0.03555,0.36135,
06.29 16:44:27:911,7.77689,-2.46073,0.84151,73.10572,-1.15181,1.63936,64.85825,1.28606,0.44938,0.47058,0.02286,0.34848,
06.29 16:44:27:944,8.88897,-2.63259,0.90562,74.63512,-1.40684,1.72799,64.85825,1.28606,0.44938,0.88790,-0.06032,0.37299,
06.29 16:44:27:978,10.50908,-2.86676,1.02170,75.86008,-1.57536,1.80708,64.85825,1.28606,0.44938,0.49274,0.00534,0.33600,
06.29 16:44:28:011,11.80030,-2.96791,1.08821,77.17210,-1.67386,1.86254,64.85825,1.28606,0.44938,0.51354,0.00799,0.32496,
06.29 16:44:28:045,13.17045,-3.02782,1.16714,79.05878,-1.74622,1.97181,64.85825,1.28606,0.44938,1.03008,-0.00446,0.35529,
06.29 16:44:28:078,15.18325,-3.03653,1.32215,80.58537,-1.74878,2.07730,64.85825,1.28606,0.44938,0.54388,0.00168,0.30577,
06.29 16:44:28:111,16.74316,-3.00315,1.43306,82.16400,-1.72124,2.17397,64.85825,1.28606,0.44938,0.56258,-0.00415,0.29153,
06.29 16:44:28:146,18.34797,-2.93608,1.54402,83.78272,-1.66582,2.27271,64.85825,1.28606,0.44938,0.57649,-0.01581,0.27931,
06.29 16:44:28:178,20.57314,-2.90364,1.69830,86.00308,-1.67358,2.41183,64.85825,1.28606,0.44938,0.57169,-0.05601,0.26416,
06.29 16:44:28:210,22.26038,-2.99635,1.82818,87.70953,-1.80195,2.53652,64.85825,1.28606,0.44938,0.59090,-0.09167,0.25895,
06.29 16:44:28:244,23.98955,-3.16590,1.96122,89.45778,-1.99929,2.66101,64.85825,1.28606,0.44938,0.60998,-0.11946,0.25041,
06.29 16:44:28:278,26.39418,-3.49992,2.07977,91.85423,-2.37205,2.75747,64.85825,1.28606,0.44938,0.60179,-0.15819,0.22832,
06.29 16:44:28:312,28.21532,-3.74923,2.12185,93.69858,-2.63817,2.79229,64.85825,1.28606,0.44938,0.62501,-0.17500,0.22106,
06.29 16:44:28:343,29.52113,-3.89797,2.14840,96.17538,-2.89764,2.85025,64.85825,1.28606,0.44938,1.79600,-0.28573,0.25247,
06.29 16:44:28:378,32.50424,-4.08490,2.24746,97.97296,-2.98526,2.90571,64.85825,1.28606,0.44938,0.61047,-0.18643,0.20887,
06.29 16:44:28:411,33.74781,-4.08518,2.26793,99.74554,-2.96750,2.91558,64.85825,1.28606,0.44938,1.13947,-0.16839,0.19827,
06.29 16:44:28:445,36.13839,-3.99100,2.29005,102.12249,-2.90521,2.93541,64.85825,1.28606,0.44938,1.12585,-0.20028,0.19598,
06.29 16:44:28:478,38.42540,-3.96460,2.34744,103.90125,-2.92714,2.98240,64.85825,1.28606,0.44938,0.61760,-0.24860,0.18559,
06.29 16:44:28:510,40.29819,-3.97899,2.40522,105.68660,-2.96075,3.03282,64.85825,1.28606,0.44938,0.53016,-0.26783,0.17821,
