Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.30 08:50:45:610,5265,0.14844,-0.36392,9.78750,-0.01278,-0.00213,0.00320,2.97945,-19.56837,-34.01903,-2.66426,20.27336,-0.91784,0.98411,-0.02148,-0.01197,0.17576,0,1,
06.30 08:50:46:053,5519,0.16281,-0.34955,9.79707,-0.01172,-0.00320,0.00639,2.49765,-17.95485,-32.01076,-2.63310,20.27112,-0.90771,0.98412,-0.02122,-0.01184,0.17575,0,1,
06.30 08:50:46:661,5866,0.14844,-0.36871,9.79228,-0.01385,-0.00213,0.00426,3.14149,-18.48130,-35.04718,-2.59546,20.27303,-0.90735,0.98412,-0.02090,-0.01178,0.17577,0,1,
06.30 08:50:47:222,6186,0.14844,-0.35913,9.78750,-0.01278,-0.00320,0.00639,1.28121,-20.32495,-33.59345,-2.55855,20.26586,-0.90158,0.98414,-0.02059,-0.01167,0.17571,0,1,
06.30 08:50:47:415,6296,0.15802,-0.35913,9.79228,-0.01172,-0.00426,0.00533,2.35797,-17.75665,-33.66956,-2.54604,20.26657,-0.90708,0.98414,-0.02048,-0.01170,0.17572,0,1,
06.30 08:50:47:645,6427,0.15323,-0.37350,9.79228,-0.01278,-0.00107,0.00639,2.97985,-19.87096,-34.02733,-2.52655,20.26825,-0.90936,0.98414,-0.02031,-0.01169,0.17574,0,1,
06.30 08:50:47:694,6455,0.15802,-0.35913,9.79707,-0.00959,-0.00213,0.00533,2.20923,-18.80211,-34.15260,-2.52535,20.26896,-0.90857,0.98414,-0.02030,-0.01168,0.17574,0,1,
06.30 08:50:47:903,6574,0.16281,-0.37350,9.78271,-0.01172,-0.00213,0.00533,2.80864,-20.07523,-32.06757,-2.51311,20.26993,-0.90535,0.98414,-0.02020,-0.01163,0.17575,0,1,
06.30 08:50:48:178,6731,0.15323,-0.36392,9.78750,-0.01385,-0.00213,0.00426,3.90147,-19.58344,-33.71296,-2.49483,20.26977,-0.89745,0.98415,-0.02005,-0.01154,0.17575,0,1,
06.30 08:50:48:337,6822,0.15323,-0.36392,9.77792,-0.01172,-0.00426,0.00533,2.96684,-18.08871,-32.76859,-2.48711,20.26472,-0.89849,0.98416,-0.01998,-0.01153,0.17571,0,1,
06.30 08:50:51:121,8410,0.13886,-0.36871,9.77792,-0.01172,-0.00533,0.00639,3.27280,-18.40187,-32.47337,-2.35136,20.28019,-0.91079,0.98415,-0.01880,-0.01143,0.17586,0,1,
06.30 08:50:51:278,8500,0.16281,-0.37350,9.78750,-0.01172,-0.00320,0.00639,4.04903,-17.63021,-33.20502,-2.34424,20.28364,-0.90860,0.98415,-0.01874,-0.01141,0.17589,0,1,
06.30 08:50:51:506,8630,0.15323,-0.35913,9.78271,-0.01385,-0.00320,0.00426,2.52731,-18.16589,-35.34367,-2.33290,20.28251,-0.90985,0.98415,-0.01864,-0.01140,0.17588,0,1,
06.30 08:50:52:802,9369,0.16281,-0.35913,9.80186,-0.01278,-0.00320,0.00533,2.97068,-18.98816,-33.09572,-2.29468,20.29274,-0.89449,0.98415,-0.01834,-0.01121,0.17597,0,1,
06.30 08:50:52:870,9408,0.14844,-0.35913,9.79228,-0.01065,-0.00320,0.00639,4.67001,-17.01289,-33.79034,-2.29383,20.29356,-0.89215,0.98414,-0.01833,-0.01119,0.17598,0,1,
06.30 08:50:53:598,9823,0.15802,-0.35913,9.79228,-0.01172,-0.00213,0.00639,4.04154,-20.08422,-32.06246,-2.29197,20.28720,-0.87346,0.98415,-0.01834,-0.01102,0.17593,0,1,
06.30 08:50:53:986,10045,0.16281,-0.35913,9.80186,-0.01385,-0.00320,0.00533,2.04295,-18.68714,-32.78902,-2.28545,20.29182,-0.87117,0.98415,-0.01829,-0.01100,0.17597,0,1,
06.30 08:50:54:470,10321,0.16281,-0.36871,9.77792,-0.01172,-0.00213,0.00426,1.28298,-17.58500,-34.12324,-2.28232,20.28092,-0.88102,0.98417,-0.01825,-0.01107,0.17587,0,1,
06.30 08:50:54:959,10600,0.16281,-0.36871,9.80665,-0.01278,-0.00426,0.00746,3.12475,-17.92606,-33.21715,-2.27513,20.27906,-0.87764,0.98417,-0.01819,-0.01103,0.17586,0,1,
06.30 08:50:55:431,10869,0.15802,-0.34477,9.79707,-0.01278,-0.00320,0.00533,4.05780,-18.21043,-34.12833,-2.27183,20.28455,-0.88028,0.98416,-0.01816,-0.01105,0.17591,0,1,
06.30 08:50:55:654,10997,0.16281,-0.35913,9.80186,-0.01278,-0.00320,0.00426,2.82115,-19.42843,-33.56216,-2.27158,20.28304,-0.88051,0.98416,-0.01816,-0.01105,0.17589,0,1,
06.30 08:50:55:937,11158,0.14365,-0.35434,9.79228,-0.01172,-0.00320,0.00746,3.59058,-19.58951,-33.41200,-2.27398,20.28155,-0.88577,0.98417,-0.01817,-0.01110,0.17588,0,1,
06.30 08:50:55:945,11160,0.14365,-0.35913,9.79228,-0.01278,-0.00320,0.00639,3.59058,-19.58951,-33.41200,-2.27398,20.28155,-0.88577,0.98417,-0.01817,-0.01110,0.17588,0,1,
06.30 08:50:56:144,11276,0.15323,-0.35913,9.78271,-0.01278,-0.00107,0.00639,2.82342,-19.11752,-33.85610,-2.26320,20.28414,-0.88761,0.98416,-0.01808,-0.01110,0.17590,0,1,
06.30 08:50:58:152,12422,0.14844,-0.37828,9.77313,-0.01172,-0.00320,0.00639,1.58332,-19.73867,-32.97110,-2.25250,20.28538,-0.85554,0.98416,-0.01803,-0.01081,0.17592,0,1,
06.30 08:50:58:455,12595,0.14844,-0.35913,9.79707,-0.01278,-0.00426,0.00533,3.58113,-20.53057,-32.22794,-2.24398,20.28660,-0.84985,0.98416,-0.01797,-0.01075,0.17593,0,1,
06.30 08:50:58:700,12734,0.17238,-0.34955,9.79707,-0.01172,-0.00426,0.00639,1.89155,-19.74092,-32.96983,-2.24111,20.28147,-0.84399,0.98417,-0.01795,-0.01069,0.17589,0,1,
06.30 08:51:00:105,13536,0.15323,-0.35913,9.79707,-0.01065,-0.00213,0.00639,4.04716,-18.24372,-32.91938,-2.22925,20.28882,-0.81129,0.98416,-0.01790,-0.01039,0.17596,0,1,
06.30 08:51:00:182,13580,0.15323,-0.36392,9.79228,-0.01172,0.00000,0.00639,2.50465,-21.27501,-32.40429,-2.22745,20.28803,-0.81074,0.98417,-0.01789,-0.01039,0.17595,0,1,
06.30 08:51:00:416,13714,0.16281,-0.36392,9.78750,-0.01278,-0.00533,0.00639,3.27585,-18.69614,-32.78391,-2.21348,20.29410,-0.80984,0.98416,-0.01777,-0.01036,0.17601,0,1,
06.30 08:51:00:626,13833,0.17238,-0.35913,9.81144,-0.01491,0.00000,0.00426,3.42883,-18.85272,-32.63630,-2.21555,20.29290,-0.80179,0.98416,-0.01780,-0.01029,0.17600,0,1,
06.30 08:51:00:633,13837,0.15802,-0.36392,9.80665,-0.01278,0.00213,0.00533,3.42883,-18.85272,-32.63630,-2.21555,20.29290,-0.80179,0.98416,-0.01780,-0.01029,0.17600,0,1,
06.30 08:51:01:097,14102,0.13886,-0.36392,9.79228,-0.01278,-0.00213,0.00639,4.36031,-17.92673,-33.51427,-2.22185,20.29251,-0.79125,0.98416,-0.01787,-0.01021,0.17599,0,1,
06.30 08:51:03:484,15464,-0.02394,-0.65601,9.84975,-0.06285,-0.02237,0.51346,1.75068,-18.63495,-34.60372,-2.11917,23.09772,-0.52918,0.97958,-0.01719,-0.00823,0.20009,1,1,
06.30 08:51:03:733,15606,0.09098,-4.48673,10.73560,-1.05035,1.28577,6.38413,-1.63695,-14.65157,-35.41661,-6.71330,72.19707,16.06055,0.79387,-0.12901,0.07852,0.58901,1,1,
06.30 08:51:06:219,17025,0.83318,-0.72784,9.05008,-0.00107,0.12357,-0.23116,-12.49334,11.34168,-30.81859,-3.66226,-169.60143,-10.70331,-0.08721,0.09572,-0.02324,0.99130,1,1,
06.30 08:51:06:419,17139,1.13964,-0.05746,8.49463,0.05646,0.22264,0.49215,-9.87840,12.06655,-30.33361,-4.86814,-168.30467,-8.36261,-0.09844,0.07678,-0.03471,0.99156,1,1,
06.30 08:51:06:958,17446,-0.56024,0.17238,9.80186,-0.01917,-0.04474,-0.05646,-6.15949,10.88745,-32.46712,0.34003,-159.26483,-1.49859,-0.17998,0.01233,0.00527,0.98357,1,1,
06.30 08:51:08:129,18114,0.02873,-0.22027,9.80186,-0.01278,-0.00213,0.00426,-4.46164,11.94663,-32.88440,0.14735,-159.30144,-1.49464,-0.17965,0.01260,0.00361,0.98364,1,1,
06.30 08:51:08:635,18403,0.02873,-0.22027,9.80186,-0.01172,-0.00107,0.00426,-5.37913,12.58353,-33.77835,0.05423,-159.27956,-1.41748,-0.17983,0.01208,0.00269,0.98362,1,1,
06.30 08:51:08:980,18600,0.01915,-0.22505,9.80665,-0.01385,-0.00533,0.00533,-3.84834,14.36285,-32.81545,0.00073,-159.25871,-1.36273,-0.18000,0.01170,0.00215,0.98359,1,1,
06.30 08:51:09:015,18620,0.01437,-0.23463,9.79228,-0.01172,-0.00320,0.00533,-5.38976,12.55024,-32.56940,-0.00853,-159.25615,-1.35788,-0.18002,0.01167,0.00206,0.98359,1,1,
06.30 08:51:10:734,19601,0.01437,-0.22505,9.79228,-0.01385,-0.00107,0.00639,-4.47573,12.51019,-31.35662,-0.29277,-159.15839,-1.08971,-0.18084,0.00981,-0.00079,0.98346,0,1,
06.30 08:51:11:386,19973,0.02873,-0.21548,9.79228,-0.01278,-0.00320,0.00533,-3.83563,10.75674,-33.82175,-0.40018,-159.12849,-1.01068,-0.18109,0.00931,-0.00184,0.98342,0,1,
06.30 08:51:11:614,20103,0.02394,-0.21548,9.80186,-0.01278,-0.00213,0.00746,-3.69526,12.07982,-32.42370,-0.43692,-159.11407,-0.97893,-0.18121,0.00909,-0.00220,0.98339,0,1,
06.30 08:51:11:744,20177,0.02394,-0.22984,9.79228,-0.01278,-0.00107,0.00533,-4.91634,11.21434,-33.66266,-0.44566,-159.09970,-0.96215,-0.18134,0.00896,-0.00230,0.98337,0,1,
06.30 08:51:12:503,20610,0.01915,-0.22027,9.80665,-0.01172,-0.00213,0.00639,-4.00615,12.07374,-32.12274,-0.54254,-159.06816,-0.87240,-0.18160,0.00835,-0.00327,0.98332,0,1,
06.30 08:51:12:984,20885,0.00000,-0.24421,9.78750,-0.01385,-0.00320,0.00533,-6.15230,11.51760,-33.35724,-0.60151,-159.04297,-0.83478,-0.18182,0.00812,-0.00384,0.98328,0,1,
06.30 08:51:13:222,21020,-0.04310,-0.22505,9.78750,-0.01385,0.00852,0.00852,-6.00011,11.96620,-33.19303,-0.62636,-159.03938,-0.84297,-0.18185,0.00823,-0.00404,0.98328,0,1,
06.30 08:51:13:749,21321,-0.02873,-0.21069,9.76355,-0.01065,-0.00639,0.00320,-4.61954,11.78398,-32.43583,-0.67257,-159.00943,-0.79980,-0.18210,0.00793,-0.00450,0.98323,0,1,
06.30 08:51:14:200,21578,0.05267,-0.21548,9.80665,-0.01172,-0.00426,0.00746,-4.77400,11.02447,-32.30610,-0.69906,-158.97867,-0.77802,-0.18236,0.00779,-0.00476,0.98318,0,1,
06.30 08:51:14:299,21635,0.06704,-0.21548,9.81623,-0.01172,0.00000,0.00639,-4.00812,13.58669,-32.08125,-0.70725,-158.97449,-0.77345,-0.18240,0.00776,-0.00484,0.98317,0,1,
06.30 08:51:14:622,21819,0.02873,-0.23942,9.79707,-0.01172,-0.00533,0.00533,-4.16228,14.65104,-32.20396,-0.72512,-158.95621,-0.75124,-0.18256,0.00760,-0.00502,0.98314,0,1,
06.30 08:51:14:835,21941,0.01915,-0.22027,9.79707,-0.01278,0.00000,0.00426,-4.92738,11.48364,-32.44541,-0.73796,-158.94070,-0.73258,-0.18269,0.00746,-0.00516,0.98312,0,1,
