Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.10 14:15:34:554,5815,-0.07183,-0.23942,9.75877,-0.00213,0.00426,-0.00852,-3.73840,22.57996,-39.62708,-1.08765,-15.66582,-0.31112,-0.99060,0.00977,0.00140,0.13631,-0.00769,0.63076,-0.85426,-0.02262,1,1,
07.10 14:15:34:555,5816,-0.07661,-0.23942,9.75877,-0.00426,0.00320,-0.00852,-1.94397,21.98181,-39.32800,-1.08552,-22.61961,-0.31360,-0.98051,0.00983,0.00083,0.19613,-0.00797,0.63007,-0.85279,-0.02256,1,1,
07.10 14:15:34:555,5817,-0.07183,-0.23942,9.75877,-0.00426,0.00426,-0.00852,-1.94397,21.98181,-39.32800,-1.08552,-22.61961,-0.31360,-0.98051,0.00983,0.00083,0.19613,-0.00797,0.63007,-0.85279,-0.02256,1,1,
07.10 14:15:34:555,5818,-0.07183,-0.23463,9.76355,-0.00426,0.00320,-0.00746,-1.94397,21.98181,-39.32800,-1.08552,-22.61961,-0.31360,-0.98051,0.00983,0.00083,0.19613,-0.00797,0.63007,-0.85279,-0.02256,1,1,
07.10 14:15:34:557,5819,-0.07183,-0.23942,9.75877,-0.00533,0.00426,-0.00746,-1.94397,21.98181,-39.32800,-1.08552,-22.61961,-0.31360,-0.98051,0.00983,0.00083,0.19613,-0.00797,0.63007,-0.85279,-0.02256,1,1,
07.10 14:15:34:557,5820,-0.07183,-0.23942,9.75877,-0.00426,0.00426,-0.00746,-1.94397,21.98181,-39.32800,-1.08552,-22.61961,-0.31360,-0.98051,0.00983,0.00083,0.19613,-0.00797,0.63007,-0.85279,-0.02256,1,1,
07.10 14:15:34:557,5821,-0.06704,-0.23942,9.75877,-0.00320,0.00320,-0.00852,-2.09351,21.53320,-38.87939,-1.08421,-29.08854,-0.31533,-0.96789,0.00985,0.00029,0.25114,-0.00861,0.62843,-0.85032,-0.02250,1,1,
07.10 14:15:34:558,5822,-0.06704,-0.23942,9.75877,-0.00320,0.00533,-0.00852,-2.09351,21.53320,-38.87939,-1.08421,-29.08854,-0.31533,-0.96789,0.00985,0.00029,0.25114,-0.00861,0.62843,-0.85032,-0.02250,1,1,
07.10 14:15:34:558,5823,-0.06704,-0.23942,9.75877,-0.00426,0.00533,-0.00852,-2.09351,21.53320,-38.87939,-1.08421,-29.08854,-0.31533,-0.96789,0.00985,0.00029,0.25114,-0.00861,0.62843,-0.85032,-0.02250,1,1,
07.10 14:15:34:559,5824,-0.06704,-0.23942,9.76355,-0.00320,0.00426,-0.00959,-2.09351,21.53320,-38.87939,-1.08421,-29.08854,-0.31533,-0.96789,0.00985,0.00029,0.25114,-0.00861,0.62843,-0.85032,-0.02250,1,1,
07.10 14:15:34:559,5827,-0.07183,-0.24421,9.76355,-0.00320,0.00639,-0.01065,-1.49536,23.02856,-39.77661,-1.08224,-36.24290,-0.31663,-0.95034,0.00984,-0.00031,0.31104,-0.00771,0.63035,-0.85032,-0.02244,1,1,
07.10 14:15:34:559,5828,-0.07183,-0.24421,9.76355,-0.00426,0.00533,-0.00959,-1.49536,23.02856,-39.77661,-1.08224,-36.24290,-0.31663,-0.95034,0.00984,-0.00031,0.31104,-0.00771,0.63035,-0.85032,-0.02244,1,1,
07.10 14:15:34:560,5829,-0.06704,-0.23942,9.76355,-0.00426,0.00533,-0.00959,-1.49536,23.02856,-39.77661,-1.08224,-36.24290,-0.31663,-0.95034,0.00984,-0.00031,0.31104,-0.00771,0.63035,-0.85032,-0.02244,1,1,
07.10 14:15:34:560,5830,-0.06704,-0.23942,9.76355,-0.00533,0.00533,-0.00959,-1.49536,23.02856,-39.77661,-1.08224,-36.24290,-0.31663,-0.95034,0.00984,-0.00031,0.31104,-0.00771,0.63035,-0.85032,-0.02244,1,1,
07.10 14:15:34:561,5831,-0.06704,-0.23463,9.75877,-0.00426,0.00533,-0.00959,-1.49536,23.02856,-39.77661,-1.08224,-36.24290,-0.31663,-0.95034,0.00984,-0.00031,0.31104,-0.00771,0.63035,-0.85032,-0.02244,1,1,
07.10 14:15:34:561,5832,-0.07183,-0.23942,9.75877,-0.00426,0.00533,-0.00959,-1.49536,23.02856,-39.77661,-1.08224,-36.24290,-0.31663,-0.95034,0.00984,-0.00031,0.31104,-0.00771,0.63035,-0.85032,-0.02244,1,1,
07.10 14:15:34:561,5833,-0.07661,-0.23942,9.75877,-0.00426,0.00426,-0.00959,-2.39258,21.83228,-39.47754,-1.08081,-42.34552,-0.31790,-0.93242,0.00980,-0.00082,0.36119,-0.00911,0.62934,-0.84955,-0.02238,1,1,
07.10 14:15:34:561,5834,-0.07661,-0.23942,9.75877,-0.00426,0.00426,-0.00959,-2.39258,21.83228,-39.47754,-1.08081,-42.34552,-0.31790,-0.93242,0.00980,-0.00082,0.36119,-0.00911,0.62934,-0.84955,-0.02238,1,1,
07.10 14:15:34:562,5835,-0.07661,-0.23942,9.75398,-0.00426,0.00426,-0.00959,-2.39258,21.83228,-39.47754,-1.08081,-42.34552,-0.31790,-0.93242,0.00980,-0.00082,0.36119,-0.00911,0.62934,-0.84955,-0.02238,1,1,
07.10 14:15:34:562,5836,-0.07183,-0.23463,9.75398,-0.00426,0.00320,-0.00959,-2.39258,21.83228,-39.47754,-1.08081,-42.34552,-0.31790,-0.93242,0.00980,-0.00082,0.36119,-0.00911,0.62934,-0.84955,-0.02238,1,1,
07.10 14:15:34:563,5837,-0.07183,-0.23942,9.75877,-0.00533,0.00426,-0.00852,-2.39258,21.83228,-39.47754,-1.08081,-42.34552,-0.31790,-0.93242,0.00980,-0.00082,0.36119,-0.00911,0.62934,-0.84955,-0.02238,1,1,
07.10 14:15:34:563,5838,-0.07183,-0.23942,9.76355,-0.00426,0.00320,-0.00959,-1.34583,23.17810,-40.52429,-1.07964,-49.39049,-0.31962,-0.90847,0.00973,-0.00140,0.41780,-0.00788,0.63133,-0.85146,-0.02232,1,1,
07.10 14:15:34:564,5839,-0.07183,-0.23942,9.76355,-0.00426,0.00426,-0.00959,-1.34583,23.17810,-40.52429,-1.07964,-49.39049,-0.31962,-0.90847,0.00973,-0.00140,0.41780,-0.00788,0.63133,-0.85146,-0.02232,1,1,
07.10 14:15:34:564,5840,-0.07183,-0.23942,9.75877,-0.00426,0.00426,-0.00852,-1.34583,23.17810,-40.52429,-1.07964,-49.39049,-0.31962,-0.90847,0.00973,-0.00140,0.41780,-0.00788,0.63133,-0.85146,-0.02232,1,1,
07.10 14:15:34:564,5841,-0.07183,-0.23942,9.76355,-0.00533,0.00426,-0.00852,-1.34583,23.17810,-40.52429,-1.07964,-49.39049,-0.31962,-0.90847,0.00973,-0.00140,0.41780,-0.00788,0.63133,-0.85146,-0.02232,1,1,
07.10 14:15:34:565,5842,-0.07183,-0.23942,9.75877,-0.00533,0.00533,-0.00852,-1.34583,23.17810,-40.52429,-1.07964,-49.39049,-0.31962,-0.90847,0.00973,-0.00140,0.41780,-0.00788,0.63133,-0.85146,-0.02232,1,1,
07.10 14:15:34:565,5843,-0.06704,-0.23942,9.75877,-0.00533,0.00533,-0.00959,-1.34583,23.17810,-40.52429,-1.07964,-49.39049,-0.31962,-0.90847,0.00973,-0.00140,0.41780,-0.00788,0.63133,-0.85146,-0.02232,1,1,
07.10 14:15:34:566,5844,-0.06704,-0.23942,9.75877,-0.00533,0.00533,-0.00852,-1.04675,20.78552,-40.22522,-1.07860,-57.65392,-0.32110,-0.87601,0.00960,-0.00208,0.48217,-0.00621,0.62734,-0.85236,-0.02225,1,1,
07.10 14:15:34:566,5845,-0.07183,-0.23942,9.75877,-0.00533,0.00533,-0.00852,-1.04675,20.78552,-40.22522,-1.07860,-57.65392,-0.32110,-0.87601,0.00960,-0.00208,0.48217,-0.00621,0.62734,-0.85236,-0.02225,1,1,
07.10 14:15:34:567,5846,-0.07183,-0.23942,9.75877,-0.00533,0.00533,-0.00959,-1.04675,20.78552,-40.22522,-1.07860,-57.65392,-0.32110,-0.87601,0.00960,-0.00208,0.48217,-0.00621,0.62734,-0.85236,-0.02225,1,1,
07.10 14:15:34:567,5847,-0.07183,-0.23942,9.76355,-0.00533,0.00533,-0.00959,-1.04675,20.78552,-40.22522,-1.07860,-57.65392,-0.32110,-0.87601,0.00960,-0.00208,0.48217,-0.00621,0.62734,-0.85236,-0.02225,1,1,
07.10 14:15:34:567,5848,-0.07183,-0.23942,9.76355,-0.00533,0.00426,-0.00959,-1.04675,20.78552,-40.22522,-1.07860,-57.65392,-0.32110,-0.87601,0.00960,-0.00208,0.48217,-0.00621,0.62734,-0.85236,-0.02225,1,1,
07.10 14:15:34:568,5849,-0.06704,-0.23942,9.75877,-0.00533,0.00426,-0.00852,-1.04675,20.78552,-40.22522,-1.07860,-57.65392,-0.32110,-0.87601,0.00960,-0.00208,0.48217,-0.00621,0.62734,-0.85236,-0.02225,1,1,
07.10 14:15:34:568,5850,-0.06704,-0.23463,9.75877,-0.00426,0.00533,-0.00746,-0.59814,21.83228,-40.37476,-1.07764,-67.90852,-0.32245,-0.82940,0.00937,-0.00292,0.55853,-0.00356,0.62609,-0.85360,-0.02216,1,1,
07.10 14:15:34:568,5851,-0.07183,-0.23942,9.75877,-0.00426,0.00533,-0.00746,-0.59814,21.83228,-40.37476,-1.07764,-67.90852,-0.32245,-0.82940,0.00937,-0.00292,0.55853,-0.00356,0.62609,-0.85360,-0.02216,1,1,
07.10 14:15:34:569,5852,-0.06704,-0.23942,9.75398,-0.00533,0.00426,-0.00746,-0.59814,21.83228,-40.37476,-1.07764,-67.90852,-0.32245,-0.82940,0.00937,-0.00292,0.55853,-0.00356,0.62609,-0.85360,-0.02216,1,1,
07.10 14:15:34:569,5853,-0.06704,-0.23942,9.75398,-0.00639,0.00426,-0.00852,-0.59814,21.83228,-40.37476,-1.07764,-67.90852,-0.32245,-0.82940,0.00937,-0.00292,0.55853,-0.00356,0.62609,-0.85360,-0.02216,1,1,
07.10 14:15:34:569,5854,-0.06704,-0.23463,9.75877,-0.00533,0.00320,-0.00852,-0.59814,21.83228,-40.37476,-1.07764,-67.90852,-0.32245,-0.82940,0.00937,-0.00292,0.55853,-0.00356,0.62609,-0.85360,-0.02216,1,1,
07.10 14:15:34:570,5855,-0.06225,-0.23942,9.75877,-0.00533,0.00320,-0.00959,-3.14026,20.78552,-39.92615,-1.07696,-75.36350,-0.32404,-0.79134,0.00917,-0.00351,0.61127,-0.00726,0.62282,-0.85362,-0.02210,1,1,
07.10 14:15:34:570,5856,-0.06704,-0.23942,9.75877,-0.00639,0.00426,-0.00959,-3.14026,20.78552,-39.92615,-1.07696,-75.36350,-0.32404,-0.79134,0.00917,-0.00351,0.61127,-0.00726,0.62282,-0.85362,-0.02210,1,1,
07.10 14:15:34:570,5857,-0.06704,-0.23463,9.75877,-0.00639,0.00426,-0.00852,-3.14026,20.78552,-39.92615,-1.07696,-75.36350,-0.32404,-0.79134,0.00917,-0.00351,0.61127,-0.00726,0.62282,-0.85362,-0.02210,1,1,
07.10 14:15:34:572,5858,-0.06225,-0.23463,9.76355,-0.00533,0.00533,-0.00852,-3.14026,20.78552,-39.92615,-1.07696,-75.36350,-0.32404,-0.79134,0.00917,-0.00351,0.61127,-0.00726,0.62282,-0.85362,-0.02210,1,1,
