Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.04 08:45:30:539,2212,90.79385,94.41276,220.11749,-1.00002,-1.00002,-1.00005,11.66382,22.13135,-39.17847,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,nan,nan,nan,2.00000,1,1,
07.04 08:45:30:539,2213,90.64969,94.26282,219.76117,-1.00002,-1.00002,-1.00005,11.66382,22.13135,-39.17847,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,nan,nan,nan,2.00000,1,1,
07.04 08:45:30:540,2214,90.57264,94.18176,219.57364,-1.00002,-1.00002,-1.00005,12.11243,23.17810,-39.62708,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,nan,nan,nan,2.00000,1,1,
07.04 08:45:30:540,2215,90.49601,94.10115,219.38713,-1.00002,-1.00002,-1.00005,12.11243,23.17810,-39.62708,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,nan,nan,nan,2.00000,1,1,
07.04 08:45:30:541,2216,90.41980,94.02099,219.20164,-1.00002,-1.00002,-1.00005,12.11243,23.17810,-39.62708,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,0.00000,0.00000,0.00000,2.00000,1,1,
07.04 08:45:30:543,2217,90.34401,93.94125,219.01718,-1.00002,-1.00002,-1.00005,12.11243,23.17810,-39.62708,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,0.00000,0.00000,0.00000,2.00000,1,1,
07.04 08:45:30:547,2218,90.26863,93.86196,218.83371,-1.00002,-1.00002,-1.00005,12.11243,23.17810,-39.62708,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,nan,nan,nan,2.00000,1,1,
07.04 08:45:30:550,2219,90.22538,93.81695,218.72717,-1.00002,-1.00002,-1.00005,15.55176,20.93506,-40.67383,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,nan,nan,nan,2.00000,1,1,
07.04 08:45:30:554,2220,90.18236,93.77219,218.62123,-1.00002,-1.00002,-1.00005,15.55176,20.93506,-40.67383,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,nan,nan,nan,2.00000,1,1,
07.04 08:45:30:557,2221,90.13957,93.72767,218.51587,-1.00002,-1.00002,-1.00005,15.55176,20.93506,-40.67383,-63.92572,8.22189,-13.13076,0.84500,-0.51759,-0.13445,0.00005,0.00000,0.00000,0.00000,2.00000,1,1,
