Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.10 14:08:08:895,38928,-0.09577,-0.27294,9.76355,-0.00426,0.00533,-0.00852,-4.48608,23.02856,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:895,38929,-0.09577,-0.27294,9.76355,-0.00639,0.00533,-0.00852,-4.48608,23.02856,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:897,38930,-0.09577,-0.27294,9.76355,-0.00639,0.00533,-0.00959,-4.48608,23.02856,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:897,38931,-0.09577,-0.27294,9.76355,-0.00533,0.00533,-0.00852,-5.68237,20.63599,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:901,38932,-0.09577,-0.27294,9.76355,-0.00320,0.00533,-0.00852,-5.68237,20.63599,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:902,38933,-0.09098,-0.27294,9.76355,-0.00426,0.00533,-0.00852,-5.68237,20.63599,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:902,38934,-0.09577,-0.26815,9.76355,-0.00533,0.00426,-0.00852,-5.68237,20.63599,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:903,38935,-0.09577,-0.26815,9.76355,-0.00533,0.00533,-0.00852,-5.68237,20.63599,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:903,38936,-0.09577,-0.27294,9.76355,-0.00426,0.00426,-0.00852,-5.68237,20.63599,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
07.10 14:08:08:903,38937,-0.09577,-0.27294,9.76834,-0.00426,0.00320,-0.00852,-5.68237,20.63599,-39.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,
