Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
06.30 12:22:37:614,24972,0.38307,-0.17717,9.81623,-0.01065,-0.00320,0.00426,-7.33706,12.84485,-26.40342,-1.24144,-94.46466,-2.39020,0.67865,-0.02267,-0.00621,-0.73406,-0.00993,-0.00364,0.00462,-25.45021,0,1,
06.30 12:22:37:614,24973,0.38307,-0.17717,9.81144,-0.01065,-0.00426,0.00426,-7.33706,12.84485,-26.40342,-1.24144,-94.46466,-2.39020,0.67865,-0.02267,-0.00621,-0.73406,-0.00993,-0.00364,0.00462,-25.45021,0,1,
06.30 12:22:37:615,24976,0.38307,-0.17717,9.81144,-0.00959,-0.00213,0.00426,-9.80356,12.22936,-26.09490,-1.24107,-94.45648,-2.38995,0.67870,-0.02266,-0.00621,-0.73401,-0.00993,-0.00364,0.00462,-25.42851,0,1,
06.30 12:22:37:615,24977,0.38307,-0.17717,9.81144,-0.00959,-0.00426,0.00320,-9.80356,12.22936,-26.09490,-1.24107,-94.45648,-2.38995,0.67870,-0.02266,-0.00621,-0.73401,-0.00993,-0.00364,0.00462,-25.42851,0,1,
06.30 12:22:37:616,24978,0.38307,-0.17238,9.81144,-0.01065,-0.00320,0.00426,-9.80356,12.22936,-26.09490,-1.24107,-94.45648,-2.38995,0.67870,-0.02266,-0.00621,-0.73401,-0.00993,-0.00364,0.00462,-25.42851,0,1,
06.30 12:22:37:617,24979,0.38307,-0.17238,9.80665,-0.01065,-0.00320,0.00533,-9.80356,12.22936,-26.09490,-1.24107,-94.45648,-2.38995,0.67870,-0.02266,-0.00621,-0.73401,-0.00993,-0.00364,0.00462,-25.42851,0,1,
06.30 12:22:37:617,24980,0.38307,-0.17238,9.80665,-0.00959,-0.00426,0.00533,-9.80356,12.22936,-26.09490,-1.24107,-94.45648,-2.38995,0.67870,-0.02266,-0.00621,-0.73401,-0.00993,-0.00364,0.00462,-25.42851,0,1,
06.30 12:22:37:617,24981,0.37828,-0.17238,9.80665,-0.01065,-0.00320,0.00533,-9.80356,12.22936,-26.09490,-1.24107,-94.45648,-2.38995,0.67870,-0.02266,-0.00621,-0.73401,-0.00993,-0.00364,0.00462,-25.42851,0,1,
06.30 12:22:37:618,24982,0.37828,-0.17238,9.80665,-0.00959,-0.00320,0.00533,-9.18703,12.53747,-26.40333,-1.24060,-94.45526,-2.38990,0.67871,-0.02266,-0.00622,-0.73401,-0.00993,-0.00364,0.00462,-25.39888,0,1,
06.30 12:22:37:618,24983,0.37828,-0.17238,9.80665,-0.00959,-0.00320,0.00533,-9.18703,12.53747,-26.40333,-1.24060,-94.45526,-2.38990,0.67871,-0.02266,-0.00622,-0.73401,-0.00993,-0.00364,0.00462,-25.39888,0,1,
06.30 12:22:37:619,24984,0.37828,-0.17238,9.80665,-0.00852,-0.00320,0.00533,-9.18703,12.53747,-26.40333,-1.24060,-94.45526,-2.38990,0.67871,-0.02266,-0.00622,-0.73401,-0.00993,-0.00364,0.00462,-25.39888,0,1,
06.30 12:22:37:619,24985,0.37350,-0.17238,9.80665,-0.00852,-0.00213,0.00533,-9.18703,12.53747,-26.40333,-1.24060,-94.45526,-2.38990,0.67871,-0.02266,-0.00622,-0.73401,-0.00993,-0.00364,0.00462,-25.39888,0,1,
06.30 12:22:37:619,24986,0.37828,-0.17238,9.81144,-0.00852,-0.00213,0.00639,-9.18703,12.53747,-26.40333,-1.24060,-94.45526,-2.38990,0.67871,-0.02266,-0.00622,-0.73401,-0.00993,-0.00364,0.00462,-25.39888,0,1,
06.30 12:22:37:620,24987,0.37828,-0.17238,9.81144,-0.00852,-0.00320,0.00533,-9.34111,12.07598,-27.48204,-1.23954,-94.44981,-2.38946,0.67875,-0.02265,-0.00622,-0.73397,-0.00993,-0.00364,0.00462,-25.36574,0,1,
06.30 12:22:37:620,24988,0.37828,-0.16759,9.80665,-0.00959,-0.00213,0.00426,-9.34111,12.07598,-27.48204,-1.23954,-94.44981,-2.38946,0.67875,-0.02265,-0.00622,-0.73397,-0.00993,-0.00364,0.00462,-25.36574,0,1,
06.30 12:22:37:621,24989,0.37828,-0.16759,9.81144,-0.00746,-0.00320,0.00426,-9.34111,12.07598,-27.48204,-1.23954,-94.44981,-2.38946,0.67875,-0.02265,-0.00622,-0.73397,-0.00993,-0.00364,0.00462,-25.36574,0,1,
06.30 12:22:37:621,24990,0.37350,-0.17238,9.80665,-0.00852,-0.00320,0.00426,-9.34111,12.07598,-27.48204,-1.23954,-94.44981,-2.38946,0.67875,-0.02265,-0.00622,-0.73397,-0.00993,-0.00364,0.00462,-25.36574,0,1,
06.30 12:22:37:621,24991,0.37828,-0.17238,9.80665,-0.00959,-0.00320,0.00426,-9.34111,12.07598,-27.48204,-1.23954,-94.44981,-2.38946,0.67875,-0.02265,-0.00622,-0.73397,-0.00993,-0.00364,0.00462,-25.36574,0,1,
06.30 12:22:37:622,24992,0.37350,-0.16759,9.80665,-0.00959,-0.00320,0.00426,-9.34111,12.07598,-27.48204,-1.23954,-94.44981,-2.38946,0.67875,-0.02265,-0.00622,-0.73397,-0.00993,-0.00364,0.00462,-25.36574,0,1,
06.30 12:22:37:622,24993,0.37828,-0.16759,9.80186,-0.00852,-0.00320,0.00426,-8.10778,12.38322,-26.86560,-1.23831,-94.45818,-2.38910,0.67869,-0.02264,-0.00622,-0.73402,-0.00993,-0.00364,0.00462,-25.34342,0,1,
