Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.10 14:10:14:228,22963,-0.09037,-0.04790,9.79302,0.00000,0.00000,-144215415432675328.00000,-0.24681,0.34747,-0.68106,-0.39903,-40.78135,0.68147,0.93732,-0.00119,0.00679,-0.34839,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:228,22964,-0.08808,-0.03728,9.77256,0.00000,0.00000,-144215415432675328.00000,-0.24679,0.34403,-0.68406,-0.39839,-40.78152,0.68155,0.93732,-0.00119,0.00679,-0.34839,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:228,22965,-0.08389,-0.04900,9.79767,0.00000,0.00000,-144215415432675328.00000,-0.24727,0.34511,-0.68804,-0.39894,-40.78045,0.68093,0.93733,-0.00119,0.00678,-0.34838,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:230,22966,-0.09344,-0.03890,9.79967,2715785002763741317562368.00000,0.00000,-0.00000,-0.24779,0.34401,-0.68308,-0.39868,-40.78013,0.68151,0.93733,-0.00119,0.00679,-0.34838,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:240,22967,-0.10306,-0.04229,9.80406,2715785002763741317562368.00000,0.00000,-0.00000,-0.24878,0.34552,-0.68407,-0.39758,-40.78023,0.68088,0.93733,-0.00118,0.00678,-0.34838,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:248,22968,-0.08257,-0.04943,9.80337,2715785002763741317562368.00000,0.00000,-0.00000,-0.24531,0.34502,-0.68355,-0.39713,-40.78063,0.68031,0.93733,-0.00118,0.00677,-0.34839,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:259,22969,-0.08174,-0.04787,9.80086,2715785002763741317562368.00000,0.00000,-0.00000,-0.24778,0.34405,-0.68507,-0.39715,-40.78069,0.68020,0.93733,-0.00118,0.00677,-0.34839,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:269,22970,-0.09890,-0.04053,9.80668,2715785002763741317562368.00000,0.00000,-0.00000,-0.25026,0.34555,-0.68558,-0.39709,-40.78027,0.67919,0.93733,-0.00118,0.00676,-0.34838,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:279,22971,-0.09588,-0.03636,9.79628,2715785002763741317562368.00000,0.00000,-0.00000,-0.24678,0.34607,-0.68605,-0.39817,-40.77958,0.67909,0.93733,-0.00119,0.00677,-0.34838,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:289,22972,-0.09835,-0.05927,9.79233,2715785002763741317562368.00000,0.00000,-0.00000,-0.24876,0.34558,-0.68706,-0.39780,-40.77977,0.67934,0.93733,-0.00119,0.00677,-0.34838,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:300,22973,-0.08716,-0.02852,9.79731,2715785002763741317562368.00000,0.00000,-0.00000,-0.24628,0.34461,-0.68804,-0.39649,-40.77917,0.67952,0.93733,-0.00118,0.00676,-0.34837,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:310,22974,-0.08578,-0.04607,9.79629,2715785002763741317562368.00000,0.00000,-0.00000,-0.24728,0.34307,-0.68606,-0.39699,-40.77754,0.68052,0.93734,-0.00118,0.00677,-0.34836,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:320,22975,-0.09097,-0.06282,9.80046,2715785002763741317562368.00000,0.00000,-0.00000,-0.24929,0.34448,-0.68209,-0.39684,-40.77733,0.67981,0.93734,-0.00118,0.00677,-0.34836,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:328,22976,-0.09422,-0.04953,9.78751,2715785002763741317562368.00000,0.00000,-0.00000,-0.24629,0.34257,-0.68605,-0.39681,-40.77691,0.68113,0.93734,-0.00118,0.00678,-0.34836,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:338,22977,-0.07887,-0.04410,9.79388,2715785002763741317562368.00000,0.00000,-0.00000,-0.24679,0.34506,-0.68555,-0.39758,-40.77701,0.68041,0.93734,-0.00118,0.00677,-0.34836,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:348,22978,-0.10773,-0.04560,9.78322,2715785002763741317562368.00000,0.00000,-0.00000,-0.24829,0.34402,-0.68358,-0.39803,-40.77624,0.68158,0.93734,-0.00118,0.00679,-0.34835,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:360,22979,-0.09885,-0.04808,9.80182,2715785002763741317562368.00000,0.00000,-0.00000,-0.24779,0.34402,-0.68357,-0.39876,-40.77518,0.68122,0.93734,-0.00119,0.00678,-0.34834,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:370,22980,-0.11141,-0.03845,9.79481,2715785002763741317562368.00000,0.00000,-0.00000,-0.24777,0.34608,-0.68655,-0.39967,-40.77463,0.68165,0.93734,-0.00120,0.00679,-0.34834,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:380,22981,-0.10136,-0.02923,9.80196,2715785002763741317562368.00000,0.00000,-0.00000,-0.24678,0.34910,-0.68753,-0.39771,-40.77432,0.68144,0.93735,-0.00118,0.00678,-0.34833,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:390,22982,-0.08651,-0.06171,9.79633,2715785002763741317562368.00000,0.00000,-0.00000,-0.24878,0.34453,-0.68457,-0.39825,-40.77402,0.68224,0.93735,-0.00118,0.00679,-0.34833,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:399,22983,-0.09778,-0.03304,9.79664,2715785002763741317562368.00000,0.00000,-0.00000,-0.24825,0.34765,-0.69053,-0.39866,-40.77363,0.68179,0.93735,-0.00119,0.00679,-0.34833,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:409,22984,-0.11227,-0.02725,9.78363,2715785002763741317562368.00000,0.00000,-0.00000,-0.24878,0.34403,-0.68458,-0.39748,-40.77332,0.68206,0.93735,-0.00118,0.00679,-0.34833,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:419,22985,-0.08708,-0.04792,9.79562,2715785002763741317562368.00000,0.00000,-0.00000,-0.24829,0.34601,-0.68357,-0.39730,-40.77294,0.68226,0.93735,-0.00118,0.00679,-0.34832,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:429,22986,-0.08876,-0.04185,9.78622,2715785002763741317562368.00000,0.00000,-0.00000,-0.24876,0.34408,-0.68706,-0.39921,-40.77230,0.68218,0.93735,-0.00119,0.00679,-0.34832,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:439,22987,-0.10410,-0.03992,9.80434,2715785002763741317562368.00000,0.00000,-0.00000,-0.24725,0.34570,-0.69252,-0.39944,-40.77220,0.68245,0.93735,-0.00119,0.00680,-0.34832,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:449,22988,-0.10290,-0.05415,9.79903,2715785002763741317562368.00000,0.00000,-0.00000,-0.24729,0.34354,-0.68457,-0.39861,-40.77122,0.68285,0.93735,-0.00118,0.00680,-0.34831,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:460,22989,-0.10843,-0.05422,9.80260,2715785002763741317562368.00000,0.00000,-0.00000,-0.24679,0.34155,-0.68507,-0.39961,-40.77084,0.68292,0.93736,-0.00119,0.00680,-0.34831,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:470,22990,-0.09238,-0.04118,9.78916,2715785002763741317562368.00000,0.00000,-0.00000,-0.24778,0.34457,-0.68606,-0.39915,-40.77088,0.68274,0.93736,-0.00119,0.00680,-0.34831,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:480,22991,-0.11255,-0.04446,9.79290,2715785002763741317562368.00000,0.00000,-0.00000,-0.24630,0.34604,-0.68455,-0.39817,-40.77118,0.68222,0.93735,-0.00118,0.00679,-0.34831,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:489,22992,-0.09709,-0.05086,9.80356,2715785002763741317562368.00000,0.00000,-0.00000,-0.24677,0.34311,-0.68805,-0.39989,-40.77045,0.68213,0.93736,-0.00120,0.00680,-0.34830,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:499,22993,-0.09178,-0.05092,9.78882,2715785002763741317562368.00000,0.00000,-0.00000,-0.24879,0.34499,-0.68258,-0.39931,-40.77007,0.68242,0.93736,-0.00119,0.00680,-0.34830,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:509,22994,-0.08286,-0.03386,9.79340,2715785002763741317562368.00000,0.00000,-0.00000,-0.24729,0.34251,-0.68308,-0.39912,-40.76979,0.68196,0.93736,-0.00119,0.00679,-0.34830,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:519,22995,-0.11272,-0.05720,9.81531,2715785002763741317562368.00000,0.00000,-0.00000,-0.24679,0.34554,-0.68456,-0.39851,-40.76968,0.68202,0.93736,-0.00119,0.00679,-0.34830,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:529,22996,-0.09687,-0.04051,9.81126,2715785002763741317562368.00000,0.00000,-0.00000,-0.24680,0.34501,-0.68306,-0.39553,-40.76904,0.68253,0.93736,-0.00116,0.00679,-0.34829,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:540,22997,-0.09311,-0.04595,9.80289,2715785002763741317562368.00000,0.00000,-0.00000,-0.24778,0.34556,-0.68556,-0.39546,-40.76900,0.68174,0.93736,-0.00116,0.00678,-0.34829,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:549,22998,-0.11542,-0.04605,9.79807,2715785002763741317562368.00000,0.00000,-0.00000,-0.24729,0.34454,-0.68456,-0.39675,-40.76813,0.68115,0.93736,-0.00118,0.00678,-0.34828,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:560,22999,-0.09406,-0.03634,9.79671,2715785002763741317562368.00000,0.00000,-0.00000,-0.24680,0.34702,-0.68355,-0.39593,-40.76769,0.68179,0.93737,-0.00117,0.00678,-0.34828,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:569,23000,-0.09629,-0.04239,9.80735,2715785002763741317562368.00000,0.00000,-0.00000,-0.24729,0.34504,-0.68456,-0.39558,-40.76655,0.68149,0.93737,-0.00116,0.00678,-0.34827,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:578,23001,-0.08288,-0.04059,9.79095,2715785002763741317562368.00000,0.00000,-0.00000,-0.24827,0.34358,-0.68656,-0.39574,-40.76699,0.68114,0.93737,-0.00117,0.00677,-0.34827,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:589,23002,-0.09089,-0.05174,9.79073,2715785002763741317562368.00000,0.00000,-0.00000,-0.24778,0.34506,-0.68556,-0.39633,-40.76683,0.68102,0.93737,-0.00117,0.00678,-0.34827,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:599,23003,-0.08285,-0.04503,9.81121,2715785002763741317562368.00000,0.00000,-0.00000,-0.24928,0.34501,-0.68358,-0.39548,-40.76736,0.68001,0.93737,-0.00117,0.00676,-0.34828,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:610,23004,-0.09230,-0.04377,9.79972,2715785002763741317562368.00000,0.00000,-0.00000,-0.24628,0.34458,-0.68655,-0.39483,-40.76793,0.68015,0.93736,-0.00116,0.00676,-0.34828,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:620,23005,-0.09623,-0.04182,9.80084,2715785002763741317562368.00000,0.00000,-0.00000,-0.24728,0.34458,-0.68655,-0.39427,-40.76785,0.68063,0.93736,-0.00116,0.00677,-0.34828,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:630,23006,-0.09699,-0.05443,9.80041,2715785002763741317562368.00000,0.00000,-0.00000,-0.24728,0.34407,-0.68606,-0.39351,-40.76643,0.68022,0.93737,-0.00115,0.00676,-0.34827,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:640,23007,-0.10984,-0.05022,9.79943,2715785002763741317562368.00000,0.00000,-0.00000,-0.24827,0.34556,-0.68606,-0.39474,-40.76593,0.67980,0.93737,-0.00116,0.00676,-0.34827,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:649,23008,-0.06861,-0.05021,9.78234,2715785002763741317562368.00000,0.00000,-0.00000,-0.25027,0.34602,-0.68408,-0.39438,-40.76518,0.68003,0.93737,-0.00116,0.00676,-0.34826,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:659,23009,-0.09399,-0.03299,9.79643,2715785002763741317562368.00000,0.00000,-0.00000,-0.24779,0.34652,-0.68406,-0.39444,-40.76553,0.67990,0.93737,-0.00116,0.00676,-0.34826,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:669,23010,-0.08966,-0.04524,9.80873,2715785002763741317562368.00000,0.00000,-0.00000,-0.24829,0.34651,-0.68357,-0.39461,-40.76596,0.67960,0.93737,-0.00116,0.00676,-0.34827,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:679,23011,-0.09960,-0.05563,9.80783,2715785002763741317562368.00000,0.00000,-0.00000,-0.24779,0.34453,-0.68407,-0.39287,-40.76498,0.67841,0.93737,-0.00115,0.00674,-0.34826,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:731,23012,-0.09482,-0.05235,9.80287,2715785002763741317562368.00000,0.00000,-0.00000,-0.24977,0.34503,-0.68458,-0.39171,-40.76443,0.67734,0.93738,-0.00115,0.00673,-0.34825,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:734,23013,-0.09043,-0.04296,9.78951,2715785002763741317562368.00000,0.00000,-0.00000,-0.24878,0.34553,-0.68457,-0.39449,-40.76301,0.67704,0.93738,-0.00117,0.00674,-0.34824,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:737,23014,-0.11088,-0.06084,9.78582,2715785002763741317562368.00000,0.00000,-0.00000,-0.24779,0.34502,-0.68357,-0.39488,-40.76285,0.67714,0.93738,-0.00117,0.00674,-0.34824,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:738,23015,-0.06807,-0.03426,9.79455,2715785002763741317562368.00000,0.00000,-0.00000,-0.24729,0.34304,-0.68457,-0.39401,-40.76317,0.67782,0.93738,-0.00116,0.00674,-0.34824,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:741,23016,-0.07580,-0.03857,9.80034,2715785002763741317562368.00000,0.00000,-0.00000,-0.24878,0.34400,-0.68308,-0.39364,-40.76331,0.67778,0.93738,-0.00116,0.00674,-0.34824,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:744,23017,-0.09951,-0.04402,9.80358,2715785002763741317562368.00000,0.00000,-0.00000,-0.24826,0.34511,-0.68805,-0.39320,-40.76337,0.67838,0.93738,-0.00115,0.00674,-0.34825,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:749,23018,-0.07253,-0.05038,9.79769,2715785002763741317562368.00000,0.00000,-0.00000,-0.24828,0.34504,-0.68507,-0.39207,-40.76231,0.67912,0.93738,-0.00114,0.00675,-0.34824,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:759,23019,-0.07977,-0.04123,9.78236,2715785002763741317562368.00000,0.00000,-0.00000,-0.24678,0.34357,-0.68606,-0.39218,-40.76105,0.67841,0.93739,-0.00115,0.00674,-0.34823,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:770,23020,-0.08977,-0.05891,9.79517,2715785002763741317562368.00000,0.00000,-0.00000,-0.24829,0.34498,-0.68208,-0.39141,-40.76068,0.67836,0.93739,-0.00114,0.00674,-0.34822,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:780,23021,-0.08005,-0.05001,9.81750,2715785002763741317562368.00000,0.00000,-0.00000,-0.24976,0.34355,-0.68558,-0.39079,-40.76069,0.67846,0.93739,-0.00113,0.00674,-0.34822,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:790,23022,-0.11417,-0.04626,9.80628,2715785002763741317562368.00000,0.00000,-0.00000,-0.24629,0.34556,-0.68555,-0.39066,-40.76071,0.67796,0.93739,-0.00114,0.00673,-0.34822,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:800,23023,-0.07719,-0.04696,9.80089,2715785002763741317562368.00000,0.00000,-0.00000,-0.24729,0.34353,-0.68407,-0.39041,-40.76109,0.67825,0.93739,-0.00113,0.00673,-0.34823,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:809,23024,-0.09781,-0.04895,9.80327,2715785002763741317562368.00000,0.00000,-0.00000,-0.24630,0.34353,-0.68406,-0.38950,-40.76032,0.67845,0.93739,-0.00112,0.00673,-0.34822,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:10:14:818,23025,-0.10933,-0.04633,9.80072,2715785002763741317562368.00000,0.00000,-0.00000,-0.24829,0.34301,-0.68308,-0.39058,-40.75928,0.67899,0.93739,-0.00113,0.00674,-0.34821,0.00000,0.00000,0.00000,0.00000,1,0,
