Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.02 17:09:34:629,260,-0.07388,-0.14276,9.81853,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29019,-0.06382,-0.56475,-0.98080,100.38675,0.39203,0.64015,-0.00811,-0.00438,0.76820,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:638,261,-0.06788,-0.18508,9.79028,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29119,-0.06229,-0.56623,-0.98212,100.39616,0.39182,0.64009,-0.00811,-0.00440,0.76825,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:651,262,-0.03028,-0.18842,9.79078,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29316,-0.06384,-0.56324,-0.98360,100.39566,0.39048,0.64009,-0.00811,-0.00441,0.76825,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:660,263,-0.01042,-0.18054,9.78723,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29019,-0.06381,-0.56525,-0.98295,100.39570,0.38971,0.64009,-0.00810,-0.00441,0.76825,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:669,264,-0.03870,-0.17039,9.80125,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29169,-0.06579,-0.56574,-0.98239,100.36101,0.39200,0.64032,-0.00812,-0.00439,0.76805,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:680,265,-0.06742,-0.17251,9.79033,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29318,-0.06475,-0.56772,-0.98349,100.32722,0.39455,0.64055,-0.00814,-0.00438,0.76786,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:689,266,-0.08636,-0.16600,9.83195,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29068,-0.06434,-0.56375,-0.98214,100.33939,0.39485,0.64047,-0.00814,-0.00437,0.76793,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:698,267,-0.09605,-0.16927,9.81879,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29366,-0.06182,-0.56422,-0.98395,100.37229,0.39542,0.64025,-0.00815,-0.00439,0.76811,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:709,268,-0.08700,-0.15639,9.80561,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29118,-0.06382,-0.56474,-0.98521,100.38072,0.39472,0.64019,-0.00815,-0.00440,0.76816,0.00000,0.00000,0.00000,0.00000,1,0,
07.02 17:09:34:719,269,-0.05082,-0.16514,9.80714,-647408939108925440.00000,0.00000,-24685744208244365821214720.00000,0.29367,-0.06428,-0.56622,-0.98469,100.36603,0.39435,0.64029,-0.00815,-0.00440,0.76808,0.00000,0.00000,0.00000,0.00000,1,0,
