Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
06.30 11:26:57:625,28,0.11013,-0.33040,9.81144,-0.01065,-0.00107,0.00533,-9.86662,10.15761,-33.66572,-1.90653,-79.70012,-0.60488,0.76753,-0.01615,0.00661,-0.64075,0.00000,0.00000,0.00000,5.00000,1,1,
06.30 11:26:57:626,29,0.11013,-0.33040,9.81144,-0.01065,-0.00107,0.00533,-9.86662,10.15761,-33.66572,-1.90653,-79.70012,-0.60488,0.76753,-0.01615,0.00661,-0.64075,0.00000,0.00000,0.00000,5.00000,1,1,
06.30 11:26:57:626,30,0.11013,-0.33040,9.81144,-0.01065,-0.00107,0.00639,-9.86662,10.15761,-33.66572,-1.90653,-79.70012,-0.60488,0.76753,-0.01615,0.00661,-0.64075,0.00000,0.00000,0.00000,5.00000,1,1,
06.30 11:26:57:628,31,0.10534,-0.33040,9.81144,-0.01172,-0.00107,0.00533,-9.86662,10.15761,-33.66572,-1.90653,-79.70012,-0.60488,0.76753,-0.01615,0.00661,-0.64075,0.00000,0.00000,0.00000,5.00000,1,1,
06.30 11:26:57:630,32,0.10534,-0.33040,9.81144,-0.01172,-0.00107,0.00533,-9.86662,10.15761,-33.66572,-1.90653,-79.70012,-0.60488,0.76753,-0.01615,0.00661,-0.64075,0.00000,0.00000,0.00000,5.00000,1,1,
06.30 11:26:57:632,33,0.10534,-0.33040,9.81144,-0.01065,-0.00107,0.00533,-9.86662,10.15761,-33.66572,-1.90653,-79.70012,-0.60488,0.76753,-0.01615,0.00661,-0.64075,0.00000,0.00000,0.00000,5.00000,1,1,
06.30 11:26:57:634,34,0.10534,-0.32561,9.81623,-0.00959,-0.00107,0.00639,-10.94984,10.90991,-32.28144,-1.91547,-77.80841,-0.60874,0.77800,-0.01634,0.00636,-0.62799,0.00000,0.00000,0.00000,6.00000,1,1,
06.30 11:26:57:636,35,0.10534,-0.32561,9.81144,-0.01065,-0.00107,0.00533,-10.94984,10.90991,-32.28144,-1.91547,-77.80841,-0.60874,0.77800,-0.01634,0.00636,-0.62799,0.00000,0.00000,0.00000,6.00000,1,1,
06.30 11:26:57:638,36,0.10534,-0.33040,9.81144,-0.00959,-0.00213,0.00426,-10.94984,10.90991,-32.28144,-1.91547,-77.80841,-0.60874,0.77800,-0.01634,0.00636,-0.62799,0.00000,0.00000,0.00000,6.00000,1,1,
06.30 11:26:57:639,37,0.10534,-0.33040,9.81144,-0.01065,-0.00213,0.00426,-10.94984,10.90991,-32.28144,-1.91547,-77.80841,-0.60874,0.77800,-0.01634,0.00636,-0.62799,0.00000,0.00000,0.00000,6.00000,1,1,
06.30 11:26:57:641,38,0.10534,-0.33040,9.81144,-0.01065,-0.00320,0.00426,-10.94984,10.90991,-32.28144,-1.91547,-77.80841,-0.60874,0.77800,-0.01634,0.00636,-0.62799,0.00000,0.00000,0.00000,6.00000,1,1,
06.30 11:26:57:642,39,0.11013,-0.33040,9.81144,-0.01065,-0.00320,0.00533,-10.94984,10.90991,-32.28144,-1.91547,-77.80841,-0.60874,0.77800,-0.01634,0.00636,-0.62799,0.00000,0.00000,0.00000,6.00000,1,1,
06.30 11:26:57:644,40,0.10534,-0.32561,9.81623,-0.01065,-0.00320,0.00533,-9.56498,11.06578,-32.42796,-1.92183,-77.63860,-0.61164,0.77893,-0.01641,0.00635,-0.62684,0.00000,0.00000,0.00000,7.00000,1,1,
06.30 11:26:57:648,41,0.10534,-0.32561,9.81144,-0.00959,-0.00320,0.00533,-9.56498,11.06578,-32.42796,-1.92183,-77.63860,-0.61164,0.77893,-0.01641,0.00635,-0.62684,0.00000,0.00000,0.00000,7.00000,1,1,
06.30 11:26:57:648,42,0.10534,-0.33040,9.81144,-0.00959,-0.00213,0.00426,-9.56498,11.06578,-32.42796,-1.92183,-77.63860,-0.61164,0.77893,-0.01641,0.00635,-0.62684,0.00000,0.00000,0.00000,7.00000,1,1,
06.30 11:26:57:650,43,0.11013,-0.33040,9.81144,-0.00959,-0.00213,0.00533,-9.56498,11.06578,-32.42796,-1.92183,-77.63860,-0.61164,0.77893,-0.01641,0.00635,-0.62684,0.00000,0.00000,0.00000,7.00000,1,1,
06.30 11:26:57:651,44,0.11013,-0.33040,9.81144,-0.00959,-0.00320,0.00533,-9.56498,11.06578,-32.42796,-1.92183,-77.63860,-0.61164,0.77893,-0.01641,0.00635,-0.62684,0.00000,0.00000,0.00000,7.00000,1,1,
06.30 11:26:57:655,45,0.10534,-0.33519,9.81144,-0.00852,-0.00320,0.00533,-10.79437,9.83381,-32.13848,-1.92706,-75.90003,-0.61447,0.78837,-0.01656,0.00611,-0.61495,0.00000,0.00000,0.00000,8.00000,1,1,
06.30 11:26:57:657,46,0.10056,-0.33519,9.81144,-0.00852,-0.00213,0.00426,-10.79437,9.83381,-32.13848,-1.92706,-75.90003,-0.61447,0.78837,-0.01656,0.00611,-0.61495,0.00000,0.00000,0.00000,8.00000,1,1,
06.30 11:26:57:658,48,0.10534,-0.33040,9.81623,-0.00852,-0.00213,0.00533,-10.79437,9.83381,-32.13848,-1.92706,-75.90003,-0.61447,0.78837,-0.01656,0.00611,-0.61495,0.00000,0.00000,0.00000,8.00000,1,1,
06.30 11:26:57:662,50,0.10056,-0.33519,9.81623,-0.00852,-0.00213,0.00426,-10.79437,9.83381,-32.13848,-1.92706,-75.90003,-0.61447,0.78837,-0.01656,0.00611,-0.61495,0.00000,0.00000,0.00000,8.00000,1,1,
06.30 11:26:57:664,51,0.10056,-0.33519,9.81144,-0.00959,-0.00320,0.00426,-10.02903,11.52116,-31.96482,-1.93484,-75.95586,-0.61351,0.78806,-0.01660,0.00617,-0.61533,0.00000,0.00000,0.00000,9.00000,1,1,
06.30 11:26:57:665,52,0.10056,-0.33519,9.81144,-0.00959,-0.00320,0.00426,-10.02903,11.52116,-31.96482,-1.93484,-75.95586,-0.61351,0.78806,-0.01660,0.00617,-0.61533,0.00000,0.00000,0.00000,9.00000,1,1,
06.30 11:26:57:667,53,0.09577,-0.33519,9.81144,-0.00959,-0.00213,0.00320,-10.02903,11.52116,-31.96482,-1.93484,-75.95586,-0.61351,0.78806,-0.01660,0.00617,-0.61533,0.00000,0.00000,0.00000,9.00000,1,1,
06.30 11:26:57:669,54,0.09577,-0.33519,9.80665,-0.00959,-0.00213,0.00426,-10.02903,11.52116,-31.96482,-1.93484,-75.95586,-0.61351,0.78806,-0.01660,0.00617,-0.61533,0.00000,0.00000,0.00000,9.00000,1,1,
06.30 11:26:57:677,58,0.09098,-0.33040,9.80665,-0.00852,-0.00107,0.00533,-9.55804,10.77832,-34.27181,-1.94166,-75.85141,-0.60841,0.78863,-0.01663,0.00623,-0.61461,0.00000,0.00000,0.00000,10.00000,1,1,
06.30 11:26:57:678,59,0.09098,-0.32561,9.80665,-0.00852,-0.00107,0.00533,-9.55804,10.77832,-34.27181,-1.94166,-75.85141,-0.60841,0.78863,-0.01663,0.00623,-0.61461,0.00000,0.00000,0.00000,10.00000,1,1,
06.30 11:26:57:679,60,0.09098,-0.32082,9.80665,-0.00852,-0.00107,0.00533,-9.55804,10.77832,-34.27181,-1.94166,-75.85141,-0.60841,0.78863,-0.01663,0.00623,-0.61461,0.00000,0.00000,0.00000,10.00000,1,1,
06.30 11:26:57:681,61,0.09577,-0.32561,9.80665,-0.00852,-0.00107,0.00533,-9.55804,10.77832,-34.27181,-1.94166,-75.85141,-0.60841,0.78863,-0.01663,0.00623,-0.61461,0.00000,0.00000,0.00000,10.00000,1,1,
06.30 11:26:57:682,62,0.09577,-0.32561,9.80665,-0.00852,-0.00213,0.00639,-9.55804,10.77832,-34.27181,-1.94166,-75.85141,-0.60841,0.78863,-0.01663,0.00623,-0.61461,0.00000,0.00000,0.00000,10.00000,1,1,
06.30 11:26:57:684,63,0.10056,-0.32082,9.80665,-0.00959,-0.00107,0.00533,-9.87224,11.37589,-32.73277,-1.94241,-75.89776,-0.60344,0.78838,-0.01660,0.00627,-0.61493,0.00000,0.00000,0.00000,-29.32227,1,1,
06.30 11:26:57:688,64,0.09577,-0.32082,9.80186,-0.00959,-0.00107,0.00639,-9.87224,11.37589,-32.73277,-1.94241,-75.89776,-0.60344,0.78838,-0.01660,0.00627,-0.61493,0.00000,0.00000,0.00000,-29.32227,1,1,
06.30 11:26:57:689,65,0.09577,-0.32561,9.80186,-0.01065,-0.00107,0.00639,-9.87224,11.37589,-32.73277,-1.94241,-75.89776,-0.60344,0.78838,-0.01660,0.00627,-0.61493,0.00000,0.00000,0.00000,-29.32227,1,1,
06.30 11:26:57:692,67,0.09098,-0.32561,9.80186,-0.00959,-0.00213,0.00639,-9.87224,11.37589,-32.73277,-1.94241,-75.89776,-0.60344,0.78838,-0.01660,0.00627,-0.61493,0.00000,0.00000,0.00000,-29.32227,1,1,
06.30 11:26:57:693,68,0.09098,-0.32561,9.80665,-0.00959,-0.00107,0.00639,-10.18020,10.44817,-32.12983,-1.94374,-75.42076,-0.59947,0.79091,-0.01662,0.00624,-0.61165,0.00000,0.00000,0.00000,-29.32287,1,1,
06.30 11:26:57:695,69,0.09098,-0.32561,9.80665,-0.00959,-0.00213,0.00533,-10.18020,10.44817,-32.12983,-1.94374,-75.42076,-0.59947,0.79091,-0.01662,0.00624,-0.61165,0.00000,0.00000,0.00000,-29.32287,1,1,
06.30 11:26:57:697,70,0.09098,-0.32561,9.80665,-0.00959,-0.00213,0.00533,-10.18020,10.44817,-32.12983,-1.94374,-75.42076,-0.59947,0.79091,-0.01662,0.00624,-0.61165,0.00000,0.00000,0.00000,-29.32287,1,1,
06.30 11:26:57:699,71,0.09098,-0.32082,9.80186,-0.00959,-0.00213,0.00426,-10.18020,10.44817,-32.12983,-1.94374,-75.42076,-0.59947,0.79091,-0.01662,0.00624,-0.61165,0.00000,0.00000,0.00000,-29.32287,1,1,
06.30 11:26:57:703,73,0.09577,-0.32082,9.80665,-0.00852,-0.00213,0.00426,-10.18020,10.44817,-32.12983,-1.94374,-75.42076,-0.59947,0.79091,-0.01662,0.00624,-0.61165,0.00000,0.00000,0.00000,-29.32287,1,1,
06.30 11:26:57:704,74,0.10056,-0.32082,9.80665,-0.00852,-0.00320,0.00426,-8.48571,11.22800,-33.18922,-1.94409,-76.02233,-0.59670,0.78770,-0.01657,0.00634,-0.61579,0.00000,0.00000,0.00000,-29.31197,1,1,
06.30 11:26:57:706,75,0.09577,-0.32082,9.80665,-0.00959,-0.00320,0.00426,-8.48571,11.22800,-33.18922,-1.94409,-76.02233,-0.59670,0.78770,-0.01657,0.00634,-0.61579,0.00000,0.00000,0.00000,-29.31197,1,1,
06.30 11:26:57:708,76,0.09577,-0.32082,9.80665,-0.00959,-0.00320,0.00426,-8.48571,11.22800,-33.18922,-1.94409,-76.02233,-0.59670,0.78770,-0.01657,0.00634,-0.61579,0.00000,0.00000,0.00000,-29.31197,1,1,
06.30 11:26:57:710,77,0.09577,-0.32082,9.80665,-0.00852,-0.00320,0.00320,-8.48571,11.22800,-33.18922,-1.94409,-76.02233,-0.59670,0.78770,-0.01657,0.00634,-0.61579,0.00000,0.00000,0.00000,-29.31197,1,1,
06.30 11:26:57:710,78,0.09098,-0.32082,9.80665,-0.00959,-0.00320,0.00426,-8.48571,11.22800,-33.18922,-1.94409,-76.02233,-0.59670,0.78770,-0.01657,0.00634,-0.61579,0.00000,0.00000,0.00000,-29.31197,1,1,
06.30 11:26:57:713,79,0.09098,-0.32561,9.80665,-0.00852,-0.00320,0.00426,-8.48571,11.22800,-33.18922,-1.94409,-76.02233,-0.59670,0.78770,-0.01657,0.00634,-0.61579,0.00000,0.00000,0.00000,-29.31197,1,1,
06.30 11:26:57:716,81,0.08619,-0.32082,9.81144,-0.01065,-0.00213,0.00426,-9.86829,10.46137,-33.35579,-1.94461,-75.70908,-0.59460,0.78938,-0.01658,0.00632,-0.61363,0.00000,0.00000,0.00000,-29.30353,1,1,
06.30 11:26:57:718,82,0.08619,-0.32082,9.81144,-0.01065,-0.00213,0.00426,-9.86829,10.46137,-33.35579,-1.94461,-75.70908,-0.59460,0.78938,-0.01658,0.00632,-0.61363,0.00000,0.00000,0.00000,-29.30353,1,1,
06.30 11:26:57:720,83,0.09098,-0.31603,9.81144,-0.01065,-0.00213,0.00426,-9.86829,10.46137,-33.35579,-1.94461,-75.70908,-0.59460,0.78938,-0.01658,0.00632,-0.61363,0.00000,0.00000,0.00000,-29.30353,1,1,
06.30 11:26:57:721,84,0.09098,-0.31603,9.81623,-0.01065,-0.00213,0.00426,-9.86829,10.46137,-33.35579,-1.94461,-75.70908,-0.59460,0.78938,-0.01658,0.00632,-0.61363,0.00000,0.00000,0.00000,-29.30353,1,1,
06.30 11:26:57:723,85,0.09098,-0.31603,9.81623,-0.01065,-0.00213,0.00533,-8.80122,10.89475,-30.73928,-1.94458,-75.99563,-0.59116,0.78785,-0.01655,0.00638,-0.61560,0.00000,0.00000,0.00000,-29.30364,1,1,
06.30 11:26:57:725,86,0.09098,-0.31603,9.82102,-0.00959,-0.00213,0.00533,-8.80122,10.89475,-30.73928,-1.94458,-75.99563,-0.59116,0.78785,-0.01655,0.00638,-0.61560,0.00000,0.00000,0.00000,-29.30364,1,1,
06.30 11:26:57:727,87,0.09098,-0.31603,9.82102,-0.00852,-0.00107,0.00639,-8.80122,10.89475,-30.73928,-1.94458,-75.99563,-0.59116,0.78785,-0.01655,0.00638,-0.61560,0.00000,0.00000,0.00000,-29.30364,1,1,
06.30 11:26:57:730,89,0.09577,-0.31125,9.81623,-0.00959,0.00000,0.00426,-8.80122,10.89475,-30.73928,-1.94458,-75.99563,-0.59116,0.78785,-0.01655,0.00638,-0.61560,0.00000,0.00000,0.00000,-29.30364,1,1,
06.30 11:26:57:732,90,0.09577,-0.31125,9.81623,-0.00852,-0.00107,0.00320,-8.80122,10.89475,-30.73928,-1.94458,-75.99563,-0.59116,0.78785,-0.01655,0.00638,-0.61560,0.00000,0.00000,0.00000,-29.30364,1,1,
06.30 11:26:57:733,91,0.10056,-0.31125,9.82102,-0.00959,-0.00107,0.00426,-10.02491,9.98936,-32.28736,-1.94202,-75.52026,-0.58900,0.79038,-0.01654,0.00631,-0.61233,0.00000,0.00000,0.00000,-29.26981,1,1,
06.30 11:26:57:737,92,0.10056,-0.31125,9.82102,-0.00959,-0.00213,0.00426,-10.02491,9.98936,-32.28736,-1.94202,-75.52026,-0.58900,0.79038,-0.01654,0.00631,-0.61233,0.00000,0.00000,0.00000,-29.26981,1,1,
06.30 11:26:57:737,93,0.09577,-0.31125,9.82102,-0.00959,-0.00320,0.00426,-10.02491,9.98936,-32.28736,-1.94202,-75.52026,-0.58900,0.79038,-0.01654,0.00631,-0.61233,0.00000,0.00000,0.00000,-29.26981,1,1,
06.30 11:26:57:741,95,0.09577,-0.31603,9.82102,-0.00852,-0.00213,0.00533,-10.02491,9.98936,-32.28736,-1.94202,-75.52026,-0.58900,0.79038,-0.01654,0.00631,-0.61233,0.00000,0.00000,0.00000,-29.26981,1,1,
06.30 11:26:57:743,96,0.09577,-0.31603,9.82580,-0.00852,-0.00213,0.00533,-10.02491,9.98936,-32.28736,-1.94202,-75.52026,-0.58900,0.79038,-0.01654,0.00631,-0.61233,0.00000,0.00000,0.00000,-29.26981,1,1,
06.30 11:26:57:744,97,0.10056,-0.31603,9.82580,-0.00852,-0.00320,0.00533,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:746,98,0.10056,-0.32082,9.82580,-0.00852,-0.00320,0.00533,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:748,99,0.10056,-0.32082,9.83059,-0.00746,-0.00426,0.00533,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:751,100,0.10056,-0.32082,9.83059,-0.00852,-0.00533,0.00426,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:751,101,0.10056,-0.32082,9.83059,-0.00852,-0.00426,0.00320,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:752,102,0.10056,-0.32082,9.83059,-0.00852,-0.00426,0.00426,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:755,103,0.10056,-0.32082,9.82580,-0.00959,-0.00320,0.00426,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:758,104,0.10056,-0.32561,9.82102,-0.00852,-0.00426,0.00426,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:759,105,0.10534,-0.32561,9.82102,-0.01065,-0.00426,0.00320,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:760,106,0.10534,-0.32082,9.82102,-0.00959,-0.00213,0.00320,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:762,107,0.10056,-0.32082,9.82102,-0.00959,-0.00213,0.00426,-10.02675,10.91040,-32.27791,-1.94057,-75.38676,-0.58912,0.79109,-0.01654,0.00629,-0.61141,0.00000,0.00000,0.00000,-29.23161,1,1,
06.30 11:26:57:764,108,0.10056,-0.32082,9.82102,-0.00959,-0.00213,0.00426,-10.64645,9.35219,-30.14853,-1.94340,-74.65913,-0.59290,0.79497,-0.01662,0.00617,-0.60637,0.00000,0.00000,0.00000,-29.19643,1,1,
06.30 11:26:57:768,111,0.10056,-0.32082,9.81623,-0.00959,-0.00107,0.00426,-10.64645,9.35219,-30.14853,-1.94340,-74.65913,-0.59290,0.79497,-0.01662,0.00617,-0.60637,0.00000,0.00000,0.00000,-29.19643,1,1,
06.30 11:26:57:771,112,0.10534,-0.32082,9.81623,-0.00959,-0.00213,0.00426,-10.64645,9.35219,-30.14853,-1.94340,-74.65913,-0.59290,0.79497,-0.01662,0.00617,-0.60637,0.00000,0.00000,0.00000,-29.19643,1,1,
06.30 11:26:57:772,113,0.10534,-0.32082,9.82102,-0.01065,-0.00426,0.00426,-10.64645,9.35219,-30.14853,-1.94340,-74.65913,-0.59290,0.79497,-0.01662,0.00617,-0.60637,0.00000,0.00000,0.00000,-29.19643,1,1,
06.30 11:26:57:778,116,0.10056,-0.32082,9.82102,-0.00852,-0.00320,0.00639,-9.72194,11.82834,-31.96050,-1.94533,-74.89272,-0.59445,0.79372,-0.01663,0.00620,-0.60800,0.00000,0.00000,0.00000,-29.12824,1,1,
06.30 11:26:57:779,117,0.10534,-0.32082,9.82102,-0.00852,-0.00213,0.00533,-9.72194,11.82834,-31.96050,-1.94533,-74.89272,-0.59445,0.79372,-0.01663,0.00620,-0.60800,0.00000,0.00000,0.00000,-29.12824,1,1,
06.30 11:26:57:781,118,0.10534,-0.32082,9.82102,-0.00959,-0.00213,0.00533,-9.72194,11.82834,-31.96050,-1.94533,-74.89272,-0.59445,0.79372,-0.01663,0.00620,-0.60800,0.00000,0.00000,0.00000,-29.12824,1,1,
06.30 11:26:57:785,120,0.10534,-0.31603,9.82102,-0.00852,-0.00213,0.00639,-9.25167,9.84767,-33.35973,-1.94673,-74.72868,-0.59656,0.79460,-0.01666,0.00617,-0.60686,0.00000,0.00000,0.00000,-29.06697,1,1,
06.30 11:26:57:786,121,0.10534,-0.31603,9.82580,-0.01065,-0.00320,0.00639,-9.25167,9.84767,-33.35973,-1.94673,-74.72868,-0.59656,0.79460,-0.01666,0.00617,-0.60686,0.00000,0.00000,0.00000,-29.06697,1,1,
06.30 11:26:57:788,122,0.10056,-0.31603,9.82580,-0.00959,-0.00213,0.00639,-9.25167,9.84767,-33.35973,-1.94673,-74.72868,-0.59656,0.79460,-0.01666,0.00617,-0.60686,0.00000,0.00000,0.00000,-29.06697,1,1,
06.30 11:26:57:790,123,0.10056,-0.31603,9.82580,-0.01065,-0.00320,0.00533,-9.25167,9.84767,-33.35973,-1.94673,-74.72868,-0.59656,0.79460,-0.01666,0.00617,-0.60686,0.00000,0.00000,0.00000,-29.06697,1,1,
06.30 11:26:57:791,124,0.10534,-0.32082,9.82580,-0.01065,-0.00320,0.00533,-9.25167,9.84767,-33.35973,-1.94673,-74.72868,-0.59656,0.79460,-0.01666,0.00617,-0.60686,0.00000,0.00000,0.00000,-29.06697,1,1,
06.30 11:26:57:797,127,0.10534,-0.32082,9.83059,-0.00959,-0.00213,0.00533,-10.33822,11.20747,-31.35559,-1.94814,-74.65923,-0.59817,0.79497,-0.01668,0.00616,-0.60638,0.00000,0.00000,0.00000,-29.02205,1,1,
06.30 11:26:57:798,128,0.11013,-0.32561,9.82580,-0.00959,-0.00213,0.00533,-10.33822,11.20747,-31.35559,-1.94814,-74.65923,-0.59817,0.79497,-0.01668,0.00616,-0.60638,0.00000,0.00000,0.00000,-29.02205,1,1,
06.30 11:26:57:800,129,0.10534,-0.32561,9.82580,-0.00852,-0.00320,0.00533,-10.33822,11.20747,-31.35559,-1.94814,-74.65923,-0.59817,0.79497,-0.01668,0.00616,-0.60638,0.00000,0.00000,0.00000,-29.02205,1,1,
06.30 11:26:57:801,130,0.11013,-0.32561,9.82580,-0.00852,-0.00320,0.00639,-10.33822,11.20747,-31.35559,-1.94814,-74.65923,-0.59817,0.79497,-0.01668,0.00616,-0.60638,0.00000,0.00000,0.00000,-29.02205,1,1,
