Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.29 16:44:08:303,52705,0.06213,-0.07199,9.80482,0.00000,0.00000,-0.00000,0.34918,-0.09202,-0.64352,-0.32763,101.87209,-0.35608,0.63019,0.00061,-0.00418,0.77643,1,0,
06.29 16:44:08:313,52706,0.05338,-0.07311,9.78544,0.00000,0.00000,-0.00000,0.34818,-0.09054,-0.64252,-0.32614,101.87120,-0.35596,0.63019,0.00062,-0.00417,0.77643,1,0,
06.29 16:44:08:323,52707,0.06302,-0.05362,9.79190,0.00000,0.00000,-0.00000,0.34816,-0.09112,-0.63855,-0.32619,101.87167,-0.35457,0.63019,0.00061,-0.00416,0.77643,1,0,
06.29 16:44:08:332,52708,0.06535,-0.07973,9.80930,0.00000,0.00000,-0.00000,0.35015,-0.09209,-0.64003,-0.32677,101.87244,-0.35428,0.63019,0.00060,-0.00416,0.77643,1,0,
06.29 16:44:08:342,52709,0.05913,-0.05726,9.79111,0.00000,0.00000,-0.00000,0.34866,-0.09309,-0.64004,-0.32521,101.87143,-0.35394,0.63019,0.00061,-0.00415,0.77643,1,0,
06.29 16:44:08:352,52710,0.05520,-0.05725,9.79729,0.00000,0.00000,-0.00000,0.34867,-0.09054,-0.64252,-0.32598,101.87206,-0.35409,0.63019,0.00061,-0.00416,0.77643,1,0,
06.29 16:44:08:362,52711,0.06738,-0.04784,9.78527,0.00000,0.00000,-0.00000,0.34769,-0.09203,-0.64303,-0.32748,101.87189,-0.35455,0.63019,0.00060,-0.00417,0.77643,1,0,
06.29 16:44:08:372,52712,0.06428,-0.06979,9.79562,0.00000,0.00000,-0.00000,0.34965,-0.09112,-0.63853,-0.32911,101.87201,-0.35459,0.63019,0.00059,-0.00418,0.77643,1,0,
06.29 16:44:08:383,52713,0.06019,-0.05567,9.78730,0.00000,0.00000,-0.00000,0.34867,-0.08954,-0.64252,-0.32999,101.87259,-0.35443,0.63019,0.00059,-0.00419,0.77643,1,0,
06.29 16:44:08:393,52714,0.07038,-0.05584,9.80124,0.00000,0.00000,-0.00000,0.34917,-0.09006,-0.64152,-0.33138,101.87305,-0.35461,0.63018,0.00058,-0.00420,0.77644,1,0,
